Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Iqbal Abdulla,2007-2021,426,46*,17.04,0,86,5/10,27.33,1,33,0,-10.29
SN Khan,2014-2023,1188,67,22.41,0,0,-,-,0,38,0,-
Mandeep Singh,2010-2024,4043,99*,27.88,0,16,3/21,27.93,0,79,0,-0.05
KD Karthik,2006-2025,7537,97*,27.01,0,1,1/10,28.00,0,236,72,-0.98
CJ Jordan,2008-2025,2476,73,16.84,0,439,4/6,27.05,0,214,0,-10.21
Parvez Rasool,,,,,,,,,,,,
T Shamsi,2011-2025,95,15*,4.52,0,348,5/24,22.32,1,40,0,-17.80
STR Binny,2009-2021,1641,52,20.01,0,73,4/14,25.87,0,38,0,-5.86
TM Head,2013-2025,4336,102,30.97,2,22,3/16,29.95,0,43,0,1.01
AF Milne,2010-2025,498,22,11.06,0,247,5/11,23.54,3,53,0,-12.47
SR Watson,2004-2020,8821,124*,29.30,6,216,4/15,27.02,0,101,0,2.27
KW Richardson,2009-2025,404,45,11.22,0,240,4/22,23.45,0,77,0,-12.22
Sachin Baby,2011-2025,2026,79,29.79,0,8,2/4,32.62,0,43,0,-2.83
KM Jadhav,2007-2023,2592,84*,24.45,0,6,2/23,20.83,0,55,9,3.61
Avesh Khan,2017-2025,109,19*,9.08,0,165,5/17,25.89,1,32,0,-16.81
S Badree,2006-2018,183,29*,9.15,0,187,5/22,22.16,1,46,0,-13.01
A Choudhary,2013-2024,97,15*,8.81,0,107,4/30,20.35,0,12,0,-11.53
TS Mills,2012-2025,237,30,6.07,0,320,4/13,23.36,0,39,0,-17.29
B Stanlake,2015-2025,35,7,7.00,0,91,4/8,27.17,0,12,0,-20.17
Vishnu Vinod,2014-2024,1620,109*,31.15,1,0,-,-,0,26,7,-
P Negi,2011-2021,803,41*,15.74,0,96,5/22,24.61,1,40,0,-8.86
CJ Anderson,2009-2025,3244,95*,24.20,0,46,2/10,34.06,0,62,0,-9.85
M Ashwin,,,,,,,,,,,,
Q de Kock,2011-2025,11421,140*,31.20,7,-,-,-,-,286,57,-
BB McCullum,2005-2019,9922,158*,29.97,7,0,-,-,0,153,14,-
M Vohra,2013-2024,3340,106*,28.79,1,-,-,-,-,41,0,-
CR Woakes,2008-2025,1031,57*,20.21,0,177,4/21,25.24,0,64,0,-5.02
C de Grandhomme,,,,,,,,,,,,
K Khejroliya,2018-2025,19,18*,-,0,27,4/26,26.22,0,4,0,-
TG Southee,2007-2025,930,74,10.94,0,346,6/16,24.57,4,132,0,-13.63
MM Ali,2007-2025,7450,121*,23.65,3,263,5/34,24.78,1,123,0,-1.13
UT Yadav,2009-2024,333,26,11.10,0,202,5/18,27.42,2,52,0,-16.32
Washington Sundar,2017-2025,1428,54*,19.56,0,115,3/10,28.90,0,46,0,-9.34
Mohammed Siraj,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,
SO Hetmyer,2016-2025,5938,100,26.50,1,-,-,-,-,158,0,-
H Klaasen,2011-2025,5927,105*,31.19,3,1,1/12,68.00,0,127,34,-36.80
P Ray Barman,2019-2024,42,19,8.40,0,7,4/14,30.00,0,0,0,-21.59
MP Stoinis,2012-2025,6843,147*,29.36,2,179,4/15,26.84,0,85,0,2.52
S Dube,2016-2025,3448,95*,31.06,0,57,3/4,31.15,0,54,0,-0.09
Gurkeerat Singh,,,,,,,,,,,,
NA Saini,2016-2023,63,12*,10.50,0,73,4/17,30.80,0,23,0,-20.30
AJ Finch,2009-2024,11458,172,33.60,8,7,1/9,52.71,0,164,0,-19.11
CH Morris,2011-2021,1868,82*,20.08,0,290,4/9,22.21,0,104,0,-2.12
JR Philippe,2017-2025,2823,99*,25.66,0,-,-,-,-,87,15,-
I Udana,2009-2025,1535,84*,16.15,0,237,5/21,25.27,1,72,0,-9.11
A Zampa,2012-2025,310,23,5.96,0,386,6/19,21.53,3,43,0,-15.57
Shahbaz Ahmed,2019-2025,1295,100*,25.90,1,69,3/7,30.28,0,40,0,-4.38
D Padikkal,2019-2025,3053,124*,30.83,3,-,-,-,-,48,0,-
KS Bharat,2013-2024,1573,93*,23.13,0,-,-,-,-,63,14,-
GHS Garton,2016-2025,833,46,14.87,0,98,4/16,26.73,0,36,0,-11.85
KA Jamieson,2016-2025,461,45*,20.95,0,99,6/7,24.76,1,22,0,-3.81
DR Sams,,,,,,,,,,,,
PW Hasaranga,2017-2025,2424,77*,17.31,0,322,6/9,17.37,3,101,0,-0.05
GJ Maxwell,2010-2025,10846,154*,27.81,8,194,3/10,29.79,0,259,0,-1.98
TH David,,,,,,,,,,,,
RM Patidar,2018-2025,2775,112*,36.03,1,-,-,-,-,41,0,-
S Kaul,2012-2023,75,8*,7.50,0,182,5/12,22.04,1,23,0,-14.54
SE Rutherford,2018-2025,3610,86,23.59,0,13,3/19,38.53,0,70,0,-14.94
DJ Willey,2009-2025,4773,118,22.30,2,362,4/7,23.45,0,165,0,-1.14
Akash Deep,2019-2025,84,17,10.50,0,52,4/35,26.51,0,10,0,-16.01
Anuj Rawat,2019-2024,1259,88*,25.69,0,0,-,-,0,62,11,-
F du Plessis,2007-2025,11906,120*,32.88,8,50,5/19,18.34,2,211,0,14.54
MK Lomror,2017-2024,2137,78*,26.38,0,11,2/31,55.81,0,44,0,-29.43
SS Prabhudessai,2019-2024,1167,71*,31.54,0,2,1/9,95.00,0,43,0,-63.45
JR Hazlewood,2009-2025,71,13*,14.20,0,164,4/12,21.54,0,20,0,-7.34
MG Bracewell,2012-2025,3403,141*,27.22,1,92,4/28,24.89,0,112,1,2.33
WD Parnell,2008-2024,2200,99,18.48,0,317,5/30,25.40,1,71,0,-6.91
H Sharma,,-,-,-,-,0,-,-,0,0,0,-
RJW Topley,2012-2025,122,14*,12.20,0,240,4/20,23.37,0,41,0,-11.17
V Vyshak,2021-2025,1276,,,,,3/5,,0,,,
SD Chauhan,2021-2024,564,84*,24.52,0,0,-,-,0,17,0,-
MJ Dagar,,,,,,,,,,,,
LH Ferguson,2014-2025,288,30,11.07,0,228,5/21,22.32,1,52,0,-11.24
C Green,2019-2025,1334,100*,33.35,1,28,3/35,34.42,0,30,0,-1.07
WG Jacks,2018-2025,6120,108*,29.00,5,80,4/15,22.68,0,112,0,6.31
AS Joseph,2016-2025,484,29*,13.08,0,200,6/12,25.70,2,57,0,-12.62
Swapnil Singh,2007-2024,988,52,22.45,0,73,6/19,25.63,1,32,0,-3.17
Yash Dayal,2019-2025,14,4*,3.50,0,66,3/20,30.77,0,9,0,-27.27
JG Bethell,2021-2025,1484,87,24.32,0,18,2/5,26.50,0,43,0,-2.17
MS Bhandage,,,,,,,,,,,,
B Kumar,2009-2025,522,27,10.44,0,327,5/4,25.11,5,64,0,-14.67
LS Livingstone,,,,,,,,,,,,
L Ngidi,2015-2025,80,13*,6.66,0,190,5/39,21.34,1,31,0,-14.68
KH Pandya,2013-2025,2954,86,23.82,0,162,4/15,30.01,0,82,0,-6.18
Rasikh Salam,,,,,,,,,,,,
PD Salt,2016-2025,7763,141*,28.12,4,-,-,-,-,165,14,-
JM Sharma,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R Shepherd,2018-2025,2173,73*,23.36,0,189,4/13,26.00,0,45,0,-2.63
Suyash Sharma,2023-2025,6,6*,-,0,41,5/13,28.29,1,4,0,-
N Thushara,2016-2025,40,7*,4.00,0,170,5/13,19.84,2,15,0,-15.84
Mohammad Hafeez,2005-2023,7946,102*,25.79,2,202,4/10,24.00,0,111,0,1.78
RT Ponting,2004-2013,909,98*,22.72,0,1,1/11,23.00,0,17,0,-0.27
Salman Butt,2005-2020,2349,99*,35.05,0,5,2/25,28.20,0,18,0,6.85
Shoaib Akhtar,2003-2010,75,14,5.35,0,44,5/23,22.22,1,7,0,-16.87
T Taibu,2007-2012,887,89,25.34,0,0,-,-,0,27,13,-
Umar Gul,2005-2020,548,32,8.69,0,222,6/24,20.16,3,38,0,-11.46
A Chopra,2008-2013,334,72*,18.55,0,-,-,-,-,4,0,-
AB Agarkar,2006-2013,286,39,14.30,0,47,3/25,34.21,0,10,0,-19.91
SC Ganguly,2005-2012,1726,91,25.01,0,29,3/27,26.06,0,28,0,-1.05
BJ Hodge,2003-2018,7406,106,36.84,2,65,4/13,22.32,0,102,0,14.52
DJ Hussey,2004-2017,6097,100*,30.03,1,68,3/25,26.35,0,129,0,3.68
BAW Mendis,2007-2019,214,27*,6.68,0,170,6/8,19.00,2,29,0,-12.31
WP Saha,2007-2024,4655,129,24.24,2,-,-,-,-,142,39,-
I Sharma,2007-2025,67,10*,8.37,0,155,5/12,31.79,1,33,0,-23.41
DB Das,2008-2019,728,78*,28.00,0,-,-,-,-,18,0,-
LR Shukla,2007-2015,994,76,20.70,0,47,3/6,24.61,0,31,0,-3.90
Anureet Singh,2009-2021,282,41,15.66,0,64,3/12,29.89,0,23,0,-14.22
SB Bangar,2007-2012,381,67,15.24,0,31,5/16,22.87,1,6,0,-7.63
AN Ghosh,2007-2018,263,67,18.78,0,-,-,-,-,13,0,-
Mashrafe Mortaza,2006-2024,1141,56*,12.96,0,170,5/35,28.71,1,37,0,-15.75
SS Sarkar,2007-2009,-,-,-,-,2,1/15,63.50,0,0,0,-
SS Shaikh,2009-2015,405,110,25.31,1,4,3/27,35.25,0,6,0,-9.93
MN van Wyk,2004-2019,4015,114*,30.88,1,-,-,-,-,85,26,-
Yashpal Singh,2007-2019,1393,63*,26.78,0,14,3/26,28.00,0,16,0,-1.21
AD Mathews,2007-2025,3858,81*,27.36,0,102,4/19,30.87,0,74,0,-3.51
SE Bond,2005-2010,32,8*,4.00,0,51,4/19,21.74,0,9,0,-17.74
RS Gavaskar,2005-2010,113,47,16.14,0,3,1/16,37.33,0,1,0,-21.19
Harpreet Singh,2010-2024,2757,92*,35.34,0,6,2/15,22.33,0,51,0,13.01
MB Parmar,2007-2011,12,7,4.00,0,4,2/27,49.00,0,1,0,-44.99
OA Shah,,5,3,1.66,0,-,-,-,-,1,0,-
MK Tiwary,2007-2021,3436,75*,28.39,0,34,4/23,26.55,0,94,0,1.83
BJ Haddin,2005-2017,1747,76,22.39,0,-,-,-,-,61,20,-
S Ladda,2010-2016,5,5,2.50,0,10,3/30,32.80,0,1,0,-30.29
L Balaji,2008-2014,54,15,4.90,0,126,5/24,22.19,1,16,0,-17.28
R Bhatia,2007-2019,1251,107*,21.56,1,111,4/15,27.20,0,46,0,-5.63
B Lee,2005-2015,416,48,13.86,0,109,4/28,29.88,0,28,0,-16.02
RN ten Doeschate,2003-2021,7597,121*,29.33,2,114,4/24,25.63,0,134,0,3.70
G Gambhir,2007-2018,6402,93,28.96,0,-,-,-,-,51,0,-
YK Pathan,2007-2019,4852,100,27.56,1,99,4/10,28.42,0,86,0,-0.85
Shakib Al Hasan,2006-2025,7690,89*,21.12,0,504,6/6,21.62,5,108,0,-0.50
M de Lange,2011-2025,420,28*,11.05,0,174,5/20,25.64,1,44,0,-14.59
PJ Sangwan,2007-2023,262,29,11.90,0,104,3/13,26.05,0,34,0,-14.14
SP Narine,2011-2025,4654,109,15.51,1,599,5/19,22.04,1,128,0,-6.52
P Dogra,2007-2024,2324,93*,27.66,0,0,-,-,0,64,0,-
R McLaren,2005-2019,1751,77,23.03,0,166,5/19,28.62,1,64,0,-5.58
Mohammed Shami,2010-2025,134,32*,6.38,0,210,4/11,25.09,0,33,0,-18.71
S Narwal,2009-2014,277,42,21.30,0,27,3/15,30.51,0,9,0,-9.21
SMSM Senanayake,2007-2022,532,59,12.97,0,124,4/23,19.59,0,36,0,-6.62
M Morkel,2005-2021,213,23*,8.52,0,207,4/17,25.29,0,27,0,-16.77
SA Yadav,2010-2025,8674,117,35.69,6,8,2/5,18.12,0,162,0,17.57
PP Chawla,2007-2024,1565,45*,14.76,0,319,4/12,24.45,0,73,0,-9.68
CA Lynn,2010-2025,8526,113*,32.91,6,3,2/15,31.00,0,72,0,1.91
PJ Cummins,2011-2025,1001,66*,17.56,0,192,4/16,27.33,0,45,0,-9.77
AD Russell,2010-2025,9449,121*,26.32,2,496,5/15,25.87,1,238,0,0.44
Azhar Mahmood,2003-2016,4091,106*,25.56,2,258,5/24,23.81,1,45,0,1.75
J Botha,2004-2021,1991,67*,19.51,0,166,4/16,28.42,0,94,0,-8.90
GB Hogg,2004-2018,351,54,15.26,0,140,4/9,24.75,0,32,0,-9.48
KC Cariappa,2015-2024,170,21*,10.00,0,50,4/15,25.28,0,13,0,-15.27
JW Hastings,2007-2018,877,80*,16.86,0,116,4/26,24.70,0,25,0,-7.84
JO Holder,2010-2025,3035,69,18.61,0,324,5/27,27.61,1,153,0,-8.99
C Munro,2010-2025,11616,120,30.25,6,31,4/15,33.38,0,134,0,-3.13
R Sathish,2009-2017,722,41*,19.00,0,24,3/12,26.37,0,30,0,-7.37
AS Rajpoot,2013-2021,66,8,7.33,0,105,5/14,21.55,3,12,0,-14.21
Kuldeep Yadav,2014-2025,298,35*,13.54,0,223,5/17,20.99,3,41,0,-7.44
TA Boult,2009-2025,307,23*,10.96,0,329,4/13,25.31,0,97,0,-14.34
DM Bravo,2008-2025,3575,94*,30.04,0,-,-,-,-,60,0,-
NM Coulter-Nile,2009-2024,693,42*,12.15,0,191,4/10,23.03,0,51,0,-10.87
