Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
A Chandila,2010-2013,151,57,18.87,0,24,4/13,20.70,0,12,0,-1.83
KK Cooper,2008-2018,753,42*,12.76,0,195,5/15,20.07,1,57,0,-7.30
MDKJ Perera,2008-2025,4949,102*,26.60,2,-,-,-,-,64,27,-
PV Tambe,2013-2020,38,14*,9.50,0,70,4/15,22.35,0,12,0,-12.85
DS Kulkarni,2007-2023,225,28*,10.71,0,154,4/14,27.99,0,35,0,-17.27
DJM Short,2016-2025,5401,122*,33.13,2,68,5/21,32.92,1,74,0,0.20
P Chopra,2014-2024,2035,99*,33.91,0,2,2/18,43.00,0,39,2,-9.08
IS Sodhi,2013-2025,469,51,8.22,0,316,6/11,24.41,1,69,0,-16.18
JC Archer,2016-2025,715,36,14.30,0,225,4/18,23.47,0,57,0,-9.17
S Midhun,2018-2024,32,17,8.00,0,31,4/5,23.64,0,7,0,-15.64
O Thomas,2016-2025,19,8*,2.37,0,90,5/28,25.80,1,9,0,-23.42
R Parag,2017-2025,3115,95,32.11,0,48,3/5,30.93,0,64,0,1.17
YBK Jaiswal,2020-2025,3537,124,33.05,3,0,-,-,0,51,0,-
K Yadav,2021-2023,0,0*,-,0,2,1/18,42.00,0,0,0,-
HE van der Dussen,2013-2025,6773,112*,36.80,5,3,2/15,18.33,0,72,0,18.47
OC McCoy,2017-2025,182,23*,7.58,0,189,6/17,24.15,2,28,0,-16.57
KR Sen,2019-2024,2,1*,1.00,0,32,4/20,34.50,0,6,0,-33.49
Abdul Basith,2022-2024,335,54,30.45,0,6,2/42,38.50,0,13,0,-8.04
JE Root,2011-2025,3062,92*,32.23,0,35,2/7,28.05,0,58,0,4.17
DC Jurel,2021-2025,784,70,24.50,0,-,-,-,-,32,2,-
N Burger,2016-2025,66,9,5.50,0,88,3/10,23.46,0,23,0,-17.96
T Kohler-Cadmore,2014-2025,6524,127,28.36,1,-,-,-,-,129,5,-
TK Kotian,2021-2024,87,28,21.75,0,33,4/16,20.03,0,14,0,1.71
KA Maharaj,2010-2025,768,45*,15.05,0,162,4/15,28.05,0,63,0,-12.99
SB Dubey,2021-2025,758,58*,36.09,0,-,-,-,-,7,0,-
K Kartikeya,2019-2025,28,6,4.00,0,51,3/10,21.66,0,4,0,-17.66
A Madhwal,2019-2025,14,5*,7.00,0,58,5/5,25.77,1,7,0,-18.77
KT Maphaka,2022-2025,53,22*,26.50,0,49,4/18,25.22,0,12,0,1.27
LG Pretorius,2024-2025,1156,97,25.13,0,-,-,-,-,20,1,-
KS Rathore,2022-2025,254,61*,31.75,0,-,-,-,-,8,0,-
V Suryavanshi,,,,,,,,,,,,
Y Gnaneswara Rao,2007-2013,429,71*,22.57,0,1,1/18,162.00,0,9,0,-139.42
M Klinger,2006-2019,5960,126*,34.45,8,-,-,-,-,83,0,-
VVS Laxman,2008-2011,491,78*,22.31,0,-,-,-,-,4,0,-
P Prasanth,2007-2018,316,43*,17.55,0,64,4/13,17.15,0,6,0,0.39
MA Khote,,147,72,29.40,0,6,2/29,31.16,0,5,0,-1.76
A Nel,2003-2011,155,19,10.33,0,37,2/13,37.67,0,11,0,-27.34
RV Pawar,2007-2009,7,3,2.33,0,6,2/21,29.83,0,1,0,-27.49
SM Pollock,2004-2008,569,59,21.07,0,45,3/12,22.13,0,9,0,-1.05
DJ Thornely,2005-2013,778,67*,21.02,0,28,4/22,24.50,0,23,0,-3.47
VS Yeligati,2008-2010,6,4*,6.00,0,2,2/23,54.50,0,1,0,-48.49
RR Raje,2007-2017,27,11*,3.85,0,34,3/15,22.08,0,14,0,-18.23
L Ronchi,2006-2020,4217,102,25.25,1,-,-,-,-,119,36,-
CRD Fernando,2004-2016,47,21,4.70,0,74,5/17,20.41,1,14,0,-15.71
ST Jayasuriya,2004-2012,2317,114*,22.71,1,77,4/24,25.75,0,21,0,-3.03
SR Tendulkar,2006-2013,2797,100*,32.90,1,2,1/12,61.50,0,28,0,-28.59
Mohammad Ashraful,2007-2021,1694,103*,22.28,1,25,3/13,19.52,0,24,0,2.76
C Nanda,2007-2010,20,13*,6.66,0,18,2/17,23.44,0,6,0,-16.77
GR Napier,2003-2016,1206,152*,15.66,1,164,4/10,23.35,0,43,0,-7.69
RA Shaikh,,-,-,-,-,0,-,-,0,0,0,-
SL Malinga,2004-2020,426,37*,8.03,0,390,6/7,19.68,5,54,0,-11.65
C Madan,2009-2013,311,69*,23.92,0,-,-,-,-,22,4,-
KA Pollard,2006-2025,14216,104,31.87,1,333,4/15,25.33,0,397,0,6.53
RW Price,2005-2013,87,14,7.25,0,58,5/12,26.93,1,14,0,-19.68
A Symonds,2003-2011,2141,117*,32.43,2,52,5/18,31.86,1,42,0,0.57
AC Blizzard,2007-2018,2043,89,24.61,0,0,-,-,0,27,0,-
JEC Franklin,2004-2018,4372,90,27.49,0,111,5/21,30.90,1,79,0,-3.40
DJ Jacobs,2004-2014,1707,74,25.86,0,0,-,-,0,39,8,-
RG Sharma,2007-2025,12248,121*,30.85,8,29,4/6,28.62,0,175,0,2.23
HH Gibbs,2004-2013,3895,101*,25.29,1,-,-,-,-,76,0,-
RE Levi,2008-2022,5606,117*,27.48,3,-,-,-,-,60,0,-
CJ McKay,2008-2017,299,21*,11.50,0,144,5/11,22.38,1,20,0,-10.88
RJ Peterson,2004-2024,1231,72*,16.41,0,122,3/13,25.52,0,29,0,-9.11
PP Ojha,2007-2018,75,11*,4.16,0,156,4/15,22.38,0,21,0,-18.21
P Suyal,2012-2021,0,0*,0.00,0,17,2/12,38.23,0,1,0,-38.23
JJ Bumrah,2013-2025,102,16*,8.50,0,316,5/10,20.32,2,36,0,-11.82
BR Dunk,2009-2025,3708,99*,23.32,0,3,1/19,39.33,0,99,10,-16.01
K Santokie,2010-2020,222,22,9.25,0,180,5/24,17.56,1,21,0,-8.31
LMP Simmons,2007-2022,7756,116,29.83,2,23,4/19,25.95,0,116,0,3.87
MJ McClenaghan,2009-2021,271,20,6.30,0,241,5/29,25.60,1,34,0,-19.30
A Dananjaya,2012-2025,280,28,8.00,0,159,4/17,21.80,0,45,0,-13.80
SD Lad,2013-2022,939,82,22.90,0,23,5/13,25.00,1,28,0,-2.09
JP Behrendorff,2012-2025,175,26,13.46,0,213,4/21,22.17,0,56,0,-8.71
JL Pattinson,2010-2022,125,27*,7.35,0,63,5/33,26.66,1,16,0,-19.31
R Sanjay Yadav,,,,,,,,,,,,
HR Shokeen,,70,25,23.33,0,12,2/5,32.16,0,5,0,-8.83
NT Tilak Varma,2019-2025,3720,151,42.75,4,9,2/26,33.11,0,67,0,9.64
R Goyal,,-,-,-,-,0,-,-,0,1,0,-
D Jansen,2019-2024,294,41,15.47,0,35,3/27,30.48,0,19,0,-15.01
AS Tendulkar,2021-2024,119,47,13.22,0,27,4/10,25.07,0,1,0,-11.85
SZ Mulani,2018-2024,255,73,15.00,0,57,3/18,22.22,0,18,0,-7.22
L Wood,2016-2025,419,33*,9.52,0,208,5/50,25.91,1,68,0,-16.39
Naman Dhir,2023-2025,563,62*,23.45,0,5,5/19,28.80,1,20,0,-5.34
Ashwani Kumar,2022-2025,-,-,-,-,13,4/24,25.69,0,2,0,-
C Bosch,2014-2025,747,81,17.78,0,70,4/19,31.64,0,41,0,-13.85
R Minz,,,,,,,,,,,,
V Puthur,,,,,,,,,,,,
PVSN Raju,,,,,,,,,,,,
RD Rickelton,2017-2025,3553,103*,29.60,1,1,1/14,14.00,0,84,13,15.60
SM Boland,2014-2024,71,10,10.14,0,78,4/30,25.70,0,8,0,-15.56
PSP Handscomb,2012-2025,2120,103*,22.55,1,-,-,-,-,65,15,-
UT Khawaja,2010-2025,3292,109*,30.20,3,-,-,-,-,29,0,-
H Das,2007-2014,184,59*,18.40,0,-,-,-,-,13,7,-
D Kalyankrishna,2007-2010,10,5,2.00,0,11,4/16,32.09,0,3,0,-30.09
PM Sarvesh Kumar,,1,1*,-,0,1,1/18,42.00,0,0,0,-
Shahid Afridi,2004-2022,4399,101,18.25,1,347,5/7,22.78,2,97,0,-4.53
LPC Silva,2004-2024,1879,110*,25.73,1,1,1/4,36.00,0,38,0,-10.26
DP Vijaykumar,2007-2010,12,6,6.00,0,10,2/16,46.60,0,2,0,-40.59
AS Yadav,2007-2011,198,44,14.14,0,-,-,-,-,2,0,-
DNT Zoysa,2004-2010,203,41,20.30,0,21,4/10,17.90,0,1,0,2.39
WPUJC Vaas,2005-2012,672,73,18.16,0,64,3/16,19.96,0,8,0,-1.80
FH Edwards,2006-2021,124,11*,6.52,0,112,5/22,27.67,1,14,0,-21.15
Shoaib Ahmed,,103,50*,34.33,0,-,-,-,-,4,0,-
AA Bilakhia,2007-2010,377,80*,23.56,0,-,-,-,-,4,0,-
Jaskaran Singh,2022-2024,1,1,1.00,0,5,3/27,27.20,0,0,0,-26.19
Anirudh Singh,2007-2010,97,40,10.77,0,-,-,-,-,6,0,-
KAJ Roach,2008-2018,59,12,7.37,0,28,3/18,43.89,0,18,0,-36.51
B Sumanth,2007-2015,249,60*,27.66,0,0,-,-,0,9,0,-
KH Devdhar,2011-2021,2282,100,30.83,1,-,-,-,-,34,3,-
I Malhotra,2007-2012,104,28,14.85,0,4,2/14,33.50,0,2,0,-18.64
DJ Harris,2007-2014,1965,108*,29.77,1,21,3/18,24.61,0,30,0,5.15
T Mishra,2007-2019,421,68,16.84,0,3,3/25,19.33,0,7,0,-2.49
V Pratap Singh,,8,8,8.00,0,2,1/23,27.50,0,1,0,-19.49
TP Sudhindra,2007-2012,75,13*,12.50,0,35,5/30,20.48,1,9,0,-7.98
ER Dwivedi,2010-2018,923,89,34.18,0,-,-,-,-,26,9,-
S Kaushik,,0,0*,0.00,0,6,3/20,49.50,0,0,0,-49.49
SS Agarwal,2017-2024,220,51,31.42,0,32,5/13,15.84,1,6,0,15.58
Ankit Soni,,7,7*,3.50,0,2,1/16,72.00,0,1,0,-68.49
NB Singh,2015-2019,1,1*,0.50,0,30,4/13,12.46,0,2,0,-11.96
Tejas Baroka,2017-2024,1,1*,-,0,0,-,-,0,0,0,-
