Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
CH Gayle,2009-2010,Deccan Chargers,West Indies,144.1,Offbreak,14562,175*,36.22,22,83,4/22,31.54,0,104.0,0.0,4.68
CK Langeveldt,2009-2010,Deccan Chargers,South Africa,70.6,Medium,82,14*,10.25,0,138,5/16,21.46,1,22.0,0.0,-11.21
MC Henriques,2009-2009,Deccan Chargers,Australia,128.0,Medium,5562,77,27.13,0,120,3/11,29.18,0,129.0,0.0,-2.05
MN van Wyk,2009-2009,Deccan Chargers,South Africa,132.2,Orthodox,4015,114*,30.88,1,-,-,-,-,85.0,26.0,-
Mashrafe Mortaza,2009-2009,Deccan Chargers,Bangladesh,128.7,Medium,1141,56*,12.96,0,170,5/35,28.71,1,37.0,0.0,-15.75
SB Bangar,2009-2009,Deccan Chargers,Deccan Chargers,84.5,Medium,381,67,15.24,0,31,5/16,22.87,1,6.0,0.0,-7.63
SS Sarkar,2009-2009,Deccan Chargers,Kolkata Knight Riders,,Medium,-,-,-,-,2,1/15,63.50,0,0.0,0.0,-
SS Shaikh,2009-2009,Deccan Chargers,Kolkata Knight Riders,85.7,Medium,405,110,25.31,1,4,3/27,35.25,0,6.0,0.0,-9.93
Yashpal Singh,2009-2009,Deccan Chargers,Kolkata Knight Riders,71.2,Medium,1393,63*,26.78,0,14,3/26,28.00,0,16.0,0.0,-1.21
CA Pujara,2010-2010,Deccan Chargers,Kolkata Knight Riders,105.5,Legbreak,1556,100*,29.35,1,-,-,-,-,37.0,0.0,-
Harpreet Singh,2010-2010,Deccan Chargers,Pune Warriors,111.3,Medium,2757,92*,35.34,0,6,2/15,22.33,0,51.0,0.0,13.01
JD Unadkat,2010-2016,Deccan Chargers,India,117.9,Medium,562,58*,15.61,0,245,5/25,23.81,2,61.0,0.0,-8.20
MB Parmar,2010-2010,Deccan Chargers,Kolkata Knight Riders,,Offbreak,12,7,4.00,0,4,2/27,49.00,0,1.0,0.0,-44.99
MK Tiwary,2010-2013,Deccan Chargers,India,114.9,Legbreak,3436,75*,28.39,0,34,4/23,26.55,0,94.0,0.0,1.83
Mandeep Singh,2010-2023,Deccan Chargers,India,124.8,Orthodox,4043,99*,27.88,0,16,3/21,27.93,0,79.0,0.0,-0.05
OA Shah,2010-2010,Deccan Chargers,England,121.5,Offbreak,5,3,1.66,0,-,-,-,-,1.0,0.0,-
RS Gavaskar,2010-2010,Deccan Chargers,Kolkata Knight Riders,25.0,Orthodox,113,47,16.14,0,3,1/16,37.33,0,1.0,0.0,-21.19
SE Bond,2010-2010,Deccan Chargers,New Zealand,95.7,Fast,32,8*,4.00,0,51,4/19,21.74,0,9.0,0.0,-17.74
B Lee,2011-2013,Deccan Chargers,Australia,129.2,Fast,416,48,13.86,0,109,4/28,29.88,0,28.0,0.0,-16.02
BJ Haddin,2011-2011,Deccan Chargers,Australia,128.1,,1747,76,22.39,0,-,-,-,-,61.0,20.0,-
EJG Morgan,2011-2021,Deccan Chargers,England,130.9,Medium,,,,,,,,,,,
G Gambhir,2011-2017,Deccan Chargers,India,122.7,Legbreak,6402,93,28.96,0,-,-,-,-,51.0,0.0,-
JH Kallis,2011-2014,Deccan Chargers,South Africa,112.7,Medium,4416,97*,30.88,0,114,4/15,30.54,0,54.0,0.0,0.33
L Balaji,2011-2013,Deccan Chargers,India,73.7,Medium,54,15,4.90,0,126,5/24,22.19,1,16.0,0.0,-17.28
MS Bisla,2011-2014,Deccan Chargers,Kolkata Knight Riders,116.5,,1324,92,21.70,0,-,-,-,-,40.0,15.0,-
MV Boucher,2011-2011,Deccan Chargers,South Africa,115.4,Medium,,,,,,,,,,,
R Bhatia,2011-2013,Deccan Chargers,Delhi Daredevils,113.3,Medium,1251,107*,21.56,1,111,4/15,27.20,0,46.0,0.0,-5.63
RN ten Doeschate,2011-2015,Deccan Chargers,Netherlands,134.4,Medium,7597,121*,29.33,2,114,4/24,25.63,0,134.0,0.0,3.70
S Ladda,2011-2013,Deccan Chargers,Delhi Daredevils,0.0,Legbreak,5,5,2.50,0,10,3/30,32.80,0,1.0,0.0,-30.29
SP Goswami,2011-2011,Deccan Chargers,Kolkata Knight Riders,107.3,,2437,86*,26.78,0,-,-,-,-,52.0,10.0,-
Shakib Al Hasan,2011-2021,Deccan Chargers,Bangladesh,126.2,Orthodox,7690,89*,21.12,0,504,6/6,21.62,5,108.0,0.0,-0.50
YK Pathan,2011-2017,Deccan Chargers,India,140.9,Offbreak,4852,100,27.56,1,99,4/10,28.42,0,86.0,0.0,-0.85
M de Lange,2012-2012,Deccan Chargers,South Africa,129.8,Fast,420,28*,11.05,0,174,5/20,25.64,1,44.0,0.0,-14.59
PJ Sangwan,2012-2013,Deccan Chargers,Delhi Daredevils,64.4,Medium,262,29,11.90,0,104,3/13,26.05,0,34.0,0.0,-14.14
SP Narine,2012-2025,Deccan Chargers,West Indies,148.8,Offbreak,4654,109,15.51,1,599,5/19,22.04,1,128.0,0.0,-6.52
Mohammed Shami,2013-2013,Deccan Chargers,India,103.4,Fast,134,32*,6.38,0,210,4/11,25.09,0,33.0,0.0,-18.71
P Dogra,2013-2013,Deccan Chargers,Rajasthan Royals,110.5,Legbreak,2324,93*,27.66,0,0,-,-,0,64.0,0.0,-
R McLaren,2013-2013,Deccan Chargers,South Africa,116.2,Medium,1751,77,23.03,0,166,5/19,28.62,1,64.0,0.0,-5.58
S Narwal,2013-2013,Deccan Chargers,Rajasthan Royals,137.0,Medium,277,42,21.30,0,27,3/15,30.51,0,9.0,0.0,-9.21
SMSM Senanayake,2013-2013,Deccan Chargers,Sri Lanka,90.1,Offbreak,532,59,12.97,0,124,4/23,19.59,0,36.0,0.0,-6.62
AD Russell,2014-2025,Deccan Chargers,West Indies,167.6,Fast,9449,121*,26.32,2,496,5/15,25.87,1,238.0,0.0,0.44
CA Lynn,2014-2019,Deccan Chargers,Australia,143.8,Orthodox,8526,113*,32.91,6,3,2/15,31.00,0,72.0,0.0,1.91
M Morkel,2014-2016,Deccan Chargers,South Africa,117.0,Fast,213,23*,8.52,0,207,4/17,25.29,0,27.0,0.0,-16.77
MK Pandey,2014-2025,Deccan Chargers,India,122.0,Offbreak,7100,129*,31.69,3,10,4/27,21.20,0,152.0,2.0,10.49
PJ Cummins,2014-2022,Deccan Chargers,Australia,139.2,Fast,1001,66*,17.56,0,192,4/16,27.33,0,45.0,0.0,-9.77
PP Chawla,2014-2019,Deccan Chargers,India,113.3,Legbreak,1565,45*,14.76,0,319,4/12,24.45,0,73.0,0.0,-9.68
R Vinay Kumar,2014-2018,Deccan Chargers,India,112.0,Medium,861,68,15.37,0,194,4/4,25.09,0,59.0,0.0,-9.72
RV Uthappa,2014-2019,Deccan Chargers,India,130.5,Medium,,,,,,,,,,,
SA Yadav,2014-2017,Deccan Chargers,India,153.9,Medium,8674,117,35.69,6,8,2/5,18.12,0,162.0,0.0,17.57
UT Yadav,2014-2023,Deccan Chargers,India,102.2,Fast,333,26,11.10,0,202,5/18,27.42,2,52.0,0.0,-16.32
Azhar Mahmood,2015-2015,Deccan Chargers,Sydney Thunder,131.0,Medium,4091,106*,25.56,2,258,5/24,23.81,1,45.0,0.0,1.75
GB Hogg,2015-2016,Deccan Chargers,Australia,104.3,Chinaman,351,54,15.26,0,140,4/9,24.75,0,32.0,0.0,-9.48
J Botha,2015-2015,Deccan Chargers,South Africa,117.6,Offbreak,1991,67*,19.51,0,166,4/16,28.42,0,94.0,0.0,-8.90
KC Cariappa,2015-2019,Deccan Chargers,Kolkata Knight Riders,104.9,Legbreak,170,21*,10.00,0,50,4/15,25.28,0,13.0,0.0,-15.27
AS Rajpoot,2016-2017,Deccan Chargers,Chennai Super Kings,63.4,Medium,66,8,7.33,0,105,5/14,21.55,3,12.0,0.0,-14.21
C Munro,2016-2016,Deccan Chargers,New Zealand,140.1,Medium,11616,120,30.25,6,31,4/15,33.38,0,134.0,0.0,-3.13
JO Holder,2016-2016,Deccan Chargers,West Indies,136.8,Medium,3035,69,18.61,0,324,5/27,27.61,1,153.0,0.0,-8.99
JW Hastings,2016-2016,Deccan Chargers,Australia,162.9,Medium,877,80*,16.86,0,116,4/26,24.70,0,25.0,0.0,-7.84
Kuldeep Yadav,2016-2020,Deccan Chargers,India,84.4,Chinaman,298,35*,13.54,0,223,5/17,20.99,3,41.0,0.0,-7.44
R Sathish,2016-2016,Deccan Chargers,Mumbai Indians,141.9,Medium,722,41*,19.00,0,24,3/12,26.37,0,30.0,0.0,-7.37
C de Grandhomme,2017-2017,Deccan Chargers,New Zealand,143.9,Medium,,,,,,,,,,,
CR Woakes,2017-2017,Deccan Chargers,England,125.9,Medium,1031,57*,20.21,0,177,4/21,25.24,0,64.0,0.0,-5.02
DM Bravo,2017-2017,Deccan Chargers,West Indies,114.0,Medium,3575,94*,30.04,0,-,-,-,-,60.0,0.0,-
IR Jaggi,2017-2017,Deccan Chargers,Deccan Chargers,93.5,Legbreak,1750,108*,34.31,1,2,1/13,41.50,0,21.0,0.0,-7.18
NM Coulter-Nile,2017-2017,Deccan Chargers,Australia,132.2,Fast,693,42*,12.15,0,191,4/10,23.03,0,51.0,0.0,-10.87
SP Jackson,2017-2022,Deccan Chargers,Kolkata Knight Riders,125.2,,1812,106*,27.45,1,-,-,-,-,56.0,8.0,-
TA Boult,2017-2017,Deccan Chargers,New Zealand,116.7,Medium,307,23*,10.96,0,329,4/13,25.31,0,97.0,0.0,-14.34
JPR Scantlebury-Searles,2018-2018,Deccan Chargers,,0.0,,235,29,9.40,0,29,4/5,23.44,0,34.0,0.0,-14.04
KD Karthik,2018-2021,Deccan Chargers,India,136.8,,7537,97*,27.01,0,1,1/10,28.00,0,236.0,72.0,-0.98
M Prasidh Krishna,2018-2021,Deccan Chargers,India,34.5,Medium,10,4*,2.50,0,106,4/30,28.99,0,21.0,0.0,-26.49
MG Johnson,2018-2018,Deccan Chargers,Australia,105.0,Fast,320,30,12.80,0,123,3/3,25.78,0,28.0,0.0,-12.98
N Rana,2018-2024,Deccan Chargers,India,136.2,Offbreak,4848,107,28.02,1,51,4/17,21.21,0,54.0,0.0,6.80
RK Singh,2018-2025,Deccan Chargers,India,150.9,Offbreak,3221,79,34.26,0,5,2/3,24.80,0,95.0,0.0,9.46
Shivam Mavi,2018-2022,Deccan Chargers,India,100.0,Medium,158,45*,8.77,0,57,4/14,29.29,0,26.0,0.0,-20.52
Shubman Gill,2018-2021,Deccan Chargers,India,139.4,Offbreak,5156,129,37.63,6,-,-,-,-,56.0,0.0,-
TK Curran,2018-2018,Deccan Chargers,England,143.5,Medium,2396,67*,21.58,0,255,4/15,25.52,0,66.0,0.0,-3.93
CR Brathwaite,2019-2019,Deccan Chargers,West Indies,136.0,Medium,2385,64*,15.69,0,248,4/14,25.75,0,108.0,0.0,-10.05
HF Gurney,2019-2019,Deccan Chargers,England,73.3,Medium,27,6,3.85,0,190,5/30,22.58,1,18.0,0.0,-18.72
JL Denly,2019-2019,Deccan Chargers,England,127.4,Legbreak,7107,127,27.02,5,53,4/19,27.22,0,111.0,0.0,-0.20
LH Ferguson,2019-2023,Deccan Chargers,New Zealand,116.2,Fast,288,30,11.07,0,228,5/21,22.32,1,52.0,0.0,-11.24
NS Naik,2019-2020,Deccan Chargers,Kings XI Punjab,62.0,,1077,95*,27.61,0,-,-,-,-,36.0,10.0,-
S Sandeep Warrier,2019-2021,Deccan Chargers,India,60.0,Medium,26,9*,6.50,0,78,4/21,26.47,0,12.0,0.0,-19.97
Y Prithvi Raj,2019-2019,Deccan Chargers,Kolkata Knight Riders,0.0,Medium,3,3*,3.00,0,8,3/28,24.75,0,0.0,0.0,-21.74
CJ Green,2020-2020,Deccan Chargers,Australia,137.8,Offbreak,1997,50,17.21,0,243,5/32,25.92,1,152.0,0.0,-8.71
CV Varun,2020-2025,Deccan Chargers,India,81.9,Legbreak,76,24,6.33,0,157,5/17,21.31,3,21.0,0.0,-14.97
KL Nagarkoti,2020-2021,Deccan Chargers,Kolkata Knight Riders,65.8,Fast,109,39*,9.90,0,29,3/14,27.06,0,11.0,0.0,-17.15
RA Tripathi,2020-2021,Deccan Chargers,India,139.0,Medium,3644,93,25.30,0,12,5/27,23.75,1,71.0,0.0,1.55
T Banton,2020-2020,Deccan Chargers,England,141.9,,4703,107*,27.02,4,-,-,-,-,101.0,10.0,-
Harbhajan Singh,2021-2021,Deccan Chargers,India,136.2,Offbreak,1512,78,14.67,0,235,5/18,26.35,1,83.0,0.0,-11.67
TG Southee,2021-2023,Deccan Chargers,New Zealand,131.5,Medium,930,74,10.94,0,346,6/16,24.57,4,132.0,0.0,-13.63
TL Seifert,2021-2021,Deccan Chargers,New Zealand,135.0,,6584,125*,28.50,4,-,-,-,-,181.0,37.0,-
VR Iyer,2021-2025,Deccan Chargers,India,138.9,Medium,3038,104,35.32,1,49,6/20,25.18,1,52.0,0.0,10.14
A Tomar,2022-2022,Deccan Chargers,Singapore Women,84.8,Offbreak,499,84*,27.72,0,-,-,-,-,10.0,0.0,-
AJ Finch,2022-2022,Deccan Chargers,Australia,138.1,Orthodox,11458,172,33.60,8,7,1/9,52.71,0,164.0,0.0,-19.11
AM Rahane,2022-2025,Deccan Chargers,India,125.0,Medium,7242,105*,29.92,2,1,1/5,5.00,0,120.0,0.0,24.92
AS Roy,2022-2025,Deccan Chargers,Mumbai Indians,152.7,Orthodox,657,91,20.53,0,38,4/17,33.10,0,30.0,0.0,-12.57
Aman Hakim Khan,2022-2022,Deccan Chargers,Kolkata Knight Riders,128.1,Offbreak,263,51,15.47,0,4,2/14,40.75,0,17.0,0.0,-25.27
B Indrajith,2022-2022,Deccan Chargers,Kolkata Knight Riders,123.7,,546,78,21.00,0,-,-,-,-,9.0,0.0,-
Harshit Rana,2022-2025,Deccan Chargers,India,112.5,Medium,72,34,12.00,0,47,3/24,24.85,0,13.0,0.0,-12.85
Rasikh Salam,2022-2022,Deccan Chargers,Mumbai Indians,95.7,Medium,,,,,,,,,,,
SS Iyer,2022-2024,Deccan Chargers,India,134.2,Legbreak,6578,147,34.08,3,1,1/28,81.00,0,102.0,0.0,-46.91
SW Billings,2022-2022,Deccan Chargers,England,134.3,,7238,106,24.04,1,-,-,-,-,237.0,32.0,-
D Wiese,2023-2023,Deccan Chargers,South Africa,141.5,Medium,4519,79*,22.59,0,334,5/19,26.24,7,154.0,0.0,-3.65
JJ Roy,2023-2023,Deccan Chargers,England,140.0,,10554,145*,27.20,6,1,1/23,39.00,0,202.0,0.0,-11.79
K Khejroliya,2023-2023,Deccan Chargers,Royal Challengers Bangalore,,Medium,19,18*,-,0,27,4/26,26.22,0,4.0,0.0,-
Litton Das,2023-2023,Deccan Chargers,,0.0,,5787,125*,24.83,1,-,-,-,-,147.0,38.0,-
N Jagadeesan,2023-2023,Deccan Chargers,Chennai Super Kings,126.9,,1475,88,31.38,0,-,-,-,-,26.0,7.0,-
Rahmanullah Gurbaz,2023-2025,Deccan Chargers,Afghanistan,142.7,,5604,121*,24.68,2,1,1/2,11.00,0,126.0,17.0,13.68
SN Thakur,2023-2023,Deccan Chargers,India,145.4,Medium,459,68,10.92,0,202,4/25,26.92,0,54.0,0.0,-15.99
Suyash Sharma,2023-2024,Deccan Chargers,Kolkata Knight Riders,,Legbreak,6,6*,-,0,41,5/13,28.29,1,4.0,0.0,-
VG Arora,2023-2025,Deccan Chargers,Punjab Kings,42.3,Medium,27,11,3.85,0,66,3/16,27.50,0,20.0,0.0,-23.64
A Raghuvanshi,2024-2025,Deccan Chargers,Kolkata Knight Riders,137.2,Orthodox,685,54,27.40,0,-,-,-,-,14.0,0.0,-
MA Starc,2024-2024,Deccan Chargers,Australia,94.5,Fast,225,29,9.00,0,207,5/35,20.96,1,57.0,0.0,-11.96
PD Salt,2024-2024,Deccan Chargers,England,155.9,Offbreak,7763,141*,28.12,4,-,-,-,-,165.0,14.0,-
PVD Chameera,2024-2024,Deccan Chargers,Sri Lanka,94.0,Fast,223,24*,7.43,0,167,4/17,27.08,0,35.0,0.0,-19.65
Ramandeep Singh,2024-2025,Deccan Chargers,India,168.0,Medium,687,64,22.16,0,22,3/20,17.27,0,39.0,0.0,4.88
A Nortje,2025-2025,Deccan Chargers,South Africa,95.0,Fast,185,25,8.04,0,181,4/7,22.90,0,38.0,0.0,-14.85
C Sakariya,2025-2025,Deccan Chargers,India,62.5,Medium,25,7,3.57,0,65,5/11,20.76,1,13.0,0.0,-17.19
MM Ali,2025-2025,Deccan Chargers,England,139.7,Offbreak,7450,121*,23.65,3,263,5/34,24.78,1,123.0,0.0,-1.13
Q de Kock,2025-2025,Deccan Chargers,South Africa,137.7,,11421,140*,31.20,7,-,-,-,-,286.0,57.0,-
R Powell,2025-2025,Deccan Chargers,West Indies,141.4,Medium,5338,107,24.94,1,26,2/21,45.84,0,149.0,0.0,-20.90
SH Johnson,2025-2025,Deccan Chargers,Australia,111.0,Fast,90,27,8.18,0,85,5/26,22.94,1,19.0,0.0,-14.75
B Lee,2008-2010,Delhi Daredevils,Australia,129.2,Fast,416,48,13.86,0,109,4/28,29.88,0,28.0,0.0,-16.02
DPMD Jayawardene,2008-2010,Delhi Daredevils,Sri Lanka,126.7,Medium,5479,116,29.29,3,3,2/22,32.33,0,75.0,0.0,-3.03
Gagandeep Singh,2008-2008,Delhi Daredevils,Ghana,93.0,Legbreak,1,1,1.00,0,0,-,-,0,0.0,0.0,-
IK Pathan,2008-2010,Delhi Daredevils,India,117.8,Medium,2020,65*,22.95,0,173,5/13,26.40,1,44.0,0.0,-3.45
JR Hopes,2008-2008,Delhi Daredevils,Australia,119.4,Medium,1468,71,22.58,0,67,3/23,33.65,0,22.0,0.0,-11.07
K Goel,2008-2010,Delhi Daredevils,Kings XI Punjab,94.4,Offbreak,679,82,19.97,0,10,4/13,22.60,0,13.0,0.0,-2.62
KC Sangakkara,2008-2010,Delhi Daredevils,Sri Lanka,124.8,Offbreak,6937,94,29.27,0,-,-,-,-,167.0,60.0,-
LA Pomersbach,2008-2013,Delhi Daredevils,Australia,130.5,Offbreak,1228,112*,26.12,1,-,-,-,-,21.0,0.0,-
P Dharmani,2008-2008,Delhi Daredevils,,0.0,,47,16*,9.40,0,-,-,-,-,10.0,8.0,-
PP Chawla,2008-2013,Delhi Daredevils,India,113.3,Legbreak,1565,45*,14.76,0,319,4/12,24.45,0,73.0,0.0,-9.68
RR Powar,2008-2012,Delhi Daredevils,Kings XI Punjab,104.7,Offbreak,72,28*,18.00,0,14,2/11,40.14,0,5.0,0.0,-22.14
RR Sarwan,2008-2008,Delhi Daredevils,West Indies,106.8,Legbreak,1197,70,19.30,0,2,2/10,11.00,0,24.0,0.0,8.30
S Sohal,2008-2010,Delhi Daredevils,United States of America,122.5,Legbreak,573,62,18.48,0,-,-,-,-,6.0,0.0,-
S Sreesanth,2008-2010,Delhi Daredevils,India,78.3,Medium,73,19*,9.12,0,54,3/29,33.57,0,9.0,0.0,-24.44
SE Marsh,2008-2017,Delhi Daredevils,Australia,127.7,Orthodox,7050,115,37.90,2,0,-,-,0,66.0,0.0,-
SM Katich,2008-2009,Delhi Daredevils,Australia,127.4,Chinaman,2483,75,30.28,0,0,-,-,0,47.0,0.0,-
TM Srivastava,2008-2009,Delhi Daredevils,Kings XI Punjab,72.7,Medium,649,84*,28.21,0,0,-,-,0,9.0,0.0,-
U Kaul,2008-2008,Delhi Daredevils,Kings XI Punjab,0.0,,169,69,28.16,0,-,-,-,-,6.0,3.0,-
VRV Singh,2008-2010,Delhi Daredevils,Kings XI Punjab,133.3,Medium,39,22*,13.00,0,31,4/24,28.58,0,7.0,0.0,-15.58
WA Mota,2008-2009,Delhi Daredevils,Kings XI Punjab,74.7,Medium,228,50,15.20,0,11,3/29,27.09,0,6.0,0.0,-11.89
Yuvraj Singh,2008-2018,Delhi Daredevils,India,131.5,Orthodox,4857,83,25.69,0,80,4/29,24.86,0,53.0,0.0,0.83
RR Bose,2009-2009,Delhi Daredevils,Kings XI Punjab,,Medium,7,7,3.50,0,11,4/40,30.36,0,0.0,0.0,-26.86
RS Bopara,2009-2010,Delhi Daredevils,England,124.5,Medium,9948,108,28.10,3,292,6/16,25.59,1,158.0,0.0,2.50
T Kohli,2009-2009,Delhi Daredevils,Rajasthan Royals,111.1,Medium,1057,90,24.58,0,18,3/19,41.55,0,21.0,0.0,-16.97
VS Malik,2009-2011,Delhi Daredevils,Rajasthan Royals,100.0,Medium,13571,95*,35.99,0,187,5/13,27.70,2,238.0,0.0,8.29
YA Abdulla,2009-2010,Delhi Daredevils,South Africa,0.0,Medium,26,16*,8.66,0,63,4/31,19.80,0,6.0,0.0,-11.14
AB Barath,2010-2010,Delhi Daredevils,West Indies,105.9,Offbreak,966,68*,24.15,0,-,-,-,-,6.0,0.0,-
Bipul Sharma,2010-2013,Delhi Daredevils,Kings XI Punjab,152.0,Orthodox,1203,79*,23.58,0,84,4/28,21.98,0,30.0,0.0,1.60
J Theron,2010-2010,Delhi Daredevils,South Africa,119.4,Medium,237,31*,9.87,0,147,4/27,22.59,0,35.0,0.0,-12.72
L Ablish,2010-2011,Delhi Daredevils,Kings XI Punjab,0.0,Medium,6,4*,-,0,36,5/6,13.86,2,1.0,0.0,-
M Kaif,2010-2010,Delhi Daredevils,Royal Challengers Bangalore,104.1,Offbreak,1237,70,21.70,0,-,-,-,-,42.0,0.0,-
MS Bisla,2010-2010,Delhi Daredevils,Kolkata Knight Riders,116.5,,1324,92,21.70,0,-,-,-,-,40.0,15.0,-
RS Sodhi,2010-2010,Delhi Daredevils,Kings XI Punjab,200.0,Medium,45,12,5.00,0,5,3/23,25.20,0,5.0,0.0,-20.19
SJ Srivastava,2010-2011,Delhi Daredevils,Kings XI Punjab,100.0,Medium,6,3*,2.00,0,20,3/29,32.65,0,6.0,0.0,-30.64
AC Gilchrist,2011-2013,Delhi Daredevils,Australia,139.2,Offbreak,2622,109*,27.03,3,1,1/0,0.00,0,74.0,22.0,27.03
AM Nayar,2011-2012,Delhi Daredevils,Mumbai Indians,116.5,Medium,1291,79,21.51,0,27,3/13,34.33,0,23.0,0.0,-12.81
BA Bhatt,2011-2013,Delhi Daredevils,Kings XI Punjab,150.0,Orthodox,90,20,11.25,0,51,4/22,26.66,0,16.0,0.0,-15.41
DJ Hussey,2011-2013,Delhi Daredevils,Australia,124.4,Offbreak,6097,100*,30.03,1,68,3/25,26.35,0,129.0,0.0,3.68
KD Karthik,2011-2011,Delhi Daredevils,India,136.8,,7537,97*,27.01,0,1,1/10,28.00,0,236.0,72.0,-0.98
Mandeep Singh,2011-2021,Delhi Daredevils,India,124.8,Orthodox,4043,99*,27.88,0,16,3/21,27.93,0,79.0,0.0,-0.05
NJ Rimmington,2011-2011,Delhi Daredevils,Perth Scorchers,101.7,Medium,214,26,9.72,0,135,5/27,23.26,1,27.0,0.0,-13.53
P Kumar,2011-2013,Delhi Daredevils,India,108.4,Medium,687,76*,12.26,0,143,3/18,32.16,0,22.0,0.0,-19.89
PC Valthaty,2011-2013,Delhi Daredevils,Rajasthan Royals,120.8,Medium,778,120*,23.57,1,11,4/29,31.09,0,6.0,0.0,-7.51
R McLaren,2011-2011,Delhi Daredevils,South Africa,116.2,Medium,1751,77,23.03,0,166,5/19,28.62,1,64.0,0.0,-5.58
RJ Harris,2011-2013,Delhi Daredevils,Australia,107.4,Fast,239,31,10.86,0,81,4/34,21.54,0,23.0,0.0,-10.67
SD Chitnis,2011-2012,Delhi Daredevils,Mumbai Indians,111.2,Offbreak,510,89*,28.33,0,4,2/40,28.50,0,9.0,0.0,-0.16
Sunny Singh,2011-2011,Delhi Daredevils,Kings XI Punjab,138.7,Medium,599,74*,23.03,0,-,-,-,-,9.0,0.0,-
AD Mascarenhas,2012-2013,Delhi Daredevils,England,108.2,Medium,1356,57*,19.09,0,152,5/14,20.61,2,30.0,0.0,-1.51
Azhar Mahmood,2012-2013,Delhi Daredevils,Sydney Thunder,131.0,Medium,4091,106*,25.56,2,258,5/24,23.81,1,45.0,0.0,1.75
DA Miller,2012-2019,Delhi Daredevils,South Africa,137.5,Offbreak,11476,120*,35.09,4,0,-,-,0,321.0,1.0,-
Gurkeerat Singh,2012-2017,Delhi Daredevils,Kings XI Punjab,119.6,Offbreak,,,,,,,,,,,
Harmeet Singh,2012-2013,Delhi Daredevils,United States of America,122.9,Medium,382,38,11.57,0,56,4/18,23.71,0,15.0,0.0,-12.13
JP Faulkner,2012-2012,Delhi Daredevils,Australia,126.6,Medium,1953,73,21.46,0,262,5/16,22.80,3,69.0,0.0,-1.33
N Saini,2012-2012,Delhi Daredevils,Kings XI Punjab,99.3,,858,74*,18.65,0,-,-,-,-,43.0,15.0,-
P Awana,2012-2014,Delhi Daredevils,India,31.2,Medium,22,8*,4.40,0,77,4/30,22.37,0,10.0,0.0,-17.97
P Dogra,2012-2012,Delhi Daredevils,Rajasthan Royals,110.5,Legbreak,2324,93*,27.66,0,0,-,-,0,64.0,0.0,-
M Vohra,2013-2017,Delhi Daredevils,Kings XI Punjab,131.1,Medium,3340,106*,28.79,1,-,-,-,-,41.0,0.0,-
MG Neser,2013-2013,Delhi Daredevils,Brisbane Heat,128.0,Medium,739,64*,14.21,0,145,4/25,23.90,0,65.0,0.0,-9.69
MS Gony,2013-2013,Delhi Daredevils,Chennai Super Kings,139.4,Medium,501,42,13.54,0,97,4/16,25.17,0,17.0,0.0,-11.63
R Sathish,2013-2013,Delhi Daredevils,Mumbai Indians,141.9,Medium,722,41*,19.00,0,24,3/12,26.37,0,30.0,0.0,-7.37
Sandeep Sharma,2013-2022,Delhi Daredevils,India,79.5,Medium,117,13*,11.70,0,223,5/18,25.92,1,45.0,0.0,-14.22
AR Patel,2014-2018,Delhi Daredevils,India,135.9,Orthodox,3377,70*,23.45,0,247,4/21,27.61,0,124.0,0.0,-4.16
BE Hendricks,2014-2015,Delhi Daredevils,South Africa,77.1,Medium,119,23*,9.91,0,142,6/29,24.10,1,31.0,0.0,-14.18
CA Pujara,2014-2014,Delhi Daredevils,Kolkata Knight Riders,105.5,Legbreak,1556,100*,29.35,1,-,-,-,-,37.0,0.0,-
GJ Bailey,2014-2015,Delhi Daredevils,Australia,129.5,Medium,4127,89*,28.86,0,0,-,-,0,84.0,0.0,-
GJ Maxwell,2014-2025,Delhi Daredevils,Australia,154.9,Offbreak,10846,154*,27.81,8,194,3/10,29.79,0,259.0,0.0,-1.98
Karanveer Singh,2014-2015,Delhi Daredevils,Kings XI Punjab,69.0,Legbreak,36,17*,18.00,0,21,4/15,22.19,0,7.0,0.0,-4.19
L Balaji,2014-2014,Delhi Daredevils,India,73.7,Medium,54,15,4.90,0,126,5/24,22.19,1,16.0,0.0,-17.28
M Kartik,2014-2014,Delhi Daredevils,India,103.7,Orthodox,320,35,12.80,0,110,5/13,31.36,1,38.0,0.0,-18.56
MG Johnson,2014-2016,Delhi Daredevils,Australia,105.0,Fast,320,30,12.80,0,123,3/3,25.78,0,28.0,0.0,-12.98
R Dhawan,2014-2024,Delhi Daredevils,India,118.1,Medium,1740,72*,30.00,0,118,6/23,26.44,1,34.0,0.0,3.55
Shivam Sharma,2014-2015,Delhi Daredevils,Canada,207.1,Offbreak,17,12,5.66,0,9,3/7,23.88,0,4.0,0.0,-18.22
V Sehwag,2014-2015,Delhi Daredevils,India,151.5,Offbreak,,122,,2,,,,,,,
WP Saha,2014-2017,Delhi Daredevils,Chennai Super Kings,125.5,,4655,129,24.24,2,-,-,-,-,142.0,39.0,-
Anureet Singh,2015-2017,Delhi Daredevils,Kings XI Punjab,91.2,Medium,282,41,15.66,0,64,3/12,29.89,0,23.0,0.0,-14.22
