Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Jacob Bethell,2021-2025,1514,87,24.03,0,18,2/5,26.50,0,43,0,-2.46
Codi Yusuf,2018-2025,97,25,16.16,0,36,3/15,30.88,0,10,0,-14.72
Dayyaan Galiem,2015-2025,756,74*,21.60,0,56,4/11,26.28,0,23,0,-4.68
Andile Phehlukwayo,2014-2025,1027,39*,13.16,0,121,5/26,26.23,1,19,0,-13.06
Bjorn Fortuin,2014-2025,518,32,10.57,0,171,4/8,22.31,0,57,0,-11.74
Eshan Malinga,2022-2025,24,15,8.00,0,44,4/15,20.29,0,10,0,-12.29
Kwena Maphaka,2022-2025,53,22*,26.50,0,49,4/18,25.22,0,12,0,1.27
Mujeeb Ur Rahman,2017-2025,433,34,9.21,0,296,5/15,23.55,2,51,0,-14.34
Lungi Ngidi,2015-2025,80,13*,6.66,0,190,5/39,21.34,1,31,0,-14.68
Nqabayomzi Peter,2021-2025,41,11*,13.66,0,38,4/7,21.28,0,12,0,-7.62
John Turner,2023-2025,12,4,6.00,0,48,4/23,18.85,0,5,0,-12.85
Dunith Wellalage,2022-2025,564,45,17.62,0,66,4/10,22.60,0,29,0,-4.98
Keith Dudgeon,2015-2025,387,36*,16.12,0,40,4/5,23.82,0,15,0,-7.69
Aiden Markram,2014-2025,4950,100,30.74,1,47,3/21,31.25,0,107,0,-0.50
Tom Abell,2016-2025,3715,101*,29.25,1,2,1/11,50.00,0,98,0,-20.74
David Bedingham,2015-2025,1671,78,21.42,0,-,-,-,-,20,1,-
Zak Crawley,2018-2025,2381,108*,27.36,1,-,-,-,-,48,0,-
Tony de Zorzi,2016-2025,1347,106*,19.52,1,0,-,-,0,16,0,-
Jordan Hermann,2022-2025,1383,106*,30.73,2,0,-,-,0,23,0,-
Daniel Smith,2021-2024,319,69,22.78,0,-,-,-,-,8,2,-
Tristan Stubbs,2021-2025,2999,80*,32.24,0,11,2/6,29.90,0,85,4,2.33
Liam Dawson,2008-2025,2888,82,17.60,0,270,5/17,25.39,1,125,0,-7.78
Marco Jansen,2019-2025,983,71*,20.47,0,130,5/30,26.43,1,61,0,-5.95
Patrick Kruger,2013-2025,2055,86*,24.17,0,50,4/27,25.92,0,60,0,-1.74
Craig Overton,2014-2025,596,42,15.68,0,141,4/25,26.31,0,98,0,-10.62
Andile Simelane,2021-2025,147,22,8.16,0,28,4/19,22.96,0,10,0,-14.79
Beyers Swanepoel,2019-2025,390,83,17.72,0,44,5/39,27.09,1,12,0,-9.36
Roelof van der Merwe,2008-2025,3143,89*,21.38,0,338,6/20,23.89,2,150,0,-2.51
Ottneil Baartman,2014-2025,15,5,2.50,0,132,5/14,18.18,1,24,0,-15.68
Okuhle Cele,2016-2024,12,5*,12.00,0,33,4/13,23.90,0,7,0,-11.90
Richard Gleeson,2016-2025,65,8,4.64,0,149,5/33,23.55,1,25,0,-18.90
Simon Harmer,2011-2025,1301,55,15.12,0,178,4/18,28.47,0,120,0,-13.34
Caleb Seleka,2021-2024,50,18,6.25,0,31,3/13,26.90,0,10,0,-20.65
