Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MJ Ackerman,2023-2023,Sunrisers Eastern Cape,Cape Town Blitz,120.0,Offbreak,1336.0,74,25.69,0.0,1,1/3,88.00,0,36.0,0.0,-62.30
MS Crane,2023-2023,Sunrisers Eastern Cape,England,95.5,Legbreak,192.0,25,17.45,0.0,135,4/20,22.97,0,32.0,0.0,-5.52
OEG Baartman,2023-2025,Sunrisers Eastern Cape,South Africa,42.1,Medium,15.0,5,2.50,0.0,132,5/14,18.18,1,24.0,0.0,-15.68
RE van der Merwe,2023-2023,Sunrisers Eastern Cape,South Africa,134.9,Orthodox,3143.0,89*,21.38,0.0,338,6/20,23.89,2,150.0,0.0,-2.51
SJ Erwee,2023-2023,Sunrisers Eastern Cape,Durban Heat,119.9,Offbreak,1602.0,103*,23.55,1.0,6,2/14,10.66,0,31.0,0.0,12.89
SSB Magala,2023-2023,Sunrisers Eastern Cape,South Africa,114.1,Medium,753.0,63,17.92,0.0,140,5/20,24.26,2,26.0,0.0,-6.33
T Bavuma,2023-2024,Sunrisers Eastern Cape,South Africa,120.5,Medium,2653.0,104,27.07,1.0,-,-,-,-,54.0,0.0,-
T Stubbs,2023-2025,Sunrisers Eastern Cape,South Africa,144.2,Offbreak,2999.0,80*,32.24,0.0,11,2/6,29.90,0,85.0,4.0,2.33
TB Abell,2023-2025,Sunrisers Eastern Cape,Brisbane Heat,133.5,Medium,3715.0,101*,29.25,1.0,2,1/11,50.00,0,98.0,0.0,-20.74
B Swanepoel,2024-2025,Sunrisers Eastern Cape,Sunrisers Eastern Cape,72.2,Fast,390.0,83,17.72,0.0,44,5/39,27.09,1,12.0,0.0,-9.36
DJ Malan,2024-2024,Sunrisers Eastern Cape,England,131.8,Legbreak,10501.0,117,32.81,5.0,23,2/10,31.39,0,132.0,0.0,1.42
DJ Worrall,2024-2024,Sunrisers Eastern Cape,Melbourne Stars,99.5,Medium,178.0,62*,11.86,0.0,104,4/23,28.69,0,27.0,0.0,-16.82
LA Dawson,2024-2025,Sunrisers Eastern Cape,England,121.4,Orthodox,2888.0,82,17.60,0.0,270,5/17,25.39,1,125.0,0.0,-7.78
PE Kruger,2024-2025,Sunrisers Eastern Cape,South Africa,119.1,Medium,2055.0,86*,24.17,0.0,50,4/27,25.92,0,60.0,0.0,-1.74
SR Harmer,2024-2025,Sunrisers Eastern Cape,Jozi Stars,130.2,Offbreak,1301.0,55,15.12,0.0,178,4/18,28.47,0,120.0,0.0,-13.34
A Simelane,2025-2025,Sunrisers Eastern Cape,South Africa,81.7,Fast,136.0,22,8.00,0.0,26,4/19,23.65,0,10.0,0.0,-15.65
C Overton,2025-2025,Sunrisers Eastern Cape,MI Emirates,133.1,Medium,596.0,42,15.68,0.0,141,4/25,26.31,0,98.0,0.0,-10.62
DG Bedingham,2025-2025,Sunrisers Eastern Cape,Cape Town Blitz,133.2,,1671.0,78,21.42,0.0,-,-,-,-,20.0,1.0,-
RJ Gleeson,2025-2025,Sunrisers Eastern Cape,England,70.8,Medium,65.0,8,4.64,0.0,149,5/33,23.55,1,25.0,0.0,-18.90
T de Zorzi,2025-2025,Sunrisers Eastern Cape,Tshwane Spartans,115.0,Offbreak,1347.0,106*,19.52,1.0,0,-,-,0,16.0,0.0,-
Z Crawley,2025-2025,Sunrisers Eastern Cape,Hobart Hurricanes,139.2,Offbreak,2381.0,108*,27.36,1.0,-,-,-,-,48.0,0.0,-
