Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
K Verreynne,2023-2023,Joburg Super Kings,Cape Town Blitz,144.4,Offbreak,1620.0,116*,26.12,1.0,-,-,-,-,37.0,5.0,-
KI Simmonds,2023-2024,Joburg Super Kings,Joburg Super Kings,82.1,Orthodox,275.0,46*,13.75,0.0,51,3/14,20.09,0,15.0,0.0,-6.34
L Gregory,2023-2023,Joburg Super Kings,England,140.8,Medium,3139.0,76*,21.06,0.0,214,5/24,26.00,1,113.0,0.0,-4.93
LB Williams,2023-2024,Joburg Super Kings,South Africa,57.4,Medium,85.0,17*,8.50,0.0,111,4/13,21.16,0,20.0,0.0,-12.66
M Theekshana,2023-2025,Joburg Super Kings,Sri Lanka,68.1,Offbreak,249.0,15,6.07,0.0,210,4/15,25.95,0,42.0,0.0,-19.87
MP Siboto,2023-2023,Joburg Super Kings,Cape Town Blitz,104.8,Medium,131.0,19,10.07,0.0,121,4/19,26.66,0,28.0,0.0,-16.58
MS Wade,2023-2023,Joburg Super Kings,Australia,137.4,,5267.0,130*,26.73,1.0,-,-,-,-,150.0,20.0,-
N Brand,2023-2023,Joburg Super Kings,Joburg Super Kings,100.0,Orthodox,441.0,42,19.17,0.0,19,3/24,19.63,0,10.0,0.0,-0.45
N Burger,2023-2024,Joburg Super Kings,South Africa,54.4,Medium,66.0,9,5.50,0.0,88,3/10,23.46,0,23.0,0.0,-17.96
R Shepherd,2023-2024,Joburg Super Kings,West Indies,155.5,Medium,2173.0,73*,23.36,0.0,189,4/13,26.00,0,45.0,0.0,-2.63
RR Hendricks,2023-2024,Joburg Super Kings,South Africa,128.7,Medium,7790.0,117,34.16,5.0,8,2/7,33.50,0,118.0,0.0,0.66
AD Galiem,2024-2024,Joburg Super Kings,South Africa,87.2,Medium,756.0,74*,21.60,0.0,56,4/11,26.28,0,23.0,0.0,-4.68
D Wiese,2024-2025,Joburg Super Kings,South Africa,141.5,Medium,4519.0,79*,22.59,0.0,334,5/19,26.24,7,154.0,0.0,-3.65
DAJ Bracewell,2024-2024,Joburg Super Kings,New Zealand,153.8,Medium,1274.0,93*,27.69,0.0,103,3/19,24.98,0,41.0,0.0,2.71
Imran Tahir,2024-2025,Joburg Super Kings,South Africa,101.3,Legbreak,387.0,23,8.79,0.0,567,5/21,19.53,5,107.0,0.0,-10.74
MM Ali,2024-2025,Joburg Super Kings,England,139.7,Offbreak,7450.0,121*,23.65,3.0,263,5/34,24.78,1,123.0,0.0,-1.13
R Herrmann,2024-2024,Joburg Super Kings,Joburg Super Kings,88.2,,201.0,44,16.75,0.0,-,-,-,-,6.0,0.0,-
SJ Cook,2024-2024,Joburg Super Kings,Joburg Super Kings,95.6,Fast,65.0,18,6.50,0.0,102,4/15,27.16,0,29.0,0.0,-20.66
WL Madsen,2024-2024,Joburg Super Kings,Italy,138.4,Offbreak,5406.0,109*,31.06,2.0,22,2/20,36.81,0,86.0,0.0,-5.74
