Player,Span,Team,Country,SR,Bowling Style
Patrick Kruger,2013-2025,Unknown,South Africa,119.1,Medium
Craig Overton,2014-2025,Unknown,MI Emirates,133.1,Medium
Andile Simelane,2021-2025,Unknown,South Africa,87.3,Fast
Beyers Swanepoel,2019-2025,Unknown,Sunrisers Eastern Cape,72.2,Fast
Roelof van der Merwe,2008-2025,Unknown,South Africa,134.9,Orthodox
Ottneil Baartman,2014-2025,Unknown,,0,
Okuhle Cele,2016-2024,Unknown,Durban Heat,,Fast
Richard Gleeson,2016-2025,Unknown,England,70.8,Medium
Simon Harmer,2011-2025,Unknown,Jozi Stars,130.2,Offbreak
Caleb Seleka,2021-2024,Unknown,,0,
