Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
CG Benjamin,2021-2025,998,68*,19.96,0,-,-,-,-,33,1,-
C Bosch,2014-2025,747,81,17.78,0,70,4/19,31.64,0,41,0,-13.85
TA Boult,2009-2025,307,23*,10.96,0,329,4/13,25.31,0,97,0,-14.34
D Brevis,2021-2025,2518,162,28.94,2,18,2/19,21.27,0,53,0,7.66
SM Curran,2015-2025,4825,102*,24.36,1,291,5/10,27.90,4,117,0,-3.53
TH David,2018-2025,5833,102*,30.86,1,15,1/0,64.06,0,170,0,-33.20
C Esterhuizen,2022-2025,475,69,33.92,0,-,-,-,-,14,1,-
BE Hendricks,2011-2024,119,23*,9.91,0,142,6/29,24.10,1,31,0,-14.18
CA Ingram,2007-2025,9010,127*,28.33,4,40,4/32,32.97,0,124,0,-4.64
D Jansen,2019-2024,294,41,15.47,0,35,3/27,30.48,0,19,0,-15.01
TP Kaber,2013-2025,374,57*,15.58,0,54,3/11,19.79,0,13,0,-4.21
GF Linde,2012-2025,2417,66*,19.49,0,194,4/19,26.33,0,58,0,-6.84
LS Livingstone,2015-2025,7385,103,28.18,2,143,4/17,25.76,0,126,0,2.42
T Luus,2024-2025,11,8,5.50,0,9,3/35,24.44,0,2,0,-18.94
WB Marshall,2013-2023,1172,87,25.47,0,-,-,-,-,22,0,-
DL Piedt,2011-2025,103,29*,10.30,0,33,3/24,33.93,0,12,0,-23.63
KA Pollard,2006-2025,14216,104,31.87,1,333,4/15,25.33,0,397,0,6.53
D Potgieter,2015-2025,1253,71,30.56,0,46,5/10,17.50,2,23,0,13.06
MJ Potts,2019-2025,236,40*,14.75,0,90,5/17,24.36,1,30,0,-9.61
K Rabada,2014-2025,502,44,10.91,0,284,4/21,23.69,0,76,0,-12.77
Rashid Khan,2015-2025,2773,79*,13.93,0,672,6/17,18.46,4,173,0,-4.53
RD Rickelton,2017-2025,3553,103*,29.60,1,1,1/14,14.00,0,84,13,15.60
G Roelofsen,2017-2024,2066,91,29.94,0,-,-,-,-,52,13,-
Sediqullah Atal,2020-2025,2211,95*,35.09,0,-,-,-,-,28,0,-
OF Smith,2017-2025,818,44,16.69,0,101,4/30,27.90,0,36,0,-11.20
OP Stone,2011-2025,173,22*,6.65,0,113,4/14,27.31,0,37,0,-20.66
N Thushara,2016-2025,40,7*,4.00,0,170,5/13,19.84,2,15,0,-15.84
HE van der Dussen,2013-2025,6773,112*,36.80,5,3,2/15,18.33,0,72,0,18.47
N van Heerden,2017-2024,20,15,10.00,0,20,4/23,34.95,0,8,0,-24.94
Waqar Salamkheil,2018-2025,23,7,11.50,0,113,4/14,21.49,0,7,0,-9.99
FD Adams,2012-2024,1072,80*,19.49,0,91,5/23,26.06,1,24,0,-6.57
FA Allen,2017-2025,1544,64*,17.54,0,100,4/24,27.46,0,68,0,-9.91
JC Buttler,2009-2025,13474,124,35.83,8,-,-,-,-,287,49,-
KJ Dudgeon,2015-2025,387,36*,16.12,0,40,4/5,23.82,0,15,0,-7.69
BC Fortuin,2014-2025,499,32,10.18,0,170,4/8,22.28,0,56,0,-12.09
SR Hain,2016-2025,5053,112*,38.57,1,-,-,-,-,87,0,-
RA Herman,2017-2025,1248,102,32.84,1,-,-,-,-,31,3,-
KD Karthik,2006-2025,7537,97*,27.01,0,1,1/10,28.00,0,236,72,-0.98
OC McCoy,2017-2025,182,23*,7.58,0,189,6/17,24.15,2,28,0,-16.57
E Malinga,2022-2025,24,15,8.00,0,44,4/15,20.29,0,10,0,-12.29
I Manack,2013-2024,151,30,10.78,0,50,4/14,29.02,0,14,0,-18.23
KT Maphaka,2022-2025,53,22*,26.50,0,49,4/18,25.22,0,12,0,1.27
D Marais,2022-2025,389,87*,27.78,0,-,-,-,-,10,0,-
DA Miller,2008-2025,11476,120*,35.09,4,0,-,-,0,321,1,-
EJG Morgan,2006-2023,7780,91,26.02,0,-,-,-,-,160,0,-
Mujeeb Ur Rahman,2017-2025,410,34,8.72,0,293,5/15,23.64,2,50,0,-14.92
L Ngidi,2015-2025,80,13*,6.66,0,190,5/39,21.34,1,31,0,-14.68
MJ Owen,2021-2025,1095,108,25.46,2,26,5/17,26.84,1,25,0,-1.38
N Peter,2021-2025,41,11*,13.66,0,38,4/7,21.28,0,12,0,-7.62
AL Phehlukwayo,2014-2025,1027,39*,13.16,0,121,5/26,26.23,1,19,0,-13.06
LG Pretorius,2024-2025,1156,97,25.13,0,-,-,-,-,20,1,-
JE Root,2011-2025,3062,92*,32.23,0,35,2/7,28.05,0,58,0,4.17
JJ Roy,2008-2025,10554,145*,27.20,6,1,1/23,39.00,0,202,0,-11.79
RR Simmonds,2022-2025,30,13*,-,0,23,3/17,24.73,0,3,0,-
PR Stirling,2008-2025,8889,119,24.82,3,77,4/10,28.48,0,106,0,-3.65
JA Turner,2023-2025,12,4,6.00,0,48,4/23,18.85,0,5,0,-12.85
M Van Buuren,2018-2025,1181,72*,26.84,0,0,-,-,0,19,0,-
DJ Vilas,2009-2024,4235,75*,28.04,0,-,-,-,-,116,30,-
DN Wellalage,2022-2025,564,45,17.62,0,66,4/10,22.60,0,29,0,-4.98
Codi Yusuf,2018-2025,97,25,16.16,0,36,3/15,30.88,0,10,0,-14.72
MJ Ackerman,2015-2025,1336,74,25.69,0,1,1/3,88.00,0,36,0,-62.30
CN Ackermann,2011-2025,4615,90*,26.07,0,93,7/18,28.43,1,95,0,-2.35
JP Behrendorff,2012-2025,175,26,13.46,0,213,4/21,22.17,0,56,0,-8.71
M Boast,2022-2025,155,53,25.83,0,10,3/22,20.40,0,3,0,5.43
E Bosch,2017-2025,570,66,18.38,0,72,3/12,25.44,0,30,0,-7.05
S Dadswell,2018-2024,759,98*,21.68,0,12,2/25,33.33,0,17,0,-11.64
TB de Bruyn,2014-2024,2424,100,28.18,1,1,1/28,94.00,0,32,0,-65.81
DM Dupavillon,2014-2025,53,8,5.88,0,90,5/20,21.90,1,17,0,-16.01
C Fortuin,2014-2024,1368,104*,19.82,1,-,-,-,-,44,19,-
WG Jacks,2018-2025,6120,108*,29.00,5,80,4/15,22.68,0,112,0,6.31
K Lion-Cachet,,,,,,,,,,,,
JB Little,2016-2025,226,27*,13.29,0,167,5/13,23.77,1,49,0,-10.48
BKG Mendis,2015-2025,5101,105*,30.18,2,0,-,-,0,84,23,-
S Muthusamy,2013-2025,1207,62*,21.55,0,70,4/12,21.85,0,41,0,-0.30
JDS Neesham,2010-2025,4441,97*,23.49,0,260,5/22,25.03,1,124,0,-1.54
A Nortje,2013-2025,185,25,8.04,0,181,4/7,22.90,0,38,0,-14.85
WD Parnell,2008-2024,2200,99,18.48,0,317,5/30,25.40,1,71,0,-6.91
GG Peters,2019-2025,16,7*,-,0,25,3/23,18.80,0,3,0,-
M Pretorius,2017-2025,412,38*,10.30,0,100,4/14,24.42,0,16,0,-14.11
Rahmanullah Gurbaz,2017-2025,5604,121*,24.68,2,1,1/2,11.00,0,126,17,13.68
AU Rashid,2008-2025,976,36*,11.34,0,379,4/2,22.97,0,86,0,-11.62
TS Rogers,2017-2025,363,49*,15.78,0,91,5/16,25.68,1,34,0,-9.89
RR Rossouw,2008-2025,9434,121,29.20,9,3,1/3,10.66,0,159,0,18.54
PD Salt,2016-2025,7763,141*,28.12,4,-,-,-,-,165,14,-
WCF Smeed,2020-2025,3371,101*,27.40,1,-,-,-,-,59,0,-
S Stolk,,68,22,9.71,0,-,-,-,-,3,0,-
AJ Turner,2013-2025,3860,84*,24.90,0,35,3/20,25.62,0,96,0,-0.72
T van Vuuren,2019-2025,197,42*,17.90,0,11,2/33,64.45,0,9,0,-46.54
TB Abell,2016-2025,3715,101*,29.25,1,2,1/11,50.00,0,98,0,-20.74
OEG Baartman,2014-2025,15,5,2.50,0,132,5/14,18.18,1,24,0,-15.68
T Bavuma,2011-2024,2653,104,27.07,1,-,-,-,-,54,0,-
DG Bedingham,2015-2025,1671,78,21.42,0,-,-,-,-,20,1,-
BA Carse,2014-2025,789,58,17.15,0,55,3/23,36.47,0,35,0,-19.32
JM Cox,2019-2025,3510,139*,30.78,1,-,-,-,-,102,7,-
MS Crane,2015-2025,192,25,17.45,0,135,4/20,22.97,0,32,0,-5.52
Z Crawley,2018-2025,2381,108*,27.36,1,-,-,-,-,48,0,-
LA Dawson,2008-2025,2888,82,17.60,0,270,5/17,25.39,1,125,0,-7.78
SJ Erwee,2011-2023,1602,103*,23.55,1,6,2/14,10.66,0,31,0,12.89
JK Fuller,2011-2025,2057,57,19.97,0,184,6/28,25.96,1,85,0,-5.99
A Gqamane,2011-2024,502,42,13.21,0,49,3/20,35.69,0,30,0,-22.48
J Hermann,2022-2025,1383,106*,30.73,2,0,-,-,0,23,0,-
M Jansen,2019-2025,983,71*,20.47,0,130,5/30,26.43,1,61,0,-5.95
PE Kruger,2013-2025,2055,86*,24.17,0,50,4/27,25.92,0,60,0,-1.74
SSB Magala,2011-2023,753,63,17.92,0,140,5/20,24.26,2,26,0,-6.33
DJ Malan,2006-2025,10501,117,32.81,5,23,2/10,31.39,0,132,0,1.42
AK Markram,2014-2025,4950,100,30.74,1,47,3/21,31.25,0,107,0,-0.50
C Overton,2014-2025,596,42,15.68,0,141,4/25,26.31,0,98,0,-10.62
AM Rossington,2011-2025,3576,95,20.79,0,-,-,-,-,82,33,-
A Simelane,2021-2025,136,22,8.00,0,26,4/19,23.65,0,10,0,-15.65
T Stubbs,2021-2025,2999,80*,32.24,0,11,2/6,29.90,0,85,4,2.33
B Swanepoel,2019-2025,390,83,17.72,0,44,5/39,27.09,1,12,0,-9.36
RE van der Merwe,2008-2025,3143,89*,21.38,0,338,6/20,23.89,2,150,0,-2.51
DJ Worrall,2014-2025,178,62*,11.86,0,104,4/23,28.69,0,27,0,-16.82
