Player Name,Role,Team,Country,,,
James Neesham,Batting Allrounder,Pretoria Capitals,New Zealand,,,
Tom Rogers,Bowling Allrounder,Pretoria Capitals,Australia,,,
Kyle Simmonds,Bowling Allrounder,Pretoria Capitals,South Africa,,,
Tiaan van Vuuren,Allrounder,Pretoria Capitals,South Africa,,,
Jason Behrendorff,Bowler,Pretoria Capitals,Australia,,,
Eathan Bosch,Bowler,Pretoria Capitals,South Africa,,,
Daryn Dupavillon,Bowler,Pretoria Capitals,South Africa,,,
Anrich Nortje,Bowler,Pretoria Capitals,South Africa,,,
Wayne Parnell,Bowler,Pretoria Capitals,South Africa,,,
Gideon Peters,Bowler,Pretoria Capitals,South Africa,,,
Migael Pretorius,Bowler,Pretoria Capitals,South Africa,,,
Aiden Markram,Middle order Batter,Sunrisers Eastern Cape,South Africa,,,
Tom Abell,Middle order Batter,Sunrisers Eastern Cape,England,,,
David Bedingham,Middle order Batter,Sunrisers Eastern Cape,South Africa,,,
Zak Crawley,Top order Batter,Sunrisers Eastern Cape,England,,,
Tony de Zorzi,Top order Batter,Sunrisers Eastern Cape,South Africa,,,
Jordan Hermann,Middle order Batter,Sunrisers Eastern Cape,South Africa,,,
Daniel Smith,Wicketkeeper Batter,Sunrisers Eastern Cape,South Africa,,,
Tristan Stubbs,Batter,Sunrisers Eastern Cape,South Africa,,,
Liam Dawson,Allrounder,Sunrisers Eastern Cape,England,,,
Marco Jansen,Bowling Allrounder,Sunrisers Eastern Cape,South Africa,,,
Patrick Kruger,Batting Allrounder,Sunrisers Eastern Cape,South Africa,,,
Craig Overton,Bowling Allrounder,Sunrisers Eastern Cape,England,,,
Andile Simelane,Allrounder,Sunrisers Eastern Cape,South Africa,,,
Beyers Swanepoel,Allrounder,Sunrisers Eastern Cape,South Africa,,,
Roelof van der Merwe,Bowling Allrounder,Sunrisers Eastern Cape,Netherlands,,,
Ottneil Baartman,Bowler,Sunrisers Eastern Cape,South Africa,,,
Okuhle Cele,Bowler,Sunrisers Eastern Cape,South Africa,,,
Richard Gleeson,Bowler,Sunrisers Eastern Cape,England,,,
Simon Harmer,Bowler,Sunrisers Eastern Cape,South Africa,,,
Caleb Seleka,Bowler,Sunrisers Eastern Cape,South Africa,,,
