Player Name,Role,Team
Todd Murphy,Bowler,Sydney Sixers
Mitchell Perry,Bowler,Sydney Sixers
Cameron Bancroft,Wicketkeeper Batter,Sydney Thunder
Sam Billings,Wicketkeeper Batter,Sydney Thunder
Oliver Davies,Top order Batter,Sydney Thunder
Matthew Gilkes,Wicketkeeper Batter,Sydney Thunder
Sam Konstas,Top order Batter,Sydney Thunder
Nic Maddinson,Opening Batter,Sydney Thunder
Jason Sangha,Batter,Sydney Thunder
David Warner,Opening Batter,Sydney Thunder
Sherfane Rutherford,Middle order Batter,Sydney Thunder
Dan Christian,Allrounder,Sydney Thunder
George Garton,Bowling Allrounder,Sydney Thunder
Chris Green,Bowling Allrounder,Sydney Thunder
William Salzmann,Bowling Allrounder,Sydney Thunder
Daniel Sams,Allrounder,Sydney Thunder
Wes Agar,Bowler,Sydney Thunder
Ryan Hadley,Bowler,Sydney Thunder
Liam Hatcher,Bowler,Sydney Thunder
Nathan McAndrew,Bowler,Sydney Thunder
Mohammad Hasnain,Bowler,Sydney Thunder
Tanveer Sangha,Bowler,Sydney Thunder
Lockie Ferguson,Bowler,Sydney Thunder
