Team,Player Name,Role,Country,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR,
Hobart Hurricanes,Nikhil Chaudhary,Bowler,India,538,55,21.52,0,16,Mar-36,34.06,0,9,0,-12.54,130.1,
Hobart Hurricanes,Patrick Dooley,Bowler,Australia,54,19,13.5,0,25,16-Apr,21.6,0,4,0,-8.09,81.8,
Hobart Hurricanes,Nathan Ellis,Bowler,Australia,489,40,10.86,0,203,6-Apr,23.64,0,59,0,-12.77,111.2,
Hobart Hurricanes,Cameron Gannon,Bowler,Australia,134,23,10.3,0,49,10-Apr,25.89,0,14,0,-15.59,100.8,
Hobart Hurricanes,Peter Hatzoglou,Bowler,Australia,86,15,14.33,0,64,14-Mar,29.56,0,19,0,-15.22,104.9,
Hobart Hurricanes,Chris Jordan,Bowler,England,2476,73,16.84,0,439,6-Apr,27.05,0,214,0,-10.21,134.2,
Hobart Hurricanes,Riley Meredith,Bowler,Australia,48,10,4.8,0,189,9-Apr,22.31,0,26,0,-17.51,98.2,
Hobart Hurricanes,Billy Stanlake,Bowler,Australia,35,7,7,0,91,8-Apr,27.17,0,12,0,-20.17,59.3,
Melbourne Renegades,Josh Brown,Batter,Australia,945,140,23.62,1,0,-,-,0,13,0,-,148.8,
Melbourne Renegades,Laurie Evans,Middle order Batter,England,7305,118*,29.69,3,1,5-Jan,35,0,149,4,-5.3,138.3,
Melbourne Renegades,Jake Fraser-McGurk,Batter,Australia,1689,95,20.34,0,0,-,-,0,48,0,-,150.3,
Melbourne Renegades,Mackenzie Harvey,Top order Batter,Australia,704,71*,20.11,0,-,-,-,-,25,0,-,117.7,
Melbourne Renegades,Tawanda Muyeye,Middle order Batter,Zimbabwe,1420,100,23.27,1,-,-,-,-,23,0,-,141.4,
Melbourne Renegades,Tim Seifert,Wicketkeeper Batter,New Zealand,6675,125*,28.52,4,-,-,-,-,181,37,-,135,
Melbourne Renegades,Jonathan Wells,Middle order Batter,Australia,3253,73,32.2,0,0,-,-,0,50,0,-,121.5,
Melbourne Renegades,Jacob Bethell,Batting Allrounder,England,1538,87,24.03,0,18,5-Feb,26.5,0,44,0,-2.46,141,
Melbourne Renegades,Harry Dixon,Allrounder,Australia,,,,,,,,,,,,113.6,
Melbourne Renegades,Oliver Peake,Batting Allrounder,Australia,,,,,,,,,,,,90.5,
Melbourne Renegades,Tom Rogers,Bowling Allrounder,Australia,363,49*,15.78,0,91,16-May,25.68,1,34,0,-9.89,0,
Melbourne Renegades,Will Sutherland,Allrounder,Australia,838,70,18.21,0,46,14-Mar,36.67,0,34,0,-18.45,137.4,
Melbourne Renegades,Hassan Khan,Bowler,Pakistan,963,57,19.65,0,63,30-Apr,31.19,0,42,0,-11.53,141.7,
Melbourne Renegades,Nathan Lyon,Bowler,Australia,60,11,5.45,0,57,23-May,21.87,1,15,0,-16.42,85.7,
Melbourne Renegades,Fergus O'Neill,Bowler,Australia,54,16*,10.8,0,10,16-Mar,24.1,0,3,0,-13.29,96.4,
Melbourne Renegades,Kane Richardson,Bowler,Australia,404,45,11.22,0,240,22-Apr,23.45,0,77,0,-12.22,111.9,
Melbourne Renegades,Gurinder Sandhu,Bowler,Australia,110,20*,9.16,0,77,22-Apr,26.09,0,19,0,-16.92,91.1,
Melbourne Renegades,Adam Zampa,Bowler,Australia,310,23,5.96,0,387,19-Jun,21.62,3,43,0,-15.66,86.5,
Melbourne Stars,Hilton Cartwright,Middle order Batter,Australia,2611,79,28.38,0,4,Feb-34,52,0,69,0,-23.61,130,
Melbourne Stars,Joe Clarke,Top order Batter,England,5918,136,26.18,4,-,-,-,-,91,7,-,144.3,
Melbourne Stars,Ben Duckett,Top order Batter,England,5397,96,30.49,0,-,-,-,-,107,2,-,140.6,
Melbourne Stars,Sam Harper,Top order Batter,Australia,1623,89,19.79,0,-,-,-,-,55,10,-,130.3,
Melbourne Stars,Campbell Kellaway,Middle order Batter,Australia,83,25,13.83,0,0,-,-,0,3,0,-,123.9,
Melbourne Stars,Thomas Rogers,Top order Batter,Australia,363,49*,15.78,0,91,16-May,25.68,1,34,0,-9.89,0,
Melbourne Stars,Tom Curran,Allrounder,England,2396,67*,21.58,0,255,15-Apr,25.52,0,66,0,-3.93,143.5,
Melbourne Stars,Glenn Maxwell,Batting Allrounder,Australia,10846,154*,27.81,8,194,10-Mar,29.79,0,259,0,-1.98,154.9,
Melbourne Stars,Jonathan Merlo,Allrounder,Australia,65,15,6.5,0,0,-,-,0,3,0,-,98.5,
Melbourne Stars,Marcus Stoinis,Batting Allrounder,Australia,6849,147*,29.26,2,180,15-Apr,27.08,0,86,0,2.18,137.1,
Melbourne Stars,Beau Webster,Allrounder,Australia,1814,78,27.48,0,25,29-Apr,41.36,0,52,0,-13.87,119.2,
Melbourne Stars,Scott Boland,Bowler,Australia,71,10,10.14,0,78,30-Apr,25.7,0,8,0,-15.56,87.7,
Melbourne Stars,Brody Couch,Bowler,Australia,60,19,10,0,27,30-Mar,30.96,0,8,0,-20.96,84.5,
Melbourne Stars,Hamish McKenzie,Bowler,Australia,17,7*,8.5,0,3,12-Feb,46,0,0,0,-37.49,141.7,
Melbourne Stars,Adam Milne,Bowler,New Zealand,498,22,11.06,0,247,11-May,23.54,3,53,0,-12.47,112.8,
Melbourne Stars,Joel Paris,Bowler,Australia,89,16*,6.84,0,47,13-Mar,30.42,0,15,0,-23.57,93.7,
Melbourne Stars,Peter Siddle,Bowler,Australia,104,12*,6.11,0,153,16-May,22.93,2,22,0,-16.81,89.2,
Melbourne Stars,Mark Steketee,Bowler,Australia,199,33,7.37,0,104,17-May,23.04,1,22,0,-15.67,101,
Melbourne Stars,Usama Mir,Bowler,Pakistan,530,39,8.68,0,182,Jun-40,23.35,1,61,0,-14.66,129.4,
Melbourne Stars,Doug Warren,Bowler,Australia,,,,,,,,,,,,86.7,
Perth Scorchers,Finn Allen,Top order Batter,New Zealand,4415,151,28.85,4,0,-,-,0,73,2,-,173.1,
Perth Scorchers,Sam Fanning,Middle order Batter,Australia,102,41,25.5,0,-,-,-,-,2,0,-,145.7,
