Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
JL du Plooy,2014-2025,4009,92,28.84,0,14,4/15,22.00,0,85,0,6.84
Farhan Khan,2009-2014,104,32,13.00,0,-,-,-,-,1,0,-
J Fraser-McGurk,,,,,,,,,,,,
Gulbadin Naib,2011-2025,2517,91,22.88,0,101,4/12,27.16,0,67,0,-4.28
Haider Ali,2018-2025,3141,91*,23.61,0,-,-,-,-,49,0,-
Hazratullah Zazai,2016-2025,3464,162*,25.28,3,1,1/19,19.00,0,41,0,6.28
Hazrat Luqman,,8,8,8.00,0,1,1/30,60.00,0,0,0,-51.99
SD Hope,2012-2025,4939,106,30.48,3,-,-,-,-,88,15,-
C Karunaratne,2015-2025,1279,75*,26.10,0,91,4/11,28.32,0,51,0,-2.22
Khalid Shah,,130,37,11.81,0,-,-,-,-,4,0,-
FJ Klaassen,2018-2025,160,21*,8.42,0,130,5/19,25.73,1,45,0,-17.31
SC Kuggeleijn,2012-2025,1026,41,17.10,0,169,4/17,27.15,0,65,0,-10.05
OC McCoy,2017-2025,182,23*,7.58,0,189,6/17,24.15,2,28,0,-16.57
B McMullen,2023-2025,738,96,30.75,0,7,2/33,43.14,0,12,0,-12.39
Mujeeb Ur Rahman,2017-2025,410,34,8.72,0,293,5/15,23.64,2,50,0,-14.92
HG Munsey,2015-2025,2648,132,28.17,2,-,-,-,-,42,0,-
Najibullah Zadran,2011-2025,4475,97*,26.47,0,2,1/5,11.00,0,90,0,15.47
R Ngarava,2016-2025,140,15*,4.51,0,136,4/16,22.28,0,22,0,-17.77
YK Pathan,2007-2019,4852,100,27.56,1,99,4/10,28.42,0,86,0,-0.85
R Powell,2016-2025,5338,107,24.94,1,26,2/21,45.84,0,149,0,-20.90
Qais Ahmad,2017-2025,741,50*,12.35,0,198,5/18,23.37,1,66,0,-11.02
PBB Rajapaksa,2009-2025,4176,100,22.81,1,28,3/11,18.42,0,62,1,4.39
KW Richardson,2009-2025,404,45,11.22,0,240,4/22,23.45,0,77,0,-12.22
JE Root,2011-2025,3062,92*,32.23,0,35,2/7,28.05,0,58,0,4.17
AM Rossington,2011-2025,3576,95,20.79,0,-,-,-,-,82,33,-
MD Shanaka,,,,,,,,,,,,
Sikandar Raza,2010-2025,6298,133*,25.81,1,196,5/18,27.12,1,133,0,-1.31
OP Stone,2011-2025,173,22*,6.65,0,113,4/14,27.31,0,37,0,-20.66
RJW Topley,2012-2025,122,14*,12.20,0,240,4/20,23.37,0,41,0,-11.17
I Udana,2009-2025,1535,84*,16.15,0,237,5/21,25.27,1,72,0,-9.11
RV Uthappa,2007-2022,7272,92,28.18,0,0,-,-,0,131,39,-
RE van der Merwe,2008-2025,3143,89*,21.38,0,338,6/20,23.89,2,150,0,-2.51
PA van Meekeren,2013-2025,212,24,7.57,0,110,4/11,26.76,0,38,0,-19.19
DA Warner,2007-2025,13595,135*,36.44,8,0,-,-,0,202,0,-
Zahir Khan,2017-2025,106,19*,4.60,0,142,5/19,24.05,1,13,0,-19.44
A Zampa,2012-2025,310,23,5.96,0,386,6/19,21.53,3,43,0,-15.57
Aayan Afzal Khan,2022-2025,219,42,13.68,0,53,4/16,18.35,0,10,0,-4.67
