Player,Span,Team,Country,SR,Bowling Style
T Banton,2024-2024,Gulf Giants,England,141.9,
SW Billings,2024-2025,Gulf Giants,England,134.3,
RS Bopara,2023-2023,Gulf Giants,England,124.5,Medium
PVD Chameera,2024-2025,Gulf Giants,Sri Lanka,94.4,Fast
Chirag Suri,2023-2023,Gulf Giants,United Arab Emirates,116.2,Offbreak
R Chopra,2024-2024,Gulf Giants,United Arab Emirates,114.5,
N Dickwella,2023-2023,Gulf Giants,Sri Lanka,138.2,
BR Dunk,2024-2025,Gulf Giants,Australia,128.9,
JL du Plooy,2024-2024,Gulf Giants,Dubai Capitals,138.0,Orthodox
Farhan Khan,2025-2025,Gulf Giants,Dubai Capitals,100.0,Fast
J Fraser-McGurk,2024-2024,Gulf Giants,Australia,150.3,Legbreak
Gulbadin Naib,2025-2025,Gulf Giants,Afghanistan,129.9,Medium
Haider Ali,2024-2025,Gulf Giants,Pakistan,131.7,
Hazratullah Zazai,2023-2023,Gulf Giants,Afghanistan,132.7,Orthodox
Hazrat Luqman,2023-2023,Gulf Giants,United Arab Emirates,200.0,Medium
MDE Holden,2024-2024,Gulf Giants,Dubai Capitals,142.5,Offbreak
JO Holder,2024-2024,Gulf Giants,West Indies,137.0,Medium
SD Hope,2025-2025,Gulf Giants,West Indies,129.2,None
C Karunaratne,2023-2023,Gulf Giants,Sri Lanka,127.5,Medium
Khalid Shah,2025-2025,Gulf Giants,United Arab Emirates,106.6,
FJ Klaassen,2023-2023,Gulf Giants,Netherlands,98.8,Medium
SC Kuggeleijn,2024-2025,Gulf Giants,New Zealand,141.9,Medium
DW Lawrence,2023-2023,Gulf Giants,Brisbane Heat,141.9,Offbreak
OC McCoy,2025-2025,Gulf Giants,West Indies,102.1,Medium
B McMullen,2025-2025,Gulf Giants,Scotland,142.7,Medium
Mujeeb Ur Rahman,2023-2023,Gulf Giants,Afghanistan,104.2,Offbreak
HG Munsey,2023-2023,Gulf Giants,Scotland,140.6,Medium
Najibullah Zadran,2025-2025,Gulf Giants,Afghanistan,133.0,Offbreak
R Ngarava,2024-2024,Gulf Giants,Zimbabwe,111.9,Medium
YK Pathan,2023-2023,Gulf Giants,India,140.9,Offbreak
R Powell,2023-2025,Gulf Giants,West Indies,141.4,Medium
Qais Ahmad,2025-2025,Gulf Giants,Afghanistan,127.6,Legbreak
Rahmanullah Gurbaz,2024-2024,Gulf Giants,Afghanistan,142.7,
PBB Rajapaksa,2023-2023,Gulf Giants,Sri Lanka,137.2,Medium
KW Richardson,2024-2024,Gulf Giants,Australia,111.9,Medium
JE Root,2023-2023,Gulf Giants,England,130.9,Offbreak
AM Rossington,2025-2025,Gulf Giants,Durdanto Dhaka,146.5,
MD Shanaka,2023-2025,Gulf Giants,Sri Lanka,132.2,Medium
Sikandar Raza,2023-2025,Gulf Giants,Zimbabwe,136.0,Offbreak
OP Stone,2024-2025,Gulf Giants,England,89.2,Fast
RJW Topley,2023-2023,Gulf Giants,England,96.2,Medium
I Udana,2023-2023,Gulf Giants,Sri Lanka,131.1,Medium
RV Uthappa,2023-2023,Gulf Giants,India,130.5,Medium
RE van der Merwe,2024-2024,Gulf Giants,South Africa,134.9,Orthodox
PA van Meekeren,2024-2024,Gulf Giants,Netherlands,103.8,Medium
DA Warner,2024-2025,Gulf Giants,Australia,139.9,Legbreak
Zahir Khan,2024-2025,Gulf Giants,Afghanistan,76.9,Chinaman
A Zampa,2023-2023,Gulf Giants,Australia,86.5,Legbreak
Aayan Afzal Khan,2023-2025,MI Emirates,United Arab Emirates,89.0,Orthodox
MR Adair,2025-2025,MI Emirates,Ireland,125.4,Fast
Rehan Ahmed,2023-2025,MI Emirates,England,123.3,Legbreak
TP Alsop,2025-2025,MI Emirates,Brisbane Heat,130.8,
T Banton,2023-2023,MI Emirates,England,141.9,
CR Brathwaite,2023-2024,MI Emirates,West Indies,136.0,Medium
JM Cox,2024-2025,MI Emirates,England,142.8,
TK Curran,2025-2025,MI Emirates,England,143.5,Medium
TH David,2025-2025,MI Emirates,Singapore,161.9,Offbreak
LA Dawson,2023-2024,MI Emirates,England,121.4,Orthodox
C de Grandhomme,2023-2023,MI Emirates,New Zealand,143.9,Medium
DC Drakes,2023-2025,MI Emirates,West Indies,121.8,Medium
MG Erasmus,2023-2025,MI Emirates,Namibia,122.9,Legbreak
RJ Gleeson,2023-2024,MI Emirates,England,70.8,Medium
TG Helm,2023-2023,MI Emirates,Gulf Giants,100.7,Medium
MADI Hemantha,2025-2025,MI Emirates,Sri Lanka,118.3,Legbreak
SO Hetmyer,2023-2025,MI Emirates,West Indies,142.4,Legbreak
Ibrahim Zadran,2025-2025,MI Emirates,Afghanistan,110.6,Medium
CJ Jordan,2023-2025,MI Emirates,England,134.2,Medium
Karim Janat,2024-2024,MI Emirates,Afghanistan,132.0,Medium
CA Lynn,2023-2024,MI Emirates,Australia,143.8,Orthodox
A Lyth,2025-2025,MI Emirates,Perth Scorchers,144.8,Medium
TS Mills,2025-2025,MI Emirates,England,105.9,Fast
Mujeeb Ur Rahman,2024-2024,MI Emirates,Afghanistan,104.2,Offbreak
B Muzarabani,2024-2025,MI Emirates,Zimbabwe,60.2,Medium
J Overton,2024-2024,MI Emirates,England,157.5,Fast
OJ Pope,2023-2023,MI Emirates,Adelaide Strikers,131.5,
Qais Ahmad,2023-2023,MI Emirates,Afghanistan,127.6,Legbreak
OG Robinson,2025-2025,MI Emirates,Gulf Giants,126.2,
Saghir Khan,2025-2025,MI Emirates,United Arab Emirates,156.8,Medium
SM Sharma,2023-2023,MI Emirates,United Arab Emirates,75.0,Medium
JL Smith,2024-2024,MI Emirates,England,144.4,
Usman Khan,2024-2024,MI Emirates,France,139.6,Medium
Uzair Khan,2025-2025,MI Emirates,Gulf Giants,0.0,Medium
AC Valthapa,2023-2023,MI Emirates,,0,
JM Vince,2023-2025,MI Emirates,England,137.3,Medium
Wahidullah Zadran,2025-2025,MI Emirates,Gulf Giants,,Offbreak
D Wiese,2023-2023,MI Emirates,South Africa,141.5,Medium
DJ Worrall,2024-2025,MI Emirates,Melbourne Stars,99.5,Medium
Zuhaib Zubair,2024-2025,MI Emirates,United Arab Emirates,130.4,Legbreak
CJ Anderson,2024-2024,Sharjah Warriors,New Zealand,131.0,Medium
V Aravind,2023-2023,Sharjah Warriors,United Arab Emirates,111.3,
Asif Khan,2024-2024,Sharjah Warriors,United Arab Emirates,137.7,Offbreak
T Banton,2025-2025,Sharjah Warriors,England,141.9,
Basil Hameed,2023-2023,Sharjah Warriors,United Arab Emirates,120.4,Offbreak
CG Benjamin,2024-2024,Sharjah Warriors,Sharjah Warriors,136.7,Medium
TA Boult,2023-2024,Sharjah Warriors,New Zealand,116.7,Medium
DJ Bravo,2023-2024,Sharjah Warriors,West Indies,126.3,Medium
TH David,2024-2024,Sharjah Warriors,Singapore,161.9,Offbreak
BFW de Leede,2023-2023,Sharjah Warriors,Netherlands,106.0,Medium
Fazalhaq Farooqi,2023-2025,Sharjah Warriors,Afghanistan,59.3,Medium
ADS Fletcher,2023-2025,Sharjah Warriors,West Indies,124.4,Medium
AM Ghazanfar,2025-2025,Sharjah Warriors,Afghanistan,106.7,Offbreak
AJ Hosein,2024-2025,Sharjah Warriors,West Indies,110.1,Orthodox
Imran Tahir,2023-2023,Sharjah Warriors,South Africa,101.3,Legbreak
WG Jacks,2025-2025,Sharjah Warriors,England,155.6,Offbreak
BJ Jacobs,2025-2025,Sharjah Warriors,New Zealand,141.0,Medium
AS Joseph,2025-2025,Sharjah Warriors,West Indies,107.1,Medium
DR Mousley,2023-2025,Sharjah Warriors,England,130.5,Offbreak
Muhammad Rohid,2024-2025,Sharjah Warriors,United Arab Emirates,133.3,Medium
Muhammad Waseem,2023-2025,Sharjah Warriors,United Arab Emirates,150.5,
Najibullah Zadran,2023-2023,Sharjah Warriors,Afghanistan,133.0,Offbreak
C Overton,2023-2023,Sharjah Warriors,MI Emirates,133.1,Medium
SR Patel,2023-2023,Sharjah Warriors,England,125.8,Orthodox
MDKJ Perera,2024-2025,Sharjah Warriors,Sri Lanka,137.0,
KA Pollard,2023-2025,Sharjah Warriors,West Indies,149.9,Medium
N Pooran,2023-2025,Sharjah Warriors,West Indies,149.6,
PBB Rajapaksa,2024-2024,Sharjah Warriors,Sri Lanka,137.2,Medium
Rashid Khan,2023-2023,Sharjah Warriors,Afghanistan,142.2,Legbreak
AT Rayudu,2024-2024,Sharjah Warriors,India,124.7,Offbreak
R Shepherd,2025-2025,Sharjah Warriors,West Indies,155.5,Medium
WCF Smeed,2023-2024,Sharjah Warriors,St Kitts and Nevis Patriots,148.7,Offbreak
OF Smith,2024-2024,Sharjah Warriors,West Indies,128.8,Medium
JA Thompson,2023-2024,Sharjah Warriors,Hobart Hurricanes,153.8,Medium
LJ Tucker,2023-2023,Sharjah Warriors,Ireland,123.2,
V Viyaskanth,2024-2024,Sharjah Warriors,Sri Lanka,79.4,Legbreak
Waqar Salamkheil,2024-2025,Sharjah Warriors,Hobart Hurricanes,48.8,Chinaman
BTJ Wheal,2023-2023,Sharjah Warriors,Scotland,87.3,Medium
Zahir Khan,2023-2023,Sharjah Warriors,Afghanistan,76.9,Chinaman
Zahoor Khan,2023-2025,Sharjah Warriors,United Arab Emirates,51.7,Medium
AC Agar,2025-2025,Abu Dhabi Knight Riders,Australia,118.4,Orthodox
MM Ali,2023-2025,Abu Dhabi Knight Riders,England,139.7,Offbreak
Basil Hameed,2024-2024,Abu Dhabi Knight Riders,United Arab Emirates,120.4,Offbreak
CG Benjamin,2023-2023,Abu Dhabi Knight Riders,Sharjah Warriors,136.7,Medium
J Charles,2024-2025,Abu Dhabi Knight Riders,West Indies,135.5,None
EC D'Souza,2025-2025,Abu Dhabi Knight Riders,United Arab Emirates,113.3,Offbreak
JL Denly,2023-2024,Abu Dhabi Knight Riders,England,127.4,Legbreak
M Deyal,2024-2024,Abu Dhabi Knight Riders,Khulna Tigers,129.3,Offbreak
N Dickwella,2024-2024,Abu Dhabi Knight Riders,Sri Lanka,138.2,
WIA Fernando,2025-2025,Abu Dhabi Knight Riders,Sri Lanka,134.6,Medium
JK Fuller,2024-2024,Abu Dhabi Knight Riders,Fortune Barishal,140.2,Fast
L Gregory,2024-2024,Abu Dhabi Knight Riders,England,140.8,Medium
MJ Guptill,2024-2024,Abu Dhabi Knight Riders,New Zealand,130.7,Offbreak
Harmeet Singh,2025-2025,Abu Dhabi Knight Riders,United States of America,122.9,Medium
AJ Hose,2023-2023,Abu Dhabi Knight Riders,Adelaide Strikers,141.1,Medium
Junaid Siddique,2023-2025,Abu Dhabi Knight Riders,Bangladesh,123.9,Offbreak
Karim Janat,2025-2025,Abu Dhabi Knight Riders,Afghanistan,132.0,Medium
T Kohler-Cadmore,2023-2025,Abu Dhabi Knight Riders,Sydney Thunder,141.3,Offbreak
E Lewis,2023-2023,Abu Dhabi Knight Riders,West Indies,143.8,
LS Livingstone,2024-2024,Abu Dhabi Knight Riders,England,144.4,Legbreak
D Madushanka,2024-2025,Abu Dhabi Knight Riders,Sri Lanka,51.1,Medium
DJ Malan,2023-2023,Abu Dhabi Knight Riders,England,131.8,Legbreak
T Mathew,2025-2025,Abu Dhabi Knight Riders,Sharjah Warriorz,,Offbreak
KP Meiyappan,2023-2023,Abu Dhabi Knight Riders,United Arab Emirates,83.3,Legbreak
AF Milne,2025-2025,Abu Dhabi Knight Riders,New Zealand,112.8,Fast
Mohammad Nabi,2023-2023,Abu Dhabi Knight Riders,Afghanistan,134.0,Offbreak
Muhammad Jawadullah,2023-2025,Abu Dhabi Knight Riders,United Arab Emirates,76.7,Medium
Naveen-ul-Haq,2023-2023,Abu Dhabi Knight Riders,Afghanistan,98.0,Medium
Nilansh Keswani,2024-2024,Abu Dhabi Knight Riders,United Arab Emirates,105.3,Orthodox
Noor Ahmad,2023-2023,Abu Dhabi Knight Riders,Afghanistan,95.8,Chinaman
KMA Paul,2025-2025,Abu Dhabi Knight Riders,West Indies,125.3,Medium
Qais Ahmad,2024-2024,Abu Dhabi Knight Riders,Afghanistan,127.6,Legbreak
Rahmanullah Gurbaz,2023-2023,Abu Dhabi Knight Riders,Afghanistan,142.7,
PBB Rajapaksa,2025-2025,Abu Dhabi Knight Riders,Sri Lanka,137.2,Medium
AU Rashid,2024-2025,Abu Dhabi Knight Riders,England,108.0,Legbreak
Rohan Mustafa,2025-2025,Abu Dhabi Knight Riders,United Arab Emirates,117.6,Offbreak
JJ Roy,2025-2025,Abu Dhabi Knight Riders,England,140.0,
DR Sams,2024-2024,Abu Dhabi Knight Riders,Australia,151.6,Medium
TL Seifert,2025-2025,Abu Dhabi Knight Riders,New Zealand,135.0,
A Sharafu,2023-2023,Abu Dhabi Knight Riders,United Arab Emirates,129.7,Medium
CB Sole,2024-2024,Abu Dhabi Knight Riders,Scotland,82.2,Medium
TG Southee,2025-2025,Abu Dhabi Knight Riders,New Zealand,131.5,Medium
MP Stoinis,2023-2023,Abu Dhabi Knight Riders,Australia,137.1,Medium
M Theekshana,2024-2024,Abu Dhabi Knight Riders,Sri Lanka,68.1,Offbreak
MS Wade,2025-2025,Abu Dhabi Knight Riders,Australia,137.4,
PI Walter,2023-2023,Abu Dhabi Knight Riders,Brisbane Heat,140.1,Medium
MRJ Watt,2024-2024,Abu Dhabi Knight Riders,Scotland,107.3,Orthodox
LWP Wells,2024-2025,Abu Dhabi Knight Riders,Lahore Qalandars,142.1,Legbreak
SC Williams,2024-2024,Abu Dhabi Knight Riders,Zimbabwe,128.0,Orthodox
CR Woakes,2023-2024,Abu Dhabi Knight Riders,England,125.9,Medium
A Zampa,2025-2025,Abu Dhabi Knight Riders,Australia,86.5,Legbreak
