Player,Span,Team,Country,SR,Bowling Style
LS Livingstone,2024-2024,MI Cape Town,England,144.4,Legbreak
T Luus,2025-2025,MI Cape Town,MI New York,100.0,Medium
WB Marshall,2023-2023,MI Cape Town,Durban Heat,116.7,Medium
DL Piedt,2025-2025,MI Cape Town,Cape Cobras,92.3,Offbreak
KA Pollard,2024-2024,MI Cape Town,West Indies,149.9,Medium
D Potgieter,2023-2025,MI Cape Town,St Lucia Kings,144.5,Medium
MJ Potts,2025-2025,MI Cape Town,England,124.1,Medium
K Rabada,2023-2025,MI Cape Town,South Africa,109.2,Fast
Rashid Khan,2023-2025,MI Cape Town,Afghanistan,142.2,Legbreak
RD Rickelton,2023-2025,MI Cape Town,South Africa,146.7,
G Roelofsen,2023-2023,MI Cape Town,MI Cape Town,125.5,
Sediqullah Atal,2025-2025,MI Cape Town,Afghanistan,123.7,
OF Smith,2023-2023,MI Cape Town,West Indies,128.8,Medium
OP Stone,2023-2024,MI Cape Town,England,89.2,Fast
N Thushara,2024-2024,MI Cape Town,Sri Lanka,65.1,Medium
HE van der Dussen,2023-2025,MI Cape Town,South Africa,130.3,Legbreak
N van Heerden,2024-2024,MI Cape Town,MI Cape Town,,Fast
Waqar Salamkheil,2023-2023,MI Cape Town,Hobart Hurricanes,48.8,Chinaman
FD Adams,2023-2023,Paarl Royals,Cape Town Blitz,105.9,Medium
FA Allen,2024-2024,Paarl Royals,West Indies,141.6,Orthodox
C Bosch,2023-2023,Paarl Royals,South Africa,111.4,Medium
JC Buttler,2023-2024,Paarl Royals,England,147.0,
KJ Dudgeon,2025-2025,Paarl Royals,Paarl Royals,50.0,Medium
BC Fortuin,2023-2025,Paarl Royals,South Africa,96.9,Orthodox
AD Galiem,2025-2025,Paarl Royals,South Africa,87.2,Medium
SR Hain,2025-2025,Paarl Royals,Brisbane Heat,134.1,Offbreak
RA Herman,2025-2025,Paarl Royals,South Africa,129.3,
E Jones,2023-2024,Paarl Royals,Central Sparks,101.9,Medium
KD Karthik,2025-2025,Paarl Royals,India,136.8,
WJ Lubbe,2023-2024,Paarl Royals,South Africa,128.9,Offbreak
OC McCoy,2024-2024,Paarl Royals,West Indies,102.1,Medium
E Malinga,2025-2025,Paarl Royals,Sunrisers Hyderabad,109.5,Medium
I Manack,2023-2023,Paarl Royals,Tshwane Spartans,133.3,Offbreak
KT Maphaka,2025-2025,Paarl Royals,South Africa,94.4,Medium
D Marais,2025-2025,Paarl Royals,Paarl Royals,66.7,
DA Miller,2023-2025,Paarl Royals,South Africa,137.5,Offbreak
EJG Morgan,2023-2023,Paarl Royals,England,130.9,Medium
Mujeeb Ur Rahman,2025-2025,Paarl Royals,Afghanistan,104.2,Offbreak
L Ngidi,2023-2025,Paarl Royals,South Africa,77.5,Fast
MJ Owen,2025-2025,Paarl Royals,Australia,183.4,Medium
N Peter,2024-2025,Paarl Royals,West Indies,116.0,Legbreak
AL Phehlukwayo,2023-2025,Paarl Royals,South Africa,116.4,Medium
LG Pretorius,2025-2025,Paarl Royals,South Africa,152.1,
JE Root,2025-2025,Paarl Royals,England,130.9,Offbreak
JJ Roy,2023-2024,Paarl Royals,England,140.0,
T Shamsi,2023-2024,Paarl Royals,South Africa,51.5,Chinaman
RR Simmonds,2023-2023,Paarl Royals,Barbados Royals,230.8,Medium
PR Stirling,2023-2023,Paarl Royals,Ireland,141.4,Offbreak
JA Turner,2024-2024,Paarl Royals,England,60.0,Medium
M Van Buuren,2023-2025,Paarl Royals,Paarl Royals,107.9,Legbreak
DJ Vilas,2023-2024,Paarl Royals,Cape Cobras,131.4,
DN Wellalage,2025-2025,Paarl Royals,Sri Lanka,109.6,Orthodox
Codi Yusuf,2023-2024,Paarl Royals,Paarl Royals,100.0,Medium
MJ Ackerman,2025-2025,Pretoria Capitals,Cape Town Blitz,120.0,Offbreak
CN Ackermann,2024-2024,Pretoria Capitals,Netherlands,125.1,Offbreak
JP Behrendorff,2025-2025,Pretoria Capitals,Australia,103.5,Medium
M Boast,2025-2025,Pretoria Capitals,Pretoria Capitals,144.4,Fast
C Bosch,2024-2024,Pretoria Capitals,South Africa,111.4,Medium
E Bosch,2023-2025,Pretoria Capitals,Barbados Royals,100.5,Fast
S Dadswell,2023-2024,Pretoria Capitals,Lahore Qalandars,95.5,Medium
TB de Bruyn,2023-2024,Pretoria Capitals,South Africa,119.6,Medium
DM Dupavillon,2023-2025,Pretoria Capitals,Trinbago Knight Riders,75.8,Fast
C Fortuin,2023-2023,Pretoria Capitals,Pretoria Capitals,78.6,
CA Ingram,2023-2024,Pretoria Capitals,South Africa,140.9,
WG Jacks,2023-2025,Pretoria Capitals,England,155.6,Offbreak
K Lion-Cachet,2025-2025,Pretoria Capitals,South Africa,123.0,
JB Little,2023-2023,Pretoria Capitals,Ireland,82.3,Fast
LS Livingstone,2025-2025,Pretoria Capitals,England,144.4,Legbreak
BKG Mendis,2023-2023,Pretoria Capitals,Sri Lanka,135.5,Legbreak
S Muthusamy,2023-2025,Pretoria Capitals,South Africa,110.7,Orthodox
JDS Neesham,2023-2025,Pretoria Capitals,New Zealand,140.9,Medium
A Nortje,2023-2023,Pretoria Capitals,South Africa,95.0,Fast
WD Parnell,2023-2024,Pretoria Capitals,South Africa,114.8,Medium
GG Peters,2025-2025,Pretoria Capitals,Pretoria Capitals,100.0,Fast
M Pretorius,2023-2025,Pretoria Capitals,Jamaica Tallawahs,122.0,Medium
Rahmanullah Gurbaz,2025-2025,Pretoria Capitals,Afghanistan,142.7,
AU Rashid,2023-2024,Pretoria Capitals,England,108.0,Legbreak
TS Rogers,2025-2025,Pretoria Capitals,Hobart Hurricanes,126.0,Medium
RR Rossouw,2023-2025,Pretoria Capitals,South Africa,147.9,Offbreak
PD Salt,2023-2024,Pretoria Capitals,England,155.9,Offbreak
KI Simmonds,2025-2025,Pretoria Capitals,Joburg Super Kings,82.1,Orthodox
WCF Smeed,2025-2025,Pretoria Capitals,St Kitts and Nevis Patriots,148.7,Offbreak
S Stolk,2025-2025,Pretoria Capitals,Pretoria Capitals,95.2,
AJ Turner,2025-2025,Pretoria Capitals,Australia,140.6,Offbreak
T van Vuuren,2025-2025,Pretoria Capitals,Pretoria Capitals,,Medium
K Verreynne,2024-2025,Pretoria Capitals,Cape Town Blitz,144.4,Offbreak
GC Viljoen,2024-2024,Pretoria Capitals,Chittagong Vikings,122.4,Medium
TB Abell,2023-2025,Sunrisers Eastern Cape,Brisbane Heat,133.5,Medium
MJ Ackerman,2023-2023,Sunrisers Eastern Cape,Cape Town Blitz,120.0,Offbreak
OEG Baartman,2023-2025,Sunrisers Eastern Cape,South Africa,42.1,Medium
T Bavuma,2023-2024,Sunrisers Eastern Cape,South Africa,120.5,Medium
DG Bedingham,2025-2025,Sunrisers Eastern Cape,Cape Town Blitz,133.2,
BA Carse,2023-2023,Sunrisers Eastern Cape,England,139.7,Fast
JM Cox,2023-2023,Sunrisers Eastern Cape,England,142.8,
MS Crane,2023-2023,Sunrisers Eastern Cape,England,95.5,Legbreak
Z Crawley,2025-2025,Sunrisers Eastern Cape,Hobart Hurricanes,139.2,Offbreak
LA Dawson,2024-2025,Sunrisers Eastern Cape,England,121.4,Orthodox
T de Zorzi,2025-2025,Sunrisers Eastern Cape,Tshwane Spartans,115.0,Offbreak
SJ Erwee,2023-2023,Sunrisers Eastern Cape,Durban Heat,119.9,Offbreak
JK Fuller,2023-2023,Sunrisers Eastern Cape,Fortune Barishal,140.2,Fast
RJ Gleeson,2025-2025,Sunrisers Eastern Cape,England,70.8,Medium
A Gqamane,2023-2023,Sunrisers Eastern Cape,Cape Town Blitz,200.0,Medium
SR Harmer,2024-2025,Sunrisers Eastern Cape,Jozi Stars,130.2,Offbreak
J Hermann,2023-2025,Sunrisers Eastern Cape,Sunrisers Eastern Cape,113.3,
M Jansen,2023-2025,Sunrisers Eastern Cape,South Africa,136.9,Fast
PE Kruger,2024-2025,Sunrisers Eastern Cape,South Africa,119.1,Medium
SSB Magala,2023-2023,Sunrisers Eastern Cape,South Africa,114.1,Medium
DJ Malan,2024-2024,Sunrisers Eastern Cape,England,131.8,Legbreak
AK Markram,2023-2025,Sunrisers Eastern Cape,South Africa,136.8,Offbreak
C Overton,2025-2025,Sunrisers Eastern Cape,MI Emirates,133.1,Medium
AM Rossington,2023-2024,Sunrisers Eastern Cape,Durdanto Dhaka,146.5,
A Simelane,2025-2025,Sunrisers Eastern Cape,South Africa,81.7,Fast
JT Smuts,2023-2023,Sunrisers Eastern Cape,South Africa,122.8,Orthodox
T Stubbs,2023-2025,Sunrisers Eastern Cape,South Africa,144.2,Offbreak
B Swanepoel,2024-2025,Sunrisers Eastern Cape,Sunrisers Eastern Cape,72.2,Fast
RE van der Merwe,2023-2023,Sunrisers Eastern Cape,South Africa,134.9,Orthodox
DJ Worrall,2024-2024,Sunrisers Eastern Cape,Melbourne Stars,99.5,Medium
