Player,Span,Team,Record Type
L Gregory,2023-2023,Joburg Super Kings,Bowling
RR Hendricks,2023-2024,Joburg Super Kings,Bowling
R Herrmann,2024-2024,Joburg Super Kings,Bowling
Imran Tahir,2024-2025,Joburg Super Kings,Bowling
E Jones,2025-2025,Joburg Super Kings,Bowling
AS Joseph,2023-2023,Joburg Super Kings,Bowling
JP King,2025-2025,Joburg Super Kings,Bowling
WJ Lubbe,2025-2025,Joburg Super Kings,Bowling
WL Madsen,2024-2024,Joburg Super Kings,Bowling
BS Makhanya,2023-2025,Joburg Super Kings,Bowling
JN Malan,2023-2023,Joburg Super Kings,Bowling
M Pathirana,2025-2025,Joburg Super Kings,Bowling
AM Phangiso,2023-2024,Joburg Super Kings,Bowling
T Shamsi,2025-2025,Joburg Super Kings,Bowling
R Shepherd,2023-2024,Joburg Super Kings,Bowling
MP Siboto,2023-2023,Joburg Super Kings,Bowling
KI Simmonds,2023-2024,Joburg Super Kings,Bowling
L Sipamla,2025-2025,Joburg Super Kings,Bowling
M Theekshana,2023-2025,Joburg Super Kings,Bowling
K Verreynne,2023-2023,Joburg Super Kings,Bowling
GC Viljoen,2025-2025,Joburg Super Kings,Bowling
MS Wade,2023-2023,Joburg Super Kings,Bowling
D Wiese,2024-2025,Joburg Super Kings,Bowling
LB Williams,2023-2024,Joburg Super Kings,Bowling
Zahir Khan,2024-2024,Joburg Super Kings,Bowling
JC Archer,2023-2023,MI Cape Town,Batting
Azmatullah Omarzai,2025-2025,MI Cape Town,Batting
CG Benjamin,2025-2025,MI Cape Town,Batting
C Bosch,2025-2025,MI Cape Town,Batting
TA Boult,2025-2025,MI Cape Town,Batting
D Brevis,2023-2025,MI Cape Town,Batting
SM Curran,2023-2024,MI Cape Town,Batting
TH David,2023-2023,MI Cape Town,Batting
C Esterhuizen,2024-2025,MI Cape Town,Batting
BE Hendricks,2023-2024,MI Cape Town,Batting
RR Hendricks,2025-2025,MI Cape Town,Batting
CA Ingram,2025-2025,MI Cape Town,Batting
D Jansen,2023-2023,MI Cape Town,Batting
TP Kaber,2024-2025,MI Cape Town,Batting
GF Linde,2023-2025,MI Cape Town,Batting
LS Livingstone,2024-2024,MI Cape Town,Batting
