Player,Span,Team,Record Type,StartYear,EndYear
SR Tendulkar,2008-2013,Rajasthan Royals,Batting,2008,2013
DR Smith,2008-2013,Rajasthan Royals,Bowling,2008,2013
SR Tendulkar,2008-2013,Rajasthan Royals,Bowling,2008,2013
Harbhajan Singh,2008-2017,Rajasthan Royals,Batting,2008,2017
Harbhajan Singh,2008-2017,Rajasthan Royals,Bowling,2008,2017
DS Kulkarni,2008-2021,Rajasthan Royals,Batting,2008,2021
SS Tiwary,2008-2021,Rajasthan Royals,Batting,2008,2021
DS Kulkarni,2008-2021,Rajasthan Royals,Bowling,2008,2021
SS Tiwary,2008-2021,Rajasthan Royals,Bowling,2008,2021
Mohammad Ashraful,2009-2009,Rajasthan Royals,Batting,2009,2009
C Nanda,2009-2009,Rajasthan Royals,Batting,2009,2009
GR Napier,2009-2009,Rajasthan Royals,Batting,2009,2009
RA Shaikh,2009-2009,Rajasthan Royals,Batting,2009,2009
Mohammad Ashraful,2009-2009,Rajasthan Royals,Bowling,2009,2009
C Nanda,2009-2009,Rajasthan Royals,Bowling,2009,2009
GR Napier,2009-2009,Rajasthan Royals,Bowling,2009,2009
RA Shaikh,2009-2009,Rajasthan Royals,Bowling,2009,2009
S Dhawan,2009-2010,Rajasthan Royals,Batting,2009,2010
S Dhawan,2009-2010,Rajasthan Royals,Bowling,2009,2010
Z Khan,2009-2014,Rajasthan Royals,Batting,2009,2014
Z Khan,2009-2014,Rajasthan Royals,Bowling,2009,2014
JP Duminy,2009-2018,Rajasthan Royals,Batting,2009,2018
JP Duminy,2009-2018,Rajasthan Royals,Bowling,2009,2018
SL Malinga,2009-2019,Rajasthan Royals,Batting,2009,2019
SL Malinga,2009-2019,Rajasthan Royals,Bowling,2009,2019
STR Binny,2010-2010,Rajasthan Royals,Batting,2010,2010
R McLaren,2010-2010,Rajasthan Royals,Batting,2010,2010
C Madan,2010-2010,Rajasthan Royals,Batting,2010,2010
STR Binny,2010-2010,Rajasthan Royals,Bowling,2010,2010
R McLaren,2010-2010,Rajasthan Royals,Bowling,2010,2010
C Madan,2010-2010,Rajasthan Royals,Bowling,2010,2010
AG Murtaza,2010-2011,Rajasthan Royals,Batting,2010,2011
R Sathish,2010-2011,Rajasthan Royals,Batting,2010,2011
AG Murtaza,2010-2011,Rajasthan Royals,Bowling,2010,2011
R Sathish,2010-2011,Rajasthan Royals,Bowling,2010,2011
AN Ahmed,2010-2013,Rajasthan Royals,Batting,2010,2013
AN Ahmed,2010-2013,Rajasthan Royals,Bowling,2010,2013
AP Tare,2010-2015,Rajasthan Royals,Batting,2010,2015
AP Tare,2010-2015,Rajasthan Royals,Bowling,2010,2015
AT Rayudu,2010-2017,Rajasthan Royals,Batting,2010,2017
AT Rayudu,2010-2017,Rajasthan Royals,Bowling,2010,2017
KA Pollard,2010-2022,Rajasthan Royals,Batting,2010,2022
KA Pollard,2010-2022,Rajasthan Royals,Bowling,2010,2022
RW Price,2011-2011,Rajasthan Royals,Batting,2011,2011
A Symonds,2011-2011,Rajasthan Royals,Batting,2011,2011
RW Price,2011-2011,Rajasthan Royals,Bowling,2011,2011
A Symonds,2011-2011,Rajasthan Royals,Bowling,2011,2011
AC Blizzard,2011-2012,Rajasthan Royals,Batting,2011,2012
JEC Franklin,2011-2012,Rajasthan Royals,Batting,2011,2012
DJ Jacobs,2011-2012,Rajasthan Royals,Batting,2011,2012
TL Suman,2011-2012,Rajasthan Royals,Batting,2011,2012
AC Blizzard,2011-2012,Rajasthan Royals,Bowling,2011,2012
JEC Franklin,2011-2012,Rajasthan Royals,Bowling,2011,2012
DJ Jacobs,2011-2012,Rajasthan Royals,Bowling,2011,2012
TL Suman,2011-2012,Rajasthan Royals,Bowling,2011,2012
MM Patel,2011-2013,Rajasthan Royals,Batting,2011,2013
MM Patel,2011-2013,Rajasthan Royals,Bowling,2011,2013
RG Sharma,2011-2025,Rajasthan Royals,Batting,2011,2025
RG Sharma,2011-2025,Rajasthan Royals,Bowling,2011,2025
HH Gibbs,2012-2012,Rajasthan Royals,Batting,2012,2012
RE Levi,2012-2012,Rajasthan Royals,Batting,2012,2012
CJ McKay,2012-2012,Rajasthan Royals,Batting,2012,2012
NLTC Perera,2012-2012,Rajasthan Royals,Batting,2012,2012
RJ Peterson,2012-2012,Rajasthan Royals,Batting,2012,2012
R Shukla,2012-2012,Rajasthan Royals,Batting,2012,2012
RP Singh,2012-2012,Rajasthan Royals,Batting,2012,2012
HH Gibbs,2012-2012,Rajasthan Royals,Bowling,2012,2012
RE Levi,2012-2012,Rajasthan Royals,Bowling,2012,2012
CJ McKay,2012-2012,Rajasthan Royals,Bowling,2012,2012
NLTC Perera,2012-2012,Rajasthan Royals,Bowling,2012,2012
RJ Peterson,2012-2012,Rajasthan Royals,Bowling,2012,2012
R Shukla,2012-2012,Rajasthan Royals,Bowling,2012,2012
RP Singh,2012-2012,Rajasthan Royals,Bowling,2012,2012
KD Karthik,2012-2013,Rajasthan Royals,Batting,2012,2013
KD Karthik,2012-2013,Rajasthan Royals,Bowling,2012,2013
PP Ojha,2012-2015,Rajasthan Royals,Batting,2012,2015
PP Ojha,2012-2015,Rajasthan Royals,Bowling,2012,2015
SA Yadav,2012-2025,Rajasthan Royals,Batting,2012,2025
SA Yadav,2012-2025,Rajasthan Royals,Bowling,2012,2025
YS Chahal,2013-2013,Rajasthan Royals,Batting,2013,2013
R Dhawan,2013-2013,Rajasthan Royals,Batting,2013,2013
GJ Maxwell,2013-2013,Rajasthan Royals,Batting,2013,2013
JDP Oram,2013-2013,Rajasthan Royals,Batting,2013,2013
RT Ponting,2013-2013,Rajasthan Royals,Batting,2013,2013
YS Chahal,2013-2013,Rajasthan Royals,Bowling,2013,2013
R Dhawan,2013-2013,Rajasthan Royals,Bowling,2013,2013
GJ Maxwell,2013-2013,Rajasthan Royals,Bowling,2013,2013
JDP Oram,2013-2013,Rajasthan Royals,Bowling,2013,2013
RT Ponting,2013-2013,Rajasthan Royals,Bowling,2013,2013
P Suyal,2013-2015,Rajasthan Royals,Batting,2013,2015
P Suyal,2013-2015,Rajasthan Royals,Bowling,2013,2015
MG Johnson,2013-2017,Rajasthan Royals,Batting,2013,2017
MG Johnson,2013-2017,Rajasthan Royals,Bowling,2013,2017
NM Coulter-Nile,2013-2021,Rajasthan Royals,Batting,2013,2021
NM Coulter-Nile,2013-2021,Rajasthan Royals,Bowling,2013,2021
JJ Bumrah,2013-2025,Rajasthan Royals,Batting,2013,2025
JJ Bumrah,2013-2025,Rajasthan Royals,Bowling,2013,2025
BR Dunk,2014-2014,Rajasthan Royals,Batting,2014,2014
CM Gautam,2014-2014,Rajasthan Royals,Batting,2014,2014
MEK Hussey,2014-2014,Rajasthan Royals,Batting,2014,2014
P Kumar,2014-2014,Rajasthan Royals,Batting,2014,2014
K Santokie,2014-2014,Rajasthan Royals,Batting,2014,2014
BR Dunk,2014-2014,Rajasthan Royals,Bowling,2014,2014
CM Gautam,2014-2014,Rajasthan Royals,Bowling,2014,2014
MEK Hussey,2014-2014,Rajasthan Royals,Bowling,2014,2014
P Kumar,2014-2014,Rajasthan Royals,Bowling,2014,2014
K Santokie,2014-2014,Rajasthan Royals,Bowling,2014,2014
CJ Anderson,2014-2015,Rajasthan Royals,Batting,2014,2015
M de Lange,2014-2015,Rajasthan Royals,Batting,2014,2015
CJ Anderson,2014-2015,Rajasthan Royals,Bowling,2014,2015
M de Lange,2014-2015,Rajasthan Royals,Bowling,2014,2015
LMP Simmons,2014-2017,Rajasthan Royals,Batting,2014,2017
LMP Simmons,2014-2017,Rajasthan Royals,Bowling,2014,2017
S Gopal,2014-2024,Rajasthan Royals,Batting,2014,2024
S Gopal,2014-2024,Rajasthan Royals,Bowling,2014,2024
AJ Finch,2015-2015,Rajasthan Royals,Batting,2015,2015
AJ Finch,2015-2015,Rajasthan Royals,Bowling,2015,2015
UBT Chand,2015-2016,Rajasthan Royals,Batting,2015,2016
J Suchith,2015-2016,Rajasthan Royals,Batting,2015,2016
UBT Chand,2015-2016,Rajasthan Royals,Bowling,2015,2016
J Suchith,2015-2016,Rajasthan Royals,Bowling,2015,2016
PA Patel,2015-2017,Rajasthan Royals,Batting,2015,2017
R Vinay Kumar,2015-2017,Rajasthan Royals,Batting,2015,2017
PA Patel,2015-2017,Rajasthan Royals,Bowling,2015,2017
R Vinay Kumar,2015-2017,Rajasthan Royals,Bowling,2015,2017
MJ McClenaghan,2015-2019,Rajasthan Royals,Batting,2015,2019
MJ McClenaghan,2015-2019,Rajasthan Royals,Bowling,2015,2019
HH Pandya,2015-2025,Rajasthan Royals,Batting,2015,2025
HH Pandya,2015-2025,Rajasthan Royals,Bowling,2015,2025
MJ Guptill,2016-2016,Rajasthan Royals,Batting,2016,2016
MJ Guptill,2016-2016,Rajasthan Royals,Bowling,2016,2016
JC Buttler,2016-2017,Rajasthan Royals,Batting,2016,2017
N Rana,2016-2017,Rajasthan Royals,Batting,2016,2017
TG Southee,2016-2017,Rajasthan Royals,Batting,2016,2017
JC Buttler,2016-2017,Rajasthan Royals,Bowling,2016,2017
N Rana,2016-2017,Rajasthan Royals,Bowling,2016,2017
TG Southee,2016-2017,Rajasthan Royals,Bowling,2016,2017
KH Pandya,2016-2021,Rajasthan Royals,Batting,2016,2021
KH Pandya,2016-2021,Rajasthan Royals,Bowling,2016,2021
KV Sharma,2017-2025,Rajasthan Royals,Batting,2017,2025
KV Sharma,2017-2025,Rajasthan Royals,Bowling,2017,2025
A Dananjaya,2018-2018,Rajasthan Royals,Batting,2018,2018
Mustafizur Rahman,2018-2018,Rajasthan Royals,Batting,2018,2018
PJ Sangwan,2018-2018,Rajasthan Royals,Batting,2018,2018
A Dananjaya,2018-2018,Rajasthan Royals,Bowling,2018,2018
Mustafizur Rahman,2018-2018,Rajasthan Royals,Bowling,2018,2018
PJ Sangwan,2018-2018,Rajasthan Royals,Bowling,2018,2018
BCJ Cutting,2018-2019,Rajasthan Royals,Batting,2018,2019
E Lewis,2018-2019,Rajasthan Royals,Batting,2018,2019
BCJ Cutting,2018-2019,Rajasthan Royals,Bowling,2018,2019
E Lewis,2018-2019,Rajasthan Royals,Bowling,2018,2019
M Markande,2018-2022,Rajasthan Royals,Batting,2018,2022
M Markande,2018-2022,Rajasthan Royals,Bowling,2018,2022
Ishan Kishan,2018-2024,Rajasthan Royals,Batting,2018,2024
Ishan Kishan,2018-2024,Rajasthan Royals,Bowling,2018,2024
AS Joseph,2019-2019,Rajasthan Royals,Batting,2019,2019
SD Lad,2019-2019,Rajasthan Royals,Batting,2019,2019
Rasikh Salam,2019-2019,Rajasthan Royals,Batting,2019,2019
AS Roy,2019-2019,Rajasthan Royals,Batting,2019,2019
BB Sran,2019-2019,Rajasthan Royals,Batting,2019,2019
Yuvraj Singh,2019-2019,Rajasthan Royals,Batting,2019,2019
AS Joseph,2019-2019,Rajasthan Royals,Bowling,2019,2019
SD Lad,2019-2019,Rajasthan Royals,Bowling,2019,2019
Rasikh Salam,2019-2019,Rajasthan Royals,Bowling,2019,2019
AS Roy,2019-2019,Rajasthan Royals,Bowling,2019,2019
BB Sran,2019-2019,Rajasthan Royals,Bowling,2019,2019
Yuvraj Singh,2019-2019,Rajasthan Royals,Bowling,2019,2019
RD Chahar,2019-2021,Rajasthan Royals,Batting,2019,2021
Q de Kock,2019-2021,Rajasthan Royals,Batting,2019,2021
J Yadav,2019-2021,Rajasthan Royals,Batting,2019,2021
RD Chahar,2019-2021,Rajasthan Royals,Bowling,2019,2021
Q de Kock,2019-2021,Rajasthan Royals,Bowling,2019,2021
J Yadav,2019-2021,Rajasthan Royals,Bowling,2019,2021
JP Behrendorff,2019-2023,Rajasthan Royals,Batting,2019,2023
JP Behrendorff,2019-2023,Rajasthan Royals,Bowling,2019,2023
JL Pattinson,2020-2020,Rajasthan Royals,Batting,2020,2020
JL Pattinson,2020-2020,Rajasthan Royals,Bowling,2020,2020
TA Boult,2020-2025,Rajasthan Royals,Batting,2020,2025
TA Boult,2020-2025,Rajasthan Royals,Bowling,2020,2025
M Jansen,2021-2021,Rajasthan Royals,Batting,2021,2021
CA Lynn,2021-2021,Rajasthan Royals,Batting,2021,2021
AF Milne,2021-2021,Rajasthan Royals,Batting,2021,2021
JDS Neesham,2021-2021,Rajasthan Royals,Batting,2021,2021
M Jansen,2021-2021,Rajasthan Royals,Bowling,2021,2021
CA Lynn,2021-2021,Rajasthan Royals,Bowling,2021,2021
AF Milne,2021-2021,Rajasthan Royals,Bowling,2021,2021
JDS Neesham,2021-2021,Rajasthan Royals,Bowling,2021,2021
Anmolpreet Singh,2021-2022,Rajasthan Royals,Batting,2021,2022
Anmolpreet Singh,2021-2022,Rajasthan Royals,Bowling,2021,2022
PP Chawla,2021-2024,Rajasthan Royals,Batting,2021,2024
PP Chawla,2021-2024,Rajasthan Royals,Bowling,2021,2024
FA Allen,2022-2022,Rajasthan Royals,Batting,2022,2022
M Ashwin,2022-2022,Rajasthan Royals,Batting,2022,2022
Basil Thampi,2022-2022,Rajasthan Royals,Batting,2022,2022
TS Mills,2022-2022,Rajasthan Royals,Batting,2022,2022
Ramandeep Singh,2022-2022,Rajasthan Royals,Batting,2022,2022
DR Sams,2022-2022,Rajasthan Royals,Batting,2022,2022
R Sanjay Yadav,2022-2022,Rajasthan Royals,Batting,2022,2022
JD Unadkat,2022-2022,Rajasthan Royals,Batting,2022,2022
FA Allen,2022-2022,Rajasthan Royals,Bowling,2022,2022
M Ashwin,2022-2022,Rajasthan Royals,Bowling,2022,2022
Basil Thampi,2022-2022,Rajasthan Royals,Bowling,2022,2022
TS Mills,2022-2022,Rajasthan Royals,Bowling,2022,2022
Ramandeep Singh,2022-2022,Rajasthan Royals,Bowling,2022,2022
DR Sams,2022-2022,Rajasthan Royals,Bowling,2022,2022
R Sanjay Yadav,2022-2022,Rajasthan Royals,Bowling,2022,2022
JD Unadkat,2022-2022,Rajasthan Royals,Bowling,2022,2022
K Kartikeya,2022-2023,Rajasthan Royals,Batting,2022,2023
RP Meredith,2022-2023,Rajasthan Royals,Batting,2022,2023
HR Shokeen,2022-2023,Rajasthan Royals,Batting,2022,2023
T Stubbs,2022-2023,Rajasthan Royals,Batting,2022,2023
K Kartikeya,2022-2023,Rajasthan Royals,Bowling,2022,2023
RP Meredith,2022-2023,Rajasthan Royals,Bowling,2022,2023
HR Shokeen,2022-2023,Rajasthan Royals,Bowling,2022,2023
T Stubbs,2022-2023,Rajasthan Royals,Bowling,2022,2023
D Brevis,2022-2024,Rajasthan Royals,Batting,2022,2024
TH David,2022-2024,Rajasthan Royals,Batting,2022,2024
D Brevis,2022-2024,Rajasthan Royals,Bowling,2022,2024
TH David,2022-2024,Rajasthan Royals,Bowling,2022,2024
NT Tilak Varma,2022-2025,Rajasthan Royals,Batting,2022,2025
NT Tilak Varma,2022-2025,Rajasthan Royals,Bowling,2022,2025
JC Archer,2023-2023,Rajasthan Royals,Batting,2023,2023
Arshad Khan,2023-2023,Rajasthan Royals,Batting,2023,2023
R Goyal,2023-2023,Rajasthan Royals,Batting,2023,2023
C Green,2023-2023,Rajasthan Royals,Batting,2023,2023
D Jansen,2023-2023,Rajasthan Royals,Batting,2023,2023
CJ Jordan,2023-2023,Rajasthan Royals,Batting,2023,2023
Vishnu Vinod,2023-2023,Rajasthan Royals,Batting,2023,2023
JC Archer,2023-2023,Rajasthan Royals,Bowling,2023,2023
Arshad Khan,2023-2023,Rajasthan Royals,Bowling,2023,2023
R Goyal,2023-2023,Rajasthan Royals,Bowling,2023,2023
C Green,2023-2023,Rajasthan Royals,Bowling,2023,2023
D Jansen,2023-2023,Rajasthan Royals,Bowling,2023,2023
CJ Jordan,2023-2023,Rajasthan Royals,Bowling,2023,2023
Vishnu Vinod,2023-2023,Rajasthan Royals,Bowling,2023,2023
A Madhwal,2023-2024,Rajasthan Royals,Batting,2023,2024
AS Tendulkar,2023-2024,Rajasthan Royals,Batting,2023,2024
N Wadhera,2023-2024,Rajasthan Royals,Batting,2023,2024
A Madhwal,2023-2024,Rajasthan Royals,Bowling,2023,2024
AS Tendulkar,2023-2024,Rajasthan Royals,Bowling,2023,2024
N Wadhera,2023-2024,Rajasthan Royals,Bowling,2023,2024
G Coetzee,2024-2024,Rajasthan Royals,Batting,2024,2024
A Kamboj,2024-2024,Rajasthan Royals,Batting,2024,2024
KT Maphaka,2024-2024,Rajasthan Royals,Batting,2024,2024
Mohammad Nabi,2024-2024,Rajasthan Royals,Batting,2024,2024
SZ Mulani,2024-2024,Rajasthan Royals,Batting,2024,2024
R Shepherd,2024-2024,Rajasthan Royals,Batting,2024,2024
N Thushara,2024-2024,Rajasthan Royals,Batting,2024,2024
L Wood,2024-2024,Rajasthan Royals,Batting,2024,2024
G Coetzee,2024-2024,Rajasthan Royals,Bowling,2024,2024
A Kamboj,2024-2024,Rajasthan Royals,Bowling,2024,2024
KT Maphaka,2024-2024,Rajasthan Royals,Bowling,2024,2024
Mohammad Nabi,2024-2024,Rajasthan Royals,Bowling,2024,2024
SZ Mulani,2024-2024,Rajasthan Royals,Bowling,2024,2024
R Shepherd,2024-2024,Rajasthan Royals,Bowling,2024,2024
N Thushara,2024-2024,Rajasthan Royals,Bowling,2024,2024
L Wood,2024-2024,Rajasthan Royals,Bowling,2024,2024
Naman Dhir,2024-2025,Rajasthan Royals,Batting,2024,2025
Naman Dhir,2024-2025,Rajasthan Royals,Bowling,2024,2025
Ashwani Kumar,2025-2025,Rajasthan Royals,Batting,2025,2025
JM Bairstow,2025-2025,Rajasthan Royals,Batting,2025,2025
RA Bawa,2025-2025,Rajasthan Royals,Batting,2025,2025
C Bosch,2025-2025,Rajasthan Royals,Batting,2025,2025
DL Chahar,2025-2025,Rajasthan Royals,Batting,2025,2025
RJ Gleeson,2025-2025,Rajasthan Royals,Batting,2025,2025
WG Jacks,2025-2025,Rajasthan Royals,Batting,2025,2025
R Minz,2025-2025,Rajasthan Royals,Batting,2025,2025
Mujeeb Ur Rahman,2025-2025,Rajasthan Royals,Batting,2025,2025
V Puthur,2025-2025,Rajasthan Royals,Batting,2025,2025
PVSN Raju,2025-2025,Rajasthan Royals,Batting,2025,2025
RD Rickelton,2025-2025,Rajasthan Royals,Batting,2025,2025
MJ Santner,2025-2025,Rajasthan Royals,Batting,2025,2025
RJW Topley,2025-2025,Rajasthan Royals,Batting,2025,2025
Ashwani Kumar,2025-2025,Rajasthan Royals,Bowling,2025,2025
JM Bairstow,2025-2025,Rajasthan Royals,Bowling,2025,2025
RA Bawa,2025-2025,Rajasthan Royals,Bowling,2025,2025
C Bosch,2025-2025,Rajasthan Royals,Bowling,2025,2025
DL Chahar,2025-2025,Rajasthan Royals,Bowling,2025,2025
RJ Gleeson,2025-2025,Rajasthan Royals,Bowling,2025,2025
WG Jacks,2025-2025,Rajasthan Royals,Bowling,2025,2025
R Minz,2025-2025,Rajasthan Royals,Bowling,2025,2025
Mujeeb Ur Rahman,2025-2025,Rajasthan Royals,Bowling,2025,2025
V Puthur,2025-2025,Rajasthan Royals,Bowling,2025,2025
PVSN Raju,2025-2025,Rajasthan Royals,Bowling,2025,2025
RD Rickelton,2025-2025,Rajasthan Royals,Bowling,2025,2025
MJ Santner,2025-2025,Rajasthan Royals,Bowling,2025,2025
RJW Topley,2025-2025,Rajasthan Royals,Bowling,2025,2025
M Ashwin,2016-2016,Rising Pune Supergiants,Batting,2016,2016
R Ashwin,2016-2016,Rising Pune Supergiants,Batting,2016,2016
GJ Bailey,2016-2016,Rising Pune Supergiants,Batting,2016,2016
SM Boland,2016-2016,Rising Pune Supergiants,Batting,2016,2016
PSP Handscomb,2016-2016,Rising Pune Supergiants,Batting,2016,2016
UT Khawaja,2016-2016,Rising Pune Supergiants,Batting,2016,2016
MR Marsh,2016-2016,Rising Pune Supergiants,Batting,2016,2016
JA Morkel,2016-2016,Rising Pune Supergiants,Batting,2016,2016
IK Pathan,2016-2016,Rising Pune Supergiants,Batting,2016,2016
NLTC Perera,2016-2016,Rising Pune Supergiants,Batting,2016,2016
KP Pietersen,2016-2016,Rising Pune Supergiants,Batting,2016,2016
I Sharma,2016-2016,Rising Pune Supergiants,Batting,2016,2016
RP Singh,2016-2016,Rising Pune Supergiants,Batting,2016,2016
SS Tiwary,2016-2016,Rising Pune Supergiants,Batting,2016,2016
M Ashwin,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
R Ashwin,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
GJ Bailey,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
SM Boland,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
PSP Handscomb,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
UT Khawaja,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
MR Marsh,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
JA Morkel,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
IK Pathan,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
NLTC Perera,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
KP Pietersen,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
I Sharma,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
RP Singh,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
SS Tiwary,2016-2016,Rising Pune Supergiants,Bowling,2016,2016
Ankit Sharma,2016-2017,Rising Pune Supergiants,Batting,2016,2017
R Bhatia,2016-2017,Rising Pune Supergiants,Batting,2016,2017
DL Chahar,2016-2017,Rising Pune Supergiants,Batting,2016,2017
MS Dhoni,2016-2017,Rising Pune Supergiants,Batting,2016,2017
AB Dinda,2016-2017,Rising Pune Supergiants,Batting,2016,2017
F du Plessis,2016-2017,Rising Pune Supergiants,Batting,2016,2017
AM Rahane,2016-2017,Rising Pune Supergiants,Batting,2016,2017
SPD Smith,2016-2017,Rising Pune Supergiants,Batting,2016,2017
A Zampa,2016-2017,Rising Pune Supergiants,Batting,2016,2017
Ankit Sharma,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
R Bhatia,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
DL Chahar,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
MS Dhoni,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
AB Dinda,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
F du Plessis,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
AM Rahane,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
SPD Smith,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
A Zampa,2016-2017,Rising Pune Supergiants,Bowling,2016,2017
MA Agarwal,2017-2017,Rising Pune Supergiants,Batting,2017,2017
RD Chahar,2017-2017,Rising Pune Supergiants,Batting,2017,2017
DT Christian,2017-2017,Rising Pune Supergiants,Batting,2017,2017
LH Ferguson,2017-2017,Rising Pune Supergiants,Batting,2017,2017
Imran Tahir,2017-2017,Rising Pune Supergiants,Batting,2017,2017
BA Stokes,2017-2017,Rising Pune Supergiants,Batting,2017,2017
SN Thakur,2017-2017,Rising Pune Supergiants,Batting,2017,2017
MK Tiwary,2017-2017,Rising Pune Supergiants,Batting,2017,2017
RA Tripathi,2017-2017,Rising Pune Supergiants,Batting,2017,2017
JD Unadkat,2017-2017,Rising Pune Supergiants,Batting,2017,2017
Washington Sundar,2017-2017,Rising Pune Supergiants,Batting,2017,2017
MA Agarwal,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
RD Chahar,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
DT Christian,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
LH Ferguson,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
Imran Tahir,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
BA Stokes,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
SN Thakur,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
MK Tiwary,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
RA Tripathi,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
JD Unadkat,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
Washington Sundar,2017-2017,Rising Pune Supergiants,Bowling,2017,2017
SB Bangar,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
H Das,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
D Kalyankrishna,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
PM Sarvesh Kumar,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
Shahid Afridi,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
LPC Silva,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
DP Vijaykumar,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
AS Yadav,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
DNT Zoysa,2008-2008,Royal Challengers Bangalore,Batting,2008,2008
SB Bangar,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
H Das,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
D Kalyankrishna,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
PM Sarvesh Kumar,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
Shahid Afridi,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
LPC Silva,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
DP Vijaykumar,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
AS Yadav,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
DNT Zoysa,2008-2008,Royal Challengers Bangalore,Bowling,2008,2008
SB Styris,2008-2009,Royal Challengers Bangalore,Batting,2008,2009
SB Styris,2008-2009,Royal Challengers Bangalore,Bowling,2008,2009
HH Gibbs,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
AC Gilchrist,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
VVS Laxman,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
RG Sharma,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
RP Singh,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
A Symonds,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
WPUJC Vaas,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
Y Venugopal Rao,2008-2010,Royal Challengers Bangalore,Batting,2008,2010
HH Gibbs,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
AC Gilchrist,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
VVS Laxman,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
RG Sharma,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
RP Singh,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
A Symonds,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
WPUJC Vaas,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
Y Venugopal Rao,2008-2010,Royal Challengers Bangalore,Bowling,2008,2010
PP Ojha,2008-2011,Royal Challengers Bangalore,Batting,2008,2011
PP Ojha,2008-2011,Royal Challengers Bangalore,Bowling,2008,2011
DB Ravi Teja,2008-2012,Royal Challengers Bangalore,Batting,2008,2012
DB Ravi Teja,2008-2012,Royal Challengers Bangalore,Bowling,2008,2012
FH Edwards,2009-2009,Royal Challengers Bangalore,Batting,2009,2009
Shoaib Ahmed,2009-2009,Royal Challengers Bangalore,Batting,2009,2009
FH Edwards,2009-2009,Royal Challengers Bangalore,Bowling,2009,2009
Shoaib Ahmed,2009-2009,Royal Challengers Bangalore,Bowling,2009,2009
AA Bilakhia,2009-2010,Royal Challengers Bangalore,Batting,2009,2010
RJ Harris,2009-2010,Royal Challengers Bangalore,Batting,2009,2010
Jaskaran Singh,2009-2010,Royal Challengers Bangalore,Batting,2009,2010
DR Smith,2009-2010,Royal Challengers Bangalore,Batting,2009,2010
