Player,Span,Team,Country,SR,Bowling Style
Mohammad Irfan,2019-2019,Multan Sultans,Pakistan,48.8,Fast
Mohammad Rizwan,2021-2025,Multan Sultans,Pakistan,126.4,None
Mohammad Umar,2021-2021,Multan Sultans,Multan Sultans,30.8,Medium
TJ Moores,2019-2019,Multan Sultans,Sylhet Strikers,136.2,
Muhammad Amir Barki,2022-2025,Multan Sultans,Multan Sultans,92.3,
B Muzarabani,2021-2022,Multan Sultans,Zimbabwe,60.2,Medium
Noman Ali,2019-2019,Multan Sultans,,0,Orthodox
KA Pollard,2018-2023,Multan Sultans,West Indies,149.9,Medium
Rahmanullah Gurbaz,2021-2021,Multan Sultans,Afghanistan,142.7,
Rohail Nazir,2020-2020,Multan Sultans,Pakistan,119.8,
RR Rossouw,2020-2023,Multan Sultans,South Africa,147.9,Offbreak
Rumman Raees,2022-2022,Multan Sultans,Pakistan,94.7,Medium
AD Russell,2019-2019,Multan Sultans,West Indies,167.6,Fast
Saif Badar,2018-2018,Multan Sultans,Los Angeles Knight Riders,121.6,Legbreak
Sameen Gul,2023-2023,Multan Sultans,Peshawar Zalmi,58.8,Medium
KC Sangakkara,2018-2018,Multan Sultans,Sri Lanka,124.8,Offbreak
Shahid Afridi,2019-2021,Multan Sultans,Pakistan,152.3,Legbreak
Shahid Aziz,2025-2025,Multan Sultans,Multan Sultans,187.5,
Shahnawaz Dahani,2021-2024,Multan Sultans,Pakistan,137.5,Medium
Shakeel Ansar,2019-2019,Multan Sultans,Pakistan,59.3,
Shan Masood,2019-2023,Multan Sultans,Pakistan,130.2,Medium
Shoaib Malik,2018-2019,Multan Sultans,Pakistan,125.2,Offbreak
Sohaibullah,2021-2021,Multan Sultans,,0,Medium
Sohaib Maqsood,2018-2022,Multan Sultans,Pakistan,124.1,Offbreak
Sohail Khan,2021-2021,Multan Sultans,Pakistan,96.1,Medium
Sohail Tanvir,2018-2021,Multan Sultans,Pakistan,115.3,Medium
OP Stone,2024-2024,Multan Sultans,England,89.2,Fast
Tayyab Tahir,2024-2025,Multan Sultans,Pakistan,135.7,Legbreak
AJ Turner,2025-2025,Multan Sultans,Australia,140.6,Offbreak
Ubaid Shah,2025-2025,Multan Sultans,Islamabad United,58.3,Medium
Umar Gul,2018-2018,Multan Sultans,Pakistan,115.3,Medium
Umar Siddiq,2019-2019,Multan Sultans,Lahore Lions,103.8,Offbreak
Usama Mir,2023-2025,Multan Sultans,Pakistan,129.4,Legbreak
Usman Khan,2023-2025,Multan Sultans,France,139.6,Medium
Usman Qadir,2020-2021,Multan Sultans,Pakistan,95.6,Legbreak
GC Viljoen,2018-2018,Multan Sultans,Chittagong Vikings,122.4,Medium
JM Vince,2019-2021,Multan Sultans,England,137.3,Medium
RA Whiteley,2018-2018,Multan Sultans,Brisbane Heat,136.2,Medium
DJ Willey,2022-2025,Multan Sultans,England,135.9,Medium
Yasir Khan,2024-2025,Multan Sultans,Peshawar Zalmi,141.7,
Zeeshan Ashraf,2020-2020,Multan Sultans,Multan Sultans,125.6,Offbreak
Aamer Jamal,2023-2024,Peshawar Zalmi,Pakistan,136.7,Medium
Aamer Yamin,2016-2016,Peshawar Zalmi,Pakistan,137.7,Medium
Abdul Samad,2025-2025,Peshawar Zalmi,Japan,148.4,Legbreak
Abdur Rehman,2016-2016,Peshawar Zalmi,Pakistan,123.4,Orthodox
Abrar Ahmed,2021-2021,Peshawar Zalmi,Pakistan,76.8,Legbreak
Adil Amin,2020-2020,Peshawar Zalmi,Peshawar Zalmi,100.0,Offbreak
Ahmed Daniyal,2025-2025,Peshawar Zalmi,Pakistan,110.6,Medium
Aimal Khan,2024-2024,Peshawar Zalmi,Quetta Gladiators,0.0,Medium
Ali Majid,2022-2022,Peshawar Zalmi,Peshawar Zalmi,112.5,Offbreak
Ali Raza,2025-2025,Peshawar Zalmi,Estonia,157.9,
FA Allen,2021-2021,Peshawar Zalmi,West Indies,141.5,Orthodox
J Allenby,2016-2016,Peshawar Zalmi,Peshawar Zalmi,128.0,Medium
Amad Butt,2021-2022,Peshawar Zalmi,Khulna Tigers,134.0,Fast
Arif Yaqoob,2024-2025,Peshawar Zalmi,Peshawar Zalmi,122.2,Legbreak
Arish Ali,2022-2022,Peshawar Zalmi,Quetta Gladiators,0.0,Offbreak
Arshad Iqbal,2022-2023,Peshawar Zalmi,Pakistan,38.5,Medium
Asif Ali,2024-2024,Peshawar Zalmi,Pakistan,141.9,Medium
Azmatullah Omarzai,2023-2023,Peshawar Zalmi,Afghanistan,130.8,Medium
Babar Azam,2023-2025,Peshawar Zalmi,Pakistan,128.7,Offbreak
JM Bairstow,2016-2016,Peshawar Zalmi,England,141.8,
T Banton,2020-2020,Peshawar Zalmi,England,141.9,
RS Bopara,2021-2021,Peshawar Zalmi,England,124.5,Medium
CR Brathwaite,2020-2020,Peshawar Zalmi,West Indies,136.0,Medium
PR Brown,2022-2022,Peshawar Zalmi,England,69.8,Medium
M Bryant,2025-2025,Peshawar Zalmi,Brisbane Heat,139.8,Medium
BCJ Cutting,2022-2022,Peshawar Zalmi,Australia,145.6,Medium
LA Dawson,2018-2020,Peshawar Zalmi,England,121.4,Orthodox
F du Plessis,2020-2020,Peshawar Zalmi,South Africa,139.2,Legbreak
ADS Fletcher,2018-2019,Peshawar Zalmi,West Indies,124.4,Medium
L Gregory,2020-2020,Peshawar Zalmi,England,140.8,Medium
Haider Ali,2020-2022,Peshawar Zalmi,Pakistan,131.7,
Hammad Azam,2018-2020,Peshawar Zalmi,Pakistan,97.6,Medium
Haris Sohail,2017-2018,Peshawar Zalmi,Pakistan,95.6,Orthodox
Hasan Ali,2016-2020,Peshawar Zalmi,Pakistan,144.0,Medium
Haseebullah Khan,2023-2024,Peshawar Zalmi,Pakistan,136.6,
Hazratullah Zazai,2021-2022,Peshawar Zalmi,Afghanistan,132.7,Orthodox
BJ Hodge,2016-2016,Peshawar Zalmi,Australia,130.3,Offbreak
BAC Howell,2022-2022,Peshawar Zalmi,Melbourne Renegades,137.3,Medium
Hussain Talat,2022-2025,Peshawar Zalmi,Pakistan,121.2,Medium
Ibtisam Sheikh,2018-2019,Peshawar Zalmi,Peshawar Zalmi,33.3,Legbreak
Iftikhar Ahmed,2017-2017,Peshawar Zalmi,Pakistan,129.3,Offbreak
Imam-ul-Haq,2019-2021,Peshawar Zalmi,Pakistan,122.1,
Imran Khan,2016-2017,Peshawar Zalmi,Portugal,87.5,Medium
CJ Jordan,2017-2019,Peshawar Zalmi,England,134.2,Medium
AS Joseph,2025-2025,Peshawar Zalmi,West Indies,107.1,Medium
Junaid Khan,2016-2017,Peshawar Zalmi,Pakistan,62.2,Medium
Kamran Akmal,2016-2022,Peshawar Zalmi,Pakistan,131.5,
Khalid Usman,2018-2022,Peshawar Zalmi,Peshawar Zalmi,126.5,Orthodox
Khurram Shahzad,2023-2024,Peshawar Zalmi,Qatar,56.8,Offbreak
Khushdil Shah,2017-2018,Peshawar Zalmi,Pakistan,136.3,Orthodox
T Kohler-Cadmore,2021-2025,Peshawar Zalmi,Sydney Thunder,141.3,Offbreak
GF Linde,2025-2025,Peshawar Zalmi,South Africa,139.5,Orthodox
LS Livingstone,2020-2022,Peshawar Zalmi,England,144.4,Legbreak
Maaz Sadaqat,2025-2025,Peshawar Zalmi,Peshawar Zalmi,166.0,
WL Madsen,2019-2019,Peshawar Zalmi,Italy,138.4,Offbreak
S Mahmood,2020-2022,Peshawar Zalmi,England,75.0,Medium
DJ Malan,2016-2019,Peshawar Zalmi,England,131.8,Legbreak
Mohammad Ali,2025-2025,Peshawar Zalmi,Pakistan,42.9,Medium
Mehran Mumtaz,2024-2024,Peshawar Zalmi,Peshawar Zalmi,0.0,Orthodox
DA Miller,2021-2021,Peshawar Zalmi,South Africa,137.5,Offbreak
TS Mills,2019-2019,Peshawar Zalmi,England,105.9,Fast
Misbah-ul-Haq,2019-2019,Peshawar Zalmi,Pakistan,112.3,Legbreak
Mohammad Amir Khan,2020-2020,Peshawar Zalmi,Peshawar Zalmi,77.8,Medium
Mohammad Asghar,2016-2018,Peshawar Zalmi,,0,
Mohammad Hafeez,2016-2018,Peshawar Zalmi,Pakistan,116.7,Offbreak
Mohammad Haris,2022-2025,Peshawar Zalmi,Pakistan,149.4,Offbreak
Mohammad Imran,2020-2020,Peshawar Zalmi,Fortune Barishal,50.0,Medium
Mohammad Imran,2021-2021,Peshawar Zalmi,Fortune Barishal,50.0,Medium
Mohammad Irfan,2021-2021,Peshawar Zalmi,Pakistan,48.8,Fast
Mohammad Mohsin,2020-2020,Peshawar Zalmi,St Kitts and Nevis Patriots,101.6,Legbreak
Mohammad Umar,2022-2022,Peshawar Zalmi,Multan Sultans,30.8,Medium
Mohammad Zeeshan,2024-2024,Peshawar Zalmi,Peshawar Zalmi,0.0,Medium
EJG Morgan,2017-2017,Peshawar Zalmi,England,130.9,Medium
DR Mousley,2024-2024,Peshawar Zalmi,England,130.5,Offbreak
Mujeeb Ur Rahman,2021-2023,Peshawar Zalmi,Afghanistan,104.2,Offbreak
Nabi Gul,2019-2019,Peshawar Zalmi,,0,
Naveen-ul-Haq,2024-2024,Peshawar Zalmi,Afghanistan,98.0,Medium
JDS Neesham,2023-2023,Peshawar Zalmi,New Zealand,140.9,Medium
MJ Owen,2025-2025,Peshawar Zalmi,Australia,183.4,Medium
KA Pollard,2019-2019,Peshawar Zalmi,West Indies,149.9,Medium
R Powell,2021-2024,Peshawar Zalmi,West Indies,141.4,Medium
Rahat Ali,2020-2020,Peshawar Zalmi,Czech Republic,81.1,Medium
PBB Rajapaksa,2023-2023,Peshawar Zalmi,Sri Lanka,137.2,Medium
SE Rutherford,2021-2022,Peshawar Zalmi,West Indies,138.4,Medium
Saad Masood,2023-2023,Peshawar Zalmi,Peshawar Zalmi,141.7,Offbreak
Saad Nasim,2018-2018,Peshawar Zalmi,Pakistan,121.0,Legbreak
Sabbir Rahman,2018-2018,Peshawar Zalmi,Bangladesh,120.4,Legbreak
Saim Ayub,2023-2025,Peshawar Zalmi,Pakistan,137.4,Medium
Salman Irshad,2022-2024,Peshawar Zalmi,Dhaka Dominators,68.6,Medium
Sameen Gul,2018-2022,Peshawar Zalmi,Peshawar Zalmi,58.8,Medium
DJG Sammy,2016-2020,Peshawar Zalmi,West Indies,140.2,Medium
DR Sams,2025-2025,Peshawar Zalmi,Australia,151.6,Medium
MN Samuels,2017-2017,Peshawar Zalmi,West Indies,118.0,Offbreak
Shahid Afridi,2016-2017,Peshawar Zalmi,Pakistan,152.3,Legbreak
Shahid Yousuf,2016-2016,Peshawar Zalmi,Sialkot Stallions,110.2,Medium
MD Shanaka,2023-2023,Peshawar Zalmi,Sri Lanka,132.4,Medium
Shakib Al Hasan,2017-2023,Peshawar Zalmi,Bangladesh,126.2,Orthodox
Shoaib Malik,2020-2022,Peshawar Zalmi,Pakistan,125.2,Offbreak
DR Smith,2018-2018,Peshawar Zalmi,West Indies,126.3,Medium
Sohaib Maqsood,2017-2020,Peshawar Zalmi,Pakistan,124.1,Offbreak
Sohail Khan,2022-2022,Peshawar Zalmi,Pakistan,96.1,Medium
Sufiyan Muqeem,2023-2025,Peshawar Zalmi,Pakistan,82.4,Orthodox
SW Tait,2016-2016,Peshawar Zalmi,Australia,75.3,Fast
Tamim Iqbal,2016-2018,Peshawar Zalmi,Bangladesh,120.2,Offbreak
Umaid Asif,2018-2021,Peshawar Zalmi,Sialkot Stallions,160.6,Medium
Umar Amin,2019-2020,Peshawar Zalmi,Pakistan,110.2,Medium
Usman Qadir,2022-2023,Peshawar Zalmi,Pakistan,95.6,Legbreak
GC Viljoen,2020-2020,Peshawar Zalmi,Chittagong Vikings,122.4,Medium
Wahab Riaz,2016-2023,Peshawar Zalmi,Pakistan,127.5,Fast
PI Walter,2024-2024,Peshawar Zalmi,Brisbane Heat,140.1,Medium
Waqar Salamkheil,2021-2024,Peshawar Zalmi,Hobart Hurricanes,48.8,Chinaman
JW Wells,2021-2021,Peshawar Zalmi,Hobart Hurricanes,121.5,Medium
MH Wessels,2018-2018,Peshawar Zalmi,Sydney Sixers,135.0,None
L Wood,2024-2025,Peshawar Zalmi,England,115.8,Medium
Yasir Khan,2022-2022,Peshawar Zalmi,Peshawar Zalmi,141.7,
Yasir Shah,2020-2020,Peshawar Zalmi,Pakistan,91.1,Legbreak
SA Abbott,2025-2025,Quetta Gladiators,Australia,118.9,Medium
Abdul Bangalzai,2022-2023,Quetta Gladiators,Quetta Gladiators,65.2,
Abdul Nasir,2020-2021,Quetta Gladiators,Quetta Gladiators,25.0,Offbreak
Abrar Ahmed,2024-2025,Quetta Gladiators,Pakistan,76.8,Legbreak
Ahmed Shehzad,2016-2020,Quetta Gladiators,Pakistan,119.5,Legbreak
Ahsan Ali,2019-2022,Quetta Gladiators,Pakistan,127.0,Legbreak
Aimal Khan,2023-2023,Quetta Gladiators,Quetta Gladiators,0.0,Medium
Aizaz Cheema,2016-2016,Quetta Gladiators,Pakistan,40.0,Medium
Akbar-ur-Rehman,2016-2016,Quetta Gladiators,,0,
Ali Majid,2025-2025,Quetta Gladiators,Peshawar Zalmi,112.5,Offbreak
FH Allen,2025-2025,Quetta Gladiators,New Zealand,173.1,
Anamul Haque,2017-2017,Quetta Gladiators,Bangladesh,117.8,
Anwar Ali,2016-2021,Quetta Gladiators,Pakistan,138.5,Medium
JC Archer,2018-2018,Quetta Gladiators,England,138.3,Fast
Arish Ali,2021-2021,Quetta Gladiators,Quetta Gladiators,0.0,Offbreak
Asad Shafiq,2016-2018,Quetta Gladiators,Pakistan,110.5,Legbreak
Ashir Qureshi,2022-2022,Quetta Gladiators,Quetta Gladiators,0.0,Legbreak
Azam Khan,2019-2021,Quetta Gladiators,Pakistan,143.9,
T Banton,2021-2021,Quetta Gladiators,England,141.9,
Bismillah Khan,2016-2016,Quetta Gladiators,,0,
DJ Bravo,2019-2019,Quetta Gladiators,West Indies,126.3,Medium
LD Chandimal,2025-2025,Quetta Gladiators,Sri Lanka,121.4,Offbreak
MS Chapman,2025-2025,Quetta Gladiators,Hong Kong,135.8,Orthodox
E Chigumbura,2016-2016,Quetta Gladiators,Zimbabwe,140.5,Medium
BCJ Cutting,2020-2021,Quetta Gladiators,Australia,145.6,Medium
Danish Aziz,2019-2025,Quetta Gladiators,Pakistan,117.5,Orthodox
CS Delport,2021-2021,Quetta Gladiators,Sydney Thunder,139.5,Medium
BM Duckett,2022-2022,Quetta Gladiators,England,140.6,Offbreak
F du Plessis,2021-2021,Quetta Gladiators,South Africa,139.2,Legbreak
GD Elliott,2016-2016,Quetta Gladiators,New Zealand,119.7,Medium
RR Emrit,2017-2017,Quetta Gladiators,West Indies,112.4,Medium
SM Ervine,2017-2017,Quetta Gladiators,Duronto Rajshahi,124.7,Medium
LJ Evans,2024-2024,Quetta Gladiators,Perth Scorchers,138.3,Medium
Faheem Ashraf,2025-2025,Quetta Gladiators,Pakistan,142.9,Medium
JP Faulkner,2022-2022,Quetta Gladiators,Australia,126.6,Medium
Fawad Ahmed,2019-2020,Quetta Gladiators,Australia,75.4,Legbreak
WIA Fernando,2025-2025,Quetta Gladiators,Sri Lanka,134.6,Medium
CH Gayle,2021-2021,Quetta Gladiators,West Indies,144.1,Offbreak
Ghulam Mudassar,2019-2022,Quetta Gladiators,Sylhet Sixers,33.3,Medium
MJ Guptill,2023-2023,Quetta Gladiators,New Zealand,130.7,Offbreak
HF Gurney,2019-2019,Quetta Gladiators,England,73.3,Medium
Hasan Nawaz,2025-2025,Quetta Gladiators,Pakistan,160.0,
Haseebullah Khan,2025-2025,Quetta Gladiators,Pakistan,136.6,
Hassan Khan,2017-2022,Quetta Gladiators,Germany,141.7,Orthodox
JW Hastings,2018-2018,Quetta Gladiators,Australia,162.9,Medium
AJ Hosein,2024-2025,Quetta Gladiators,West Indies,110.9,Orthodox
Iftikhar Ahmed,2022-2023,Quetta Gladiators,Pakistan,129.3,Offbreak
KA Jamieson,2025-2025,Quetta Gladiators,New Zealand,130.5,Medium
Khawaja Nafay,2024-2025,Quetta Gladiators,Chattogram Challengers,132.5,Offbreak
Khurram Manzoor,2020-2020,Quetta Gladiators,Pakistan,103.2,Offbreak
Khurram Shahzad,2021-2025,Quetta Gladiators,Qatar,56.8,Offbreak
T Kohler-Cadmore,2018-2018,Quetta Gladiators,Sydney Thunder,141.3,Offbreak
B Laughlin,2018-2018,Quetta Gladiators,Australia,86.4,Medium
NL McCullum,2016-2016,Quetta Gladiators,New Zealand,109.8,Offbreak
Mahmudullah,2017-2018,Quetta Gladiators,Bangladesh,121.1,Offbreak
BKG Mendis,2025-2025,Quetta Gladiators,Sri Lanka,135.4,Legbreak
TS Mills,2017-2020,Quetta Gladiators,England,105.9,Fast
Mir Hamza,2017-2018,Quetta Gladiators,Karachi Kings,92.6,Medium
Mohammad Amir,2024-2025,Quetta Gladiators,Pakistan,103.4,Fast
Mohammad Hafeez,2023-2023,Quetta Gladiators,Pakistan,116.7,Offbreak
Mohammad Hasnain,2019-2024,Quetta Gladiators,Pakistan,83.6,Medium
Mohammad Irfan,2022-2022,Quetta Gladiators,Pakistan,48.8,Fast
Mohammad Irfan,2019-2019,Quetta Gladiators,Pakistan,48.8,Fast
Mohammad Nabi,2016-2016,Quetta Gladiators,Afghanistan,134.0,Offbreak
Mohammad Nawaz,2016-2023,Quetta Gladiators,Quetta Gladiators,100.0,Orthodox
Mohammad Wasim,2024-2025,Quetta Gladiators,Pakistan,117.2,Medium
Mohammad Zeeshan,2025-2025,Quetta Gladiators,Peshawar Zalmi,0.0,Medium
Najibullah Zadran,2023-2023,Quetta Gladiators,Afghanistan,133.0,Offbreak
Naseem Shah,2020-2023,Quetta Gladiators,Pakistan,115.2,Fast
Naveen-ul-Haq,2023-2023,Quetta Gladiators,Afghanistan,98.0,Medium
Noor Ahmad,2022-2022,Quetta Gladiators,Afghanistan,95.8,Chinaman
Omair Yousuf,2023-2024,Quetta Gladiators,Pakistan,125.6,
NLTC Perera,2017-2018,Quetta Gladiators,Sri Lanka,152.1,Medium
KP Pietersen,2016-2018,Quetta Gladiators,England,134.9,Offbreak
D Pretorius,2023-2023,Quetta Gladiators,South Africa,138.4,Medium
Qais Ahmad,2021-2023,Quetta Gladiators,Afghanistan,127.6,Legbreak
Rahat Ali,2018-2018,Quetta Gladiators,Czech Republic,81.1,Medium
Rameez Raja,2018-2018,Quetta Gladiators,,0,Offbreak
RR Rossouw,2017-2025,Quetta Gladiators,South Africa,147.9,Offbreak
JJ Roy,2018-2024,Quetta Gladiators,England,140.0,
AD Russell,2021-2021,Quetta Gladiators,West Indies,167.6,Fast
SE Rutherford,2024-2024,Quetta Gladiators,West Indies,138.4,Medium
Saad Nasim,2017-2017,Quetta Gladiators,Pakistan,121.0,Legbreak
Saim Ayub,2021-2021,Quetta Gladiators,Pakistan,137.4,Medium
Sajjad Ali,2024-2024,Quetta Gladiators,,0,
KC Sangakkara,2016-2016,Quetta Gladiators,Sri Lanka,124.8,Offbreak
Sarfaraz Ahmed,2016-2024,Quetta Gladiators,Pakistan,122.6,
Saud Shakeel,2024-2025,Quetta Gladiators,Quetta Gladiators,130.2,Slow
Shahid Afridi,2022-2022,Quetta Gladiators,Pakistan,152.3,Legbreak
Shoaib Malik,2025-2025,Quetta Gladiators,Pakistan,125.2,Offbreak
WCF Smeed,2022-2023,Quetta Gladiators,St Kitts and Nevis Patriots,148.7,Offbreak
DR Smith,2019-2019,Quetta Gladiators,West Indies,126.3,Medium
OF Smith,2023-2023,Quetta Gladiators,West Indies,128.8,Medium
Sohail Khan,2020-2024,Quetta Gladiators,Pakistan,96.1,Medium
Sohail Tanvir,2019-2022,Quetta Gladiators,Pakistan,115.3,Medium
DW Steyn,2021-2021,Quetta Gladiators,South Africa,107.1,Fast
N Thushara,2023-2023,Quetta Gladiators,Sri Lanka,65.1,Medium
Umaid Asif,2023-2023,Quetta Gladiators,Sialkot Stallions,160.6,Medium
Umar Akmal,2019-2023,Quetta Gladiators,Pakistan,128.3,
Umar Amin,2018-2018,Quetta Gladiators,Pakistan,110.2,Medium
Umar Gul,2016-2017,Quetta Gladiators,Pakistan,115.3,Medium
Usman Khan,2021-2021,Quetta Gladiators,France,139.6,Medium
Usman Shinwari,2021-2021,Quetta Gladiators,Pakistan,100.0,Medium
Usman Tariq,2024-2025,Quetta Gladiators,Trinbago Knight Riders,84.6,Offbreak
MN van Wyk,2017-2017,Quetta Gladiators,South Africa,132.2,Orthodox
JM Vince,2022-2022,Quetta Gladiators,England,137.3,Medium
SR Watson,2018-2020,Quetta Gladiators,Australia,138.3,Medium
J Weatherald,2021-2021,Quetta Gladiators,Adelaide Strikers,130.9,Legbreak
JD Wildermuth,2021-2021,Quetta Gladiators,Australia,118.0,Medium
L Wood,2022-2022,Quetta Gladiators,England,115.8,Medium
LJ Wright,2016-2017,Quetta Gladiators,England,140.6,Medium
Yasir Khan,2023-2023,Quetta Gladiators,Peshawar Zalmi,141.7,
Zahid Mahmood,2020-2021,Quetta Gladiators,Pakistan,66.7,Legbreak
Zahir Khan,2021-2021,Quetta Gladiators,Afghanistan,76.9,Chinaman
Zahoor Khan,2021-2021,Quetta Gladiators,United Arab Emirates,51.7,Medium
Zulfiqar Babar,2016-2017,Quetta Gladiators,Pakistan,113.6,Orthodox
