Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
CJ Anderson,2019-2019,Islamabad United,New Zealand,131.0,Medium,3244,95*,24.20,0,46,2/10,34.06,0,62.0,0.0,-9.85
CR Brathwaite,2019-2024,Islamabad United,West Indies,136.0,Medium,2385,64*,15.69,0,248,4/14,25.75,0,108.0,0.0,-10.05
D Wiese,2019-2025,Islamabad United,South Africa,141.5,Medium,4519,79*,22.59,0,334,5/19,26.24,7,154.0,0.0,-3.65
DAS Gunaratne,2019-2019,Islamabad United,Sri Lanka,124.9,Medium,1683,87*,26.71,0,62,5/10,24.19,1,43.0,0.0,2.52
GC Viljoen,2019-2019,Islamabad United,Chittagong Vikings,122.4,Medium,953,44,14.66,0,189,5/16,25.56,1,30.0,0.0,-10.90
Gauhar Ali,2019-2019,Islamabad United,Lahore Qalandars,136.4,,419,70,13.51,0,-,-,-,-,23.0,7.0,-
Haris Rauf,2019-2025,Islamabad United,Pakistan,108.8,Fast,393,34*,8.18,0,334,5/27,22.26,1,68.0,0.0,-14.07
Haris Sohail,2019-2019,Islamabad United,Pakistan,95.6,Orthodox,2221,69*,28.84,0,9,2/10,22.77,0,41.0,0.0,6.06
Hassan Khan,2019-2019,Islamabad United,Germany,141.7,Orthodox,963,57,19.65,0,63,4/30,31.19,0,42.0,0.0,-11.53
MH Wessels,2019-2019,Islamabad United,Sydney Sixers,135.0,,5684,110,28.85,1,-,-,-,-,96.0,16.0,-
Mohammad Hafeez,2019-2022,Islamabad United,Pakistan,116.7,Offbreak,7946,102*,25.79,2,202,4/10,24.00,0,111.0,0.0,1.78
RN ten Doeschate,2019-2019,Islamabad United,Netherlands,134.4,Medium,7597,121*,29.33,2,114,4/24,25.63,0,134.0,0.0,3.70
Rahat Ali,2019-2019,Islamabad United,Czech Republic,81.1,Medium,,,,,,,,,,,
S Lamichhane,2019-2019,Islamabad United,World-XI,87.7,Legbreak,142,16*,6.76,0,225,5/9,16.90,1,35.0,0.0,-10.14
Saad Ali,2019-2019,Islamabad United,Lahore Qalandars,88.9,Medium,333,57*,30.27,0,-,-,-,-,6.0,0.0,-
Salman Butt,2019-2020,Islamabad United,Pakistan,109.1,Offbreak,2349,99*,35.05,0,5,2/25,28.20,0,18.0,0.0,6.85
Umair Masood,2019-2019,Islamabad United,Lahore Qalandars,78.6,,87,24,9.66,0,-,-,-,-,4.0,5.0,-
BR Dunk,2020-2022,Islamabad United,Australia,128.9,,3708,99*,23.32,0,3,1/19,39.33,0,99.0,10.0,-16.01
CA Lynn,2020-2020,Islamabad United,Australia,143.8,Orthodox,8526,113*,32.91,6,3,2/15,31.00,0,72.0,0.0,1.91
DJ Vilas,2020-2020,Islamabad United,Cape Cobras,131.4,,4235,75*,28.04,0,-,-,-,-,116.0,30.0,-
Dilbar Hussain,2020-2023,Islamabad United,Melbourne Stars,100.0,Medium,37,13*,18.50,0,22,4/24,24.54,0,4.0,0.0,-6.04
Maaz Khan,2020-2020,Islamabad United,Lesotho,145.9,Legbreak,406,68*,19.33,0,2,2/24,44.50,0,5.0,0.0,-25.16
