Player,Span,Team,Record Type
Asif Ali,2025-2025,Islamabad United,Bowling
Azhar Ali,2016-2016,Islamabad United,Bowling
Bilal Asif,2018-2018,Islamabad United,Bowling
Bilawal Bhatti,2017-2017,Islamabad United,Bowling
SW Billings,2023-2025,Islamabad United,Bowling
CR Brathwaite,2019-2024,Islamabad United,Bowling
DJ Bravo,2016-2016,Islamabad United,Bowling
HC Brook,2022-2022,Islamabad United,Bowling
KK Cooper,2016-2016,Islamabad United,Bowling
TK Curran,2025-2025,Islamabad United,Bowling
S Dadswell,2023-2023,Islamabad United,Bowling
TH David,2021-2021,Islamabad United,Bowling
LA Dawson,2023-2023,Islamabad United,Bowling
CS Delport,2016-2018,Islamabad United,Bowling
JL Denly,2021-2021,Islamabad United,Bowling
AP Devcich,2018-2019,Islamabad United,Bowling
AB de Villiers,2019-2019,Islamabad United,Bowling
Dilbar Hussain,2020-2023,Islamabad United,Bowling
BR Dunk,2020-2022,Islamabad United,Bowling
Ehsan Adil,2016-2016,Islamabad United,Bowling
GD Elliott,2017-2017,Islamabad United,Bowling
Fakhar Zaman,2017-2025,Islamabad United,Bowling
JP Faulkner,2021-2021,Islamabad United,Bowling
Fawad Ahmed,2022-2022,Islamabad United,Bowling
D Foxcroft,2022-2022,Islamabad United,Bowling
Gauhar Ali,2019-2019,Islamabad United,Bowling
CH Gayle,2016-2016,Islamabad United,Bowling
Ghulam Mudassar,2017-2017,Islamabad United,Bowling
Gulraiz Sadaf,2018-2018,Islamabad United,Bowling
DAS Gunaratne,2019-2019,Islamabad United,Bowling
Hammad Azam,2016-2016,Islamabad United,Bowling
Haris Rauf,2019-2025,Islamabad United,Bowling
Haris Sohail,2019-2019,Islamabad United,Bowling
Hassan Khan,2019-2019,Islamabad United,Bowling
SD Hope,2023-2024,Islamabad United,Bowling
Hussain Talat,2023-2023,Islamabad United,Bowling
Imran Khan,2018-2018,Islamabad United,Bowling
Jahandad Khan,2024-2025,Islamabad United,Bowling
Kamran Ghulam,2022-2024,Islamabad United,Bowling
S Lamichhane,2019-2019,Islamabad United,Bowling
GF Linde,2024-2024,Islamabad United,Bowling
CA Lynn,2020-2020,Islamabad United,Bowling
Maaz Khan,2020-2020,Islamabad United,Bowling
MJ McClenaghan,2018-2018,Islamabad United,Bowling
BB McCullum,2017-2018,Islamabad United,Bowling
BAW Mendis,2016-2016,Islamabad United,Bowling
Mirza Baig,2023-2024,Islamabad United,Bowling
DJ Mitchell,2025-2025,Islamabad United,Bowling
Mohammad Azab,2025-2025,Islamabad United,Bowling
Muhammad Faizan,2020-2021,Islamabad United,Bowling
Mohammad Hafeez,2019-2022,Islamabad United,Bowling
Mohammad Imran,2024-2024,Islamabad United,Bowling
Mohammad Irfan,2017-2017,Islamabad United,Bowling
Mohammad Naeem,2025-2025,Islamabad United,Bowling
Mohammad Rizwan,2016-2017,Islamabad United,Bowling
Muhammad Akhlaq,2025-2025,Islamabad United,Bowling
Mustafizur Rahman,2018-2018,Islamabad United,Bowling
SP Narine,2017-2018,Islamabad United,Bowling
Naved Yasin,2016-2016,Islamabad United,Bowling
SR Patel,2020-2022,Islamabad United,Bowling
MDKJ Perera,2025-2025,Islamabad United,Bowling
S Prasanna,2020-2020,Islamabad United,Bowling
Rahat Ali,2019-2019,Islamabad United,Bowling
PBB Rajapaksa,2025-2025,Islamabad United,Bowling
Raja Farzan,2020-2020,Islamabad United,Bowling
D Ramdin,2018-2018,Islamabad United,Bowling
Rashid Khan,2021-2023,Islamabad United,Bowling
Raza Hasan,2018-2018,Islamabad United,Bowling
Rishad Hossain,2025-2025,Islamabad United,Bowling
JJ Roy,2017-2017,Islamabad United,Bowling
Saad Ali,2019-2019,Islamabad United,Bowling
Sahibzada Farhan,2024-2024,Islamabad United,Bowling
Salman Butt,2019-2020,Islamabad United,Bowling
Salman Fayyaz,2024-2024,Islamabad United,Bowling
Salman Irshad,2018-2020,Islamabad United,Bowling
Salman Mirza,2021-2025,Islamabad United,Bowling
PD Salt,2022-2022,Islamabad United,Bowling
Shaheen Shah Afridi,2018-2025,Islamabad United,Bowling
Shakib Al Hasan,2025-2025,Islamabad United,Bowling
Shawaiz Irfan,2023-2023,Islamabad United,Bowling
Sikandar Raza,2023-2025,Islamabad United,Bowling
Sohaib Maqsood,2016-2016,Islamabad United,Bowling
Sohail Akhtar,2018-2022,Islamabad United,Bowling
Sohail Khan,2018-2018,Islamabad United,Bowling
Sohail Tanvir,2017-2017,Islamabad United,Bowling
Tamim Iqbal,2020-2020,Islamabad United,Bowling
BRM Taylor,2019-2019,Islamabad United,Bowling
Tayyab Abbas,2024-2024,Islamabad United,Bowling
RN ten Doeschate,2019-2019,Islamabad United,Bowling
LJ Tucker,2024-2024,Islamabad United,Bowling
Umair Masood,2019-2019,Islamabad United,Bowling
Umar Akmal,2016-2018,Islamabad United,Bowling
Usman Shinwari,2020-2020,Islamabad United,Bowling
HE van der Dussen,2024-2024,Islamabad United,Bowling
DJ Vilas,2020-2020,Islamabad United,Bowling
GC Viljoen,2019-2019,Islamabad United,Bowling
MH Wessels,2019-2019,Islamabad United,Bowling
D Wiese,2019-2025,Islamabad United,Bowling
Yasir Shah,2017-2019,Islamabad United,Bowling
Zafar Gohar,2016-2016,Islamabad United,Bowling
Zaman Khan,2022-2025,Islamabad United,Bowling
Zeeshan Ashraf,2021-2022,Islamabad United,Bowling
Zia-ul-Haq,2016-2016,Islamabad United,Bowling
Zohaib Khan,2016-2016,Islamabad United,Bowling
Abrar Ahmed,2023-2023,Karachi Kings,Batting
Agha Salman,2024-2025,Karachi Kings,Batting
Ahmed Safi Abdullah,2020-2020,Karachi Kings,Batting
Akif Javed,2020-2021,Karachi Kings,Batting
Ali Khan,2021-2021,Karachi Kings,Batting
Amad Butt,2017-2020,Karachi Kings,Batting
Ashar Zaidi,2016-2016,Karachi Kings,Batting
Asif Ali,2016-2023,Karachi Kings,Batting
Athar Mahmood,2022-2022,Karachi Kings,Batting
Azam Khan,2022-2025,Karachi Kings,Batting
Azhar Mahmood,2016-2016,Karachi Kings,Batting
Babar Azam,2016-2016,Karachi Kings,Batting
S Badree,2016-2017,Karachi Kings,Batting
IR Bell,2019-2019,Karachi Kings,Batting
SW Billings,2016-2017,Karachi Kings,Batting
JM Cox,2024-2024,Karachi Kings,Batting
TK Curran,2023-2023,Karachi Kings,Batting
Danish Aziz,2022-2022,Karachi Kings,Batting
LA Dawson,2022-2022,Karachi Kings,Batting
M de Lange,2022-2022,Karachi Kings,Batting
CS Delport,2019-2019,Karachi Kings,Batting
BM Duckett,2017-2017,Karachi Kings,Batting
JP Duminy,2018-2018,Karachi Kings,Batting
BJ Dwarshuis,2025-2025,Karachi Kings,Batting
Faheem Ashraf,2018-2024,Karachi Kings,Batting
Fawad Ahmed,2021-2021,Karachi Kings,Batting
Fazalhaq Farooqi,2023-2023,Karachi Kings,Batting
ST Finn,2018-2018,Karachi Kings,Batting
MW Forde,2024-2024,Karachi Kings,Batting
Ghazi Ghori,2025-2025,Karachi Kings,Batting
AGS Gous,2025-2025,Karachi Kings,Batting
L Gregory,2021-2021,Karachi Kings,Batting
MJ Guptill,2024-2024,Karachi Kings,Batting
BJ Haddin,2016-2017,Karachi Kings,Batting
Haider Ali,2024-2025,Karachi Kings,Batting
AD Hales,2018-2025,Karachi Kings,Batting
Hasan Ali,2021-2023,Karachi Kings,Batting
Hasan Nawaz,2023-2023,Karachi Kings,Batting
JO Holder,2025-2025,Karachi Kings,Batting
Hunain Shah,2024-2025,Karachi Kings,Batting
Hussain Talat,2017-2021,Karachi Kings,Batting
Iftikhar Ahmed,2018-2021,Karachi Kings,Batting
Imad Wasim,2024-2025,Karachi Kings,Batting
Imran Khalid,2016-2017,Karachi Kings,Batting
CA Ingram,2020-2020,Karachi Kings,Batting
WG Jacks,2022-2022,Karachi Kings,Batting
Kamran Ghulam,2016-2016,Karachi Kings,Batting
Khalid Latif,2016-2016,Karachi Kings,Batting
UT Khawaja,2021-2021,Karachi Kings,Batting
BA King,2021-2021,Karachi Kings,Batting
OC McCoy,2024-2024,Karachi Kings,Batting
DJ Malan,2020-2020,Karachi Kings,Batting
KR Mayers,2025-2025,Karachi Kings,Batting
RP Meredith,2025-2025,Karachi Kings,Batting
TS Mills,2024-2025,Karachi Kings,Batting
Misbah-ul-Haq,2016-2018,Karachi Kings,Batting
Mohammad Irfan,2016-2017,Karachi Kings,Batting
Mohammad Nawaz,2025-2025,Karachi Kings,Batting
Mohammad Sami,2016-2019,Karachi Kings,Batting
Mohammad Wasim,2021-2023,Karachi Kings,Batting
Mubasir Khan,2022-2023,Karachi Kings,Batting
Muhammad Akhlaq,2021-2022,Karachi Kings,Batting
Muhammad Hurraira,2022-2022,Karachi Kings,Batting
Muhammad Musa,2019-2022,Karachi Kings,Batting
Muhammad Shahzad,2025-2025,Karachi Kings,Batting
C Munro,2020-2025,Karachi Kings,Batting
