Player Name,Role,Team
Adam Hose,Middle order Batter,Trent Rockets (Men)
David Willey,Bowling Allrounder,Trent Rockets (Men)
Calvin Harrison,Bowling Allrounder,Trent Rockets (Men)
George Linde,Allrounder,Trent Rockets (Men)
Rehan Ahmed,Bowling Allrounder,Trent Rockets (Men)
Marcus Stoinis,Batting Allrounder,Trent Rockets (Men)
Sam Cook,Bowler,Trent Rockets (Men)
Lockie Ferguson,Bowler,Trent Rockets (Men)
Akeal Hosein,Bowler,Trent Rockets (Men)
Callum Parkinson,Bowler,Trent Rockets (Men)
Dillon Pennington,Bowler,Trent Rockets (Men)
Ben Sanderson,Bowler,Trent Rockets (Men)
John Turner,Bowler,Trent Rockets (Men)
Tom Abell,Middle order Batter,Welsh Fire (Men)
Jonny Bairstow,Wicketkeeper Batter,Welsh Fire (Men)
Stephen Eskinazi,Top order Batter,Welsh Fire (Men)
Tom Kohler-Cadmore,Wicketkeeper Batter,Welsh Fire (Men)
Steven Smith,Top order Batter,Welsh Fire (Men)
Luke Wells,Top order Batter,Welsh Fire (Men)
Chris Green,Bowling Allrounder,Welsh Fire (Men)
Ben Kellaway,Batting Allrounder,Welsh Fire (Men)
Paul Walter,Allrounder,Welsh Fire (Men)
Saif Zaib,Batting Allrounder,Welsh Fire (Men)
Chris Woakes,Allrounder,Welsh Fire (Men)
Mason Crane,Bowler,Welsh Fire (Men)
Ajeet Singh Dale,Bowler,Welsh Fire (Men)
Matt Henry,Bowler,Welsh Fire (Men)
Josh Hull,Bowler,Welsh Fire (Men)
Riley Meredith,Bowler,Welsh Fire (Men)
David Payne,Bowler,Welsh Fire (Men)
