Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Royal Challengers Bengaluru,England,Liam Livingstone,Batting Allrounder,7385,103,28.18,2,143,17-Apr,25.76,0,126,0,2.42,144.4
Royal Challengers Bengaluru,India,Mohit Rathee,Allrounder,100,34,14.28,0,9,16-Feb,39.22,0,4,0,-24.93,50
Royal Challengers Bengaluru,India,Krunal Pandya,Allrounder,2954,86,23.82,0,162,15-Apr,30.01,0,82,0,-6.18,131.1
Royal Challengers Bengaluru,West Indies,Romario Shepherd,Bowling Allrounder,2186,73*,23.25,0,189,13-Apr,26.12,0,46,0,-2.86,155.5
Royal Challengers Bengaluru,England,Jacob Bethell,Batting Allrounder,1538,87,24.03,0,18,5-Feb,26.5,0,44,0,-2.46,141
Royal Challengers Bengaluru,India,Abhinandan Singh,Bowler,4857,83,25.69,0,80,29-Apr,24.86,0,53,0,0.83,0
Royal Challengers Bengaluru,Australia,Josh Hazlewood,Bowler,71,13*,14.2,0,167,12-Apr,21.45,0,20,0,-7.25,89
Royal Challengers Bengaluru,India,Bhuvneshwar Kumar,Bowler,522,27,10.44,0,327,4-May,25.11,5,64,0,-14.67,88.7
Royal Challengers Bengaluru,Zimbabwe,Blessing Muzarabani,Bowler,74,9*,3.36,0,140,8-Mar,23.57,0,20,0,-20.2,60.2
Royal Challengers Bengaluru,India,Rasikh Salam,Bowler,75,10*,8.33,0,45,Jun-31,23.13,1,7,0,-14.79,95.7
Royal Challengers Bengaluru,India,Suyash Sharma,Bowler,6,6*,-,0,41,13-May,28.29,1,4,0,-,
Royal Challengers Bengaluru,India,Swapnil Singh,Bowler,988,52,22.45,0,73,19-Jun,25.63,1,32,0,-3.17,129
Royal Challengers Bengaluru,Sri Lanka,Nuwan Thushara,Bowler,,,,,,,,,,,,65.1
Royal Challengers Bengaluru,India,Yash Dayal,Bowler,14,4*,3.5,0,66,20-Mar,30.77,0,9,0,-27.27,50
Royal Challengers Bengaluru,South Africa,Lungi Ngidi,Bowler,80,13*,6.66,0,190,May-39,21.34,1,31,0,-14.68,77.5
Sunrisers Hyderabad,Australia,Travis Head,Top order Batter,4380,102,30.62,2,22,16-Mar,29.95,0,44,0,0.67,148.6
Sunrisers Hyderabad,India,Ishan Kishan,Wicketkeeper Batter,5270,113*,28.79,4,0,-,-,0,114,14,-,134.6
Sunrisers Hyderabad,South Africa,Heinrich Klaasen,Wicketkeeper Batter,5927,105*,31.19,3,1,12-Jan,68,0,127,34,-36.8,155.2
Sunrisers Hyderabad,India,Sachin Baby,Batter,2026,79,29.79,0,8,4-Feb,32.62,0,43,0,-2.83,130
Sunrisers Hyderabad,India,Aniket Verma,Batter,2178,,,,,30-Apr,,0,,,,166.2
Sunrisers Hyderabad,India,Ravichandran Smaran,Batter,1233,50,14.5,0,317,8-Apr,26.94,0,79,0,-12.44,0
Sunrisers Hyderabad,India,Abhishek Sharma,Batting Allrounder,4348,141,32.2,7,47,7-Mar,27.72,0,60,0,4.48,170.3
Sunrisers Hyderabad,India,Harsh Dubey,Bowling Allrounder,19,18,4.75,0,14,Mar-34,29.28,0,4,0,-24.53,
Sunrisers Hyderabad,India,Abhinav Manohar,Batting Allrounder,790,70*,28.21,0,-,-,-,-,28,0,-,136.7
Sunrisers Hyderabad,Sri Lanka,Kamindu Mendis,Allrounder,2279,99*,27.13,0,24,25-Mar,48.58,0,40,0,-21.45,125
Sunrisers Hyderabad,India,Nitish Kumar Reddy,Batting Allrounder,667,76*,29,0,8,17-Feb,44.12,0,17,0,-15.12,138.6
Sunrisers Hyderabad,India,Atharva Taide,Batting Allrounder,1492,97,30.44,0,11,Feb-00,15.18,0,26,0,15.26,139.7
Sunrisers Hyderabad,England,Brydon Carse,Bowling Allrounder,792,58,17.21,0,57,23-Mar,35.66,0,35,0,-18.44,139.4
Sunrisers Hyderabad,South Africa,Wiaan Mulder,Allrounder,2181,83*,26.92,0,67,14-Apr,29.2,0,58,0,-2.28,131.1
Sunrisers Hyderabad,Australia,Pat Cummins,Bowler,1001,66*,17.56,0,192,16-Apr,27.33,0,45,0,-9.77,139.2
Sunrisers Hyderabad,India,Rahul Chahar,Bowler,241,25*,9.64,0,136,14-May,26.12,1,44,0,-16.48,102.7
Sunrisers Hyderabad,Sri Lanka,Eshan Malinga,Bowler,,,,,,,,,,,,109.5
Sunrisers Hyderabad,India,Mohammed Shami,Bowler,134,32*,6.38,0,210,11-Apr,25.09,0,33,0,-18.71,103.4
Sunrisers Hyderabad,India,Harshal Patel,Bowler,1289,82,15.71,0,260,12-May,23.37,2,47,0,-7.65,124.6
Sunrisers Hyderabad,India,Simarjeet Singh,Bowler,12,3*,3,0,44,16-Mar,23.22,0,8,0,-20.22,66.7
Sunrisers Hyderabad,India,Jaydev Unadkat,Bowler,,,,,,,,,,,,117.9
Sunrisers Hyderabad,India,Zeeshan Ansari,Bowler,-,-,-,-,6,Mar-42,60.83,0,5,0,-,
Sunrisers Hyderabad,Australia,Adam Zampa,Bowler,,,,,,,,,,,,86.5
