Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Delhi Capitals,India,Mohit Sharma,Bowler,169,21*,7.04,0,167,10-May,28.65,1,39,0,-21.61,95.4
Delhi Capitals,India,Tripurana Vijay,Bowler,46,23,11.5,0,12,8-Apr,15.5,0,6,0,-3.99,86.7
Delhi Capitals,Australia,Mitchell Starc,Bowler,225,29,9,0,207,May-35,20.96,1,57,0,-11.96,94.5
Gujarat Titans,India,Shubman Gill,Top order Batter,5248,129,37.21,6,-,-,-,-,58,0,-,139.4
Gujarat Titans,India,Anuj Rawat,Wicketkeeper Batter,1259,88*,25.69,0,0,-,-,0,62,11,-,126.5
Gujarat Titans,India,Kumar Kushagra,Wicketkeeper Batter,254,55*,14.94,0,-,-,-,-,14,3,-,37.5
Gujarat Titans,Sri Lanka,Kusal Mendis,Wicketkeeper Batter,5101,105*,29.83,2,0,-,-,0,84,23,-,135.4
Gujarat Titans,West Indies,Sherfane Rutherford,Middle order Batter,3610,86,23.59,0,13,19-Mar,38.53,0,70,0,-14.94,138.4
Gujarat Titans,India,Sai Sudharsan,Top order Batter,2271,108*,43.67,2,-,-,-,-,16,0,-,145.3
Gujarat Titans,India,M Shahrukh Khan,Batter,1371,58,20.16,0,8,19-Feb,32.5,0,45,0,-12.33,155
Gujarat Titans,England,Jos Buttler,Wicketkeeper Batter,13507,124,35.63,8,-,-,-,-,288,49,-,146.9
Gujarat Titans,Afghanistan,Rashid Khan,Bowling Allrounder,2789,79*,13.87,0,678,17-Jun,18.39,4,175,0,-4.51,142.4
Gujarat Titans,Afghanistan,Karim Janat,Batting Allrounder,2817,120,22.71,2,125,11-May,28.82,1,43,0,-6.1,132
Gujarat Titans,India,Mahipal Lomror,Allrounder,2137,78*,26.38,0,11,Feb-31,55.81,0,44,0,-29.43,139.4
Gujarat Titans,Sri Lanka,Dasun Shanaka,Allrounder,4693,131*,26.36,3,100,16-Apr,25.64,0,91,0,0.72,132.4
Gujarat Titans,India,Nishant Sindhu,Allrounder,460,100*,24.21,1,17,15-Mar,19.17,0,10,0,5.03,127.1
Gujarat Titans,India,Manav Suthar,Bowling Allrounder,36,16,6,0,10,10-Feb,30.1,0,2,0,-24.09,33.3
Gujarat Titans,India,Rahul Tewatia,Bowling Allrounder,2107,59*,26.01,0,69,4-Mar,26.34,0,68,0,-0.33,137.3
Gujarat Titans,India,Washington Sundar,Bowling Allrounder,1428,54*,19.56,0,115,10-Mar,28.9,0,46,0,-9.34,128.9
Gujarat Titans,New Zealand,Glenn Phillips,Allrounder,6810,116*,31.82,5,27,6-Mar,31.92,0,146,10,-0.1,140
Gujarat Titans,India,Arshad Khan,Bowler,182,58*,20.22,0,19,5-Mar,30.78,0,7,0,-10.56,128.4
Gujarat Titans,South Africa,Gerald Coetzee,Bowler,374,37,8.9,0,97,19-Apr,23.53,0,19,0,-14.63,104.4
Gujarat Titans,India,Gurnoor Brar,Bowler,3,3,3,0,0,-,-,0,2,0,-,
Gujarat Titans,India,Kulwant Khejroliya,Bowler,19,18*,-,0,27,26-Apr,26.22,0,4,0,-,
Gujarat Titans,India,Mohammed Siraj,Bowler,149,14*,8.27,0,176,17-Apr,26.43,0,49,0,-18.15,90.6
Gujarat Titans,India,Prasidh Krishna,Bowler,10,4*,2.5,0,106,30-Apr,28.99,0,21,0,-26.49,34.5
Gujarat Titans,South Africa,Kagiso Rabada,Bowler,502,44,10.91,0,284,21-Apr,23.69,0,76,0,-12.77,109.2
Gujarat Titans,India,Sai Kishore,Bowler,96,21*,6.4,0,99,6-Apr,18.94,0,28,0,-12.54,123.7
Gujarat Titans,India,Ishant Sharma,Bowler,67,10*,8.37,0,155,12-May,31.79,1,33,0,-23.41,83.3
Gujarat Titans,India,Jayant Yadav,Bowler,388,39,14.92,0,52,22-Apr,32.63,0,40,0,-17.71,104.9
Kolkata Knight Riders,India,Ajinkya Rahane,Top order Batter,7242,105*,29.92,2,1,5-Jan,5,0,120,0,24.92,125
Kolkata Knight Riders,South Africa,Quinton de Kock,Wicketkeeper Batter,11422,140*,31.12,7,-,-,-,-,286,57,-,137.7
Kolkata Knight Riders,India,Manish Pandey,Top order Batter,7100,129*,31.69,3,10,27-Apr,21.2,0,152,2,10.49,122
Kolkata Knight Riders,India,Angkrish Raghuvanshi,Top order Batter,685,54,27.4,0,-,-,-,-,14,0,-,137.2
Kolkata Knight Riders,Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,5686,121*,24.72,2,1,2-Jan,11,0,127,17,13.72,142.5
Kolkata Knight Riders,India,Ramandeep Singh,Middle order Batter,687,64,22.16,0,22,20-Mar,17.27,0,39,0,4.88,168
Kolkata Knight Riders,India,Rinku Singh,Middle order Batter,3225,79,34.3,0,5,3-Feb,24.8,0,97,0,9.5,150.9
Kolkata Knight Riders,India,Luvnith Sisodia,Wicketkeeper Batter,124,38,13.77,0,-,-,-,-,8,5,-,150
Kolkata Knight Riders,West Indies,Rovman Powell,Middle order Batter,5338,107,24.94,1,26,21-Feb,45.84,0,149,0,-20.9,141.4
Kolkata Knight Riders,India,Venkatesh Iyer,Allrounder,3038,104,35.32,1,49,20-Jun,25.18,1,52,0,10.14,138.9
Kolkata Knight Riders,West Indies,Sunil Narine,Bowling Allrounder,4676,109,15.53,1,599,19-May,22.09,1,128,0,-6.55,148.8
Kolkata Knight Riders,India,Anukul Roy,Allrounder,657,91,20.53,0,38,17-Apr,33.1,0,30,0,-12.57,152.7
Kolkata Knight Riders,West Indies,Andre Russell,Allrounder,9449,121*,26.24,2,497,15-May,25.85,1,238,0,0.39,167.6
Kolkata Knight Riders,England,Moeen Ali,Batting Allrounder,7460,121*,23.6,3,263,May-34,24.82,1,124,0,-1.21,139.7
Kolkata Knight Riders,India,Vaibhav Arora,Bowler,27,11,3.85,0,66,16-Mar,27.5,0,20,0,-23.64,42.3
Kolkata Knight Riders,India,Harshit Rana,Bowler,72,34,12,0,48,24-Mar,25.45,0,13,0,-13.45,112.5
Kolkata Knight Riders,Australia,Spencer Johnson,Bowler,90,27,8.18,0,85,26-May,22.94,1,19,0,-14.75,111
Kolkata Knight Riders,India,Mayank Markande,Bowler,106,33*,15.14,0,92,4-Apr,24.72,0,19,0,-9.58,105.9
Kolkata Knight Riders,South Africa,Anrich Nortje,Bowler,185,25,8.04,0,181,7-Apr,22.9,0,38,0,-14.85,95
Kolkata Knight Riders,India,Chetan Sakariya,Bowler,25,7,3.57,0,65,11-May,20.76,1,13,0,-17.19,62.5
Kolkata Knight Riders,India,Varun Chakravarthy,Bowler,76,24,6.33,0,162,17-May,21.26,3,23,0,-14.93,81.9
Kolkata Knight Riders,India,Umran Malik,Bowler,46,19*,11.5,0,65,25-May,24.98,1,12,0,-13.48,155.6
Kolkata Knight Riders,India,Shivam Shukla,,,,,,,,,,,,,33.3
Lucknow Super Giants,India,Rishabh Pant,Wicketkeeper Batter,5291,128*,31.3,3,-,-,-,-,136,37,-,141.8
Lucknow Super Giants,India,Abdul Samad,Batter,1642,76*,26.06,0,4,9-Jan,54.75,0,53,0,-28.68,146.4
Lucknow Super Giants,India,Ayush Badoni,Batter,1582,80*,29.84,0,11,4-Feb,24,0,34,0,5.84,135.8
Lucknow Super Giants,South Africa,Matthew Breetzke,Batter,3200,94,29.62,0,-,-,-,-,45,1,-,136.9
Lucknow Super Giants,India,Himmat Singh,Batter,917,77*,28.65,0,1,Jan-00,10,0,24,0,18.65,139.6
Lucknow Super Giants,India,Aryan Juyal,Wicketkeeper Batter,505,75,29.7,0,-,-,-,-,9,2,-,85.5
Lucknow Super Giants,South Africa,Aiden Markram,Middle order Batter,4950,100,30.74,1,47,21-Mar,31.25,0,107,0,-0.5,136.8
Lucknow Super Giants,South Africa,David Miller,Middle order Batter,11476,120*,35.09,4,0,-,-,0,321,1,-,137.5
