Player,Span,Team,Record Type
KP Pietersen,2009-2010,Chennai Super Kings,Batting
LA Pomersbach,2011-2011,Chennai Super Kings,Batting
SS Prabhudessai,2022-2024,Chennai Super Kings,Batting
CA Pujara,2011-2013,Chennai Super Kings,Batting
KL Rahul,2013-2016,Chennai Super Kings,Batting
R Rampaul,2013-2014,Chennai Super Kings,Batting
S Rana,2014-2014,Chennai Super Kings,Batting
Rasikh Salam,2025-2025,Chennai Super Kings,Batting
P Ray Barman,2019-2019,Chennai Super Kings,Batting
KW Richardson,2016-2021,Chennai Super Kings,Batting
RR Rossouw,2014-2015,Chennai Super Kings,Batting
SE Rutherford,2022-2022,Chennai Super Kings,Batting
JD Ryder,2009-2009,Chennai Super Kings,Batting
Sachin Baby,2016-2021,Chennai Super Kings,Batting
Shahbaz Ahmed,2020-2023,Chennai Super Kings,Batting
NA Saini,2019-2021,Chennai Super Kings,Batting
PD Salt,2025-2025,Chennai Super Kings,Batting
DJG Sammy,2015-2015,Chennai Super Kings,Batting
DR Sams,2021-2021,Chennai Super Kings,Batting
T Shamsi,2016-2016,Chennai Super Kings,Batting
H Sharma,2023-2024,Chennai Super Kings,Batting
JM Sharma,2025-2025,Chennai Super Kings,Batting
KV Sharma,2009-2024,Chennai Super Kings,Batting
R Shepherd,2025-2025,Chennai Super Kings,Batting
RP Singh,2013-2013,Chennai Super Kings,Batting
TG Southee,2018-2019,Chennai Super Kings,Batting
S Sriram,2010-2010,Chennai Super Kings,Batting
B Stanlake,2017-2017,Chennai Super Kings,Batting
MA Starc,2014-2015,Chennai Super Kings,Batting
DW Steyn,2008-2020,Chennai Super Kings,Batting
MP Stoinis,2019-2019,Chennai Super Kings,Batting
Suyash Sharma,2025-2025,Chennai Super Kings,Batting
Swapnil Singh,2024-2024,Chennai Super Kings,Batting
J Syed Mohammad,2011-2013,Chennai Super Kings,Batting
YV Takawale,2014-2014,Chennai Super Kings,Batting
LRPL Taylor,2008-2010,Chennai Super Kings,Batting
N Thushara,2025-2025,Chennai Super Kings,Batting
SS Tiwary,2011-2013,Chennai Super Kings,Batting
RJW Topley,2023-2024,Chennai Super Kings,Batting
I Udana,2020-2020,Chennai Super Kings,Batting
JD Unadkat,2013-2013,Chennai Super Kings,Batting
RV Uthappa,2009-2010,Chennai Super Kings,Batting
RE van der Merwe,2009-2010,Chennai Super Kings,Batting
JJ van der Wath,2011-2011,Chennai Super Kings,Batting
DL Vettori,2011-2012,Chennai Super Kings,Batting
R Vinay Kumar,2008-2013,Chennai Super Kings,Batting
Vishnu Vinod,2017-2017,Chennai Super Kings,Batting
M Vohra,2018-2018,Chennai Super Kings,Batting
V Vyshak,2023-2024,Chennai Super Kings,Batting
Washington Sundar,2018-2021,Chennai Super Kings,Batting
SR Watson,2016-2017,Chennai Super Kings,Batting
CL White,2008-2010,Chennai Super Kings,Batting
D Wiese,2015-2016,Chennai Super Kings,Batting
DJ Willey,2022-2023,Chennai Super Kings,Batting
CR Woakes,2018-2018,Chennai Super Kings,Batting
UT Yadav,2018-2020,Chennai Super Kings,Batting
Yash Dayal,2024-2025,Chennai Super Kings,Batting
Yuvraj Singh,2014-2014,Chennai Super Kings,Batting
A Zampa,2020-2020,Chennai Super Kings,Batting
VH Zol,2014-2014,Chennai Super Kings,Batting
VR Aaron,2014-2016,Chennai Super Kings,Bowling
SA Abbott,2015-2015,Chennai Super Kings,Bowling
Abdur Razzak,2008-2008,Chennai Super Kings,Bowling
AD Nath,2019-2019,Chennai Super Kings,Bowling
MA Agarwal,2011-2025,Chennai Super Kings,Bowling
AN Ahmed,2014-2015,Chennai Super Kings,Bowling
Akash Deep,2022-2024,Chennai Super Kings,Bowling
B Akhil,2008-2010,Chennai Super Kings,Bowling
MM Ali,2018-2020,Chennai Super Kings,Bowling
CJ Anderson,2018-2018,Chennai Super Kings,Bowling
Anuj Rawat,2022-2024,Chennai Super Kings,Bowling
KP Appanna,2009-2012,Chennai Super Kings,Bowling
S Aravind,2011-2017,Chennai Super Kings,Bowling
KB Arun Karthik,2011-2013,Chennai Super Kings,Bowling
J Arunkumar,2008-2008,Chennai Super Kings,Bowling
M Ashwin,2018-2018,Chennai Super Kings,Bowling
Avesh Khan,2017-2017,Chennai Super Kings,Bowling
S Badree,2017-2017,Chennai Super Kings,Bowling
JG Bethell,2025-2025,Chennai Super Kings,Bowling
MS Bhandage,2025-2025,Chennai Super Kings,Bowling
KS Bharat,2021-2021,Chennai Super Kings,Bowling
RR Bhatkal,2012-2012,Chennai Super Kings,Bowling
STR Binny,2016-2017,Chennai Super Kings,Bowling
R Bishnoi,2009-2009,Chennai Super Kings,Bowling
MS Bisla,2015-2015,Chennai Super Kings,Bowling
MV Boucher,2008-2010,Chennai Super Kings,Bowling
MG Bracewell,2023-2023,Chennai Super Kings,Bowling
YS Chahal,2014-2021,Chennai Super Kings,Bowling
S Chanderpaul,2008-2008,Chennai Super Kings,Bowling
SD Chauhan,2024-2024,Chennai Super Kings,Bowling
B Chipli,2008-2008,Chennai Super Kings,Bowling
A Choudhary,2017-2017,Chennai Super Kings,Bowling
