Player,Span,Team,Record Type
S Ladda,2011-2013,Deccan Chargers,Bowling
AB Agarkar,2008-2010,Deccan Chargers,Bowling
MM Ali,2025-2025,Deccan Chargers,Bowling
Aman Hakim Khan,2022-2022,Deccan Chargers,Bowling
Anureet Singh,2009-2009,Deccan Chargers,Bowling
VG Arora,2023-2025,Deccan Chargers,Bowling
Azhar Mahmood,2015-2015,Deccan Chargers,Bowling
L Balaji,2011-2013,Deccan Chargers,Bowling
SB Bangar,2009-2009,Deccan Chargers,Bowling
T Banton,2020-2020,Deccan Chargers,Bowling
R Bhatia,2011-2013,Deccan Chargers,Bowling
SW Billings,2022-2022,Deccan Chargers,Bowling
MS Bisla,2011-2014,Deccan Chargers,Bowling
SE Bond,2010-2010,Deccan Chargers,Bowling
J Botha,2015-2015,Deccan Chargers,Bowling
MV Boucher,2011-2011,Deccan Chargers,Bowling
TA Boult,2017-2017,Deccan Chargers,Bowling
CR Brathwaite,2019-2019,Deccan Chargers,Bowling
DM Bravo,2017-2017,Deccan Chargers,Bowling
KC Cariappa,2015-2019,Deccan Chargers,Bowling
PVD Chameera,2024-2024,Deccan Chargers,Bowling
PP Chawla,2014-2019,Deccan Chargers,Bowling
A Chopra,2008-2009,Deccan Chargers,Bowling
NM Coulter-Nile,2017-2017,Deccan Chargers,Bowling
PJ Cummins,2014-2022,Deccan Chargers,Bowling
TK Curran,2018-2018,Deccan Chargers,Bowling
DB Das,2008-2013,Deccan Chargers,Bowling
C de Grandhomme,2017-2017,Deccan Chargers,Bowling
Q de Kock,2025-2025,Deccan Chargers,Bowling
M de Lange,2012-2012,Deccan Chargers,Bowling
JL Denly,2019-2019,Deccan Chargers,Bowling
AB Dinda,2008-2010,Deccan Chargers,Bowling
P Dogra,2013-2013,Deccan Chargers,Bowling
LH Ferguson,2019-2023,Deccan Chargers,Bowling
AJ Finch,2022-2022,Deccan Chargers,Bowling
G Gambhir,2011-2017,Deccan Chargers,Bowling
SC Ganguly,2008-2010,Deccan Chargers,Bowling
RS Gavaskar,2010-2010,Deccan Chargers,Bowling
CH Gayle,2009-2010,Deccan Chargers,Bowling
AN Ghosh,2009-2009,Deccan Chargers,Bowling
SP Goswami,2011-2011,Deccan Chargers,Bowling
CJ Green,2020-2020,Deccan Chargers,Bowling
HF Gurney,2019-2019,Deccan Chargers,Bowling
BJ Haddin,2011-2011,Deccan Chargers,Bowling
Harbhajan Singh,2021-2021,Deccan Chargers,Bowling
Harpreet Singh,2010-2010,Deccan Chargers,Bowling
Harshit Rana,2022-2025,Deccan Chargers,Bowling
JW Hastings,2016-2016,Deccan Chargers,Bowling
MC Henriques,2009-2009,Deccan Chargers,Bowling
BJ Hodge,2008-2010,Deccan Chargers,Bowling
GB Hogg,2015-2016,Deccan Chargers,Bowling
JO Holder,2016-2016,Deccan Chargers,Bowling
DJ Hussey,2008-2010,Deccan Chargers,Bowling
B Indrajith,2022-2022,Deccan Chargers,Bowling
Iqbal Abdulla,2008-2013,Deccan Chargers,Bowling
SS Iyer,2022-2024,Deccan Chargers,Bowling
VR Iyer,2021-2025,Deccan Chargers,Bowling
SP Jackson,2017-2022,Deccan Chargers,Bowling
N Jagadeesan,2023-2023,Deccan Chargers,Bowling
IR Jaggi,2017-2017,Deccan Chargers,Bowling
MG Johnson,2018-2018,Deccan Chargers,Bowling
SH Johnson,2025-2025,Deccan Chargers,Bowling
JH Kallis,2011-2014,Deccan Chargers,Bowling
KD Karthik,2018-2021,Deccan Chargers,Bowling
M Kartik,2008-2010,Deccan Chargers,Bowling
K Khejroliya,2023-2023,Deccan Chargers,Bowling
Kuldeep Yadav,2016-2020,Deccan Chargers,Bowling
CK Langeveldt,2009-2010,Deccan Chargers,Bowling
B Lee,2011-2013,Deccan Chargers,Bowling
Litton Das,2023-2023,Deccan Chargers,Bowling
CA Lynn,2014-2019,Deccan Chargers,Bowling
BB McCullum,2008-2013,Deccan Chargers,Bowling
R McLaren,2013-2013,Deccan Chargers,Bowling
Mandeep Singh,2010-2023,Deccan Chargers,Bowling
Mashrafe Mortaza,2009-2009,Deccan Chargers,Bowling
AD Mathews,2009-2010,Deccan Chargers,Bowling
BAW Mendis,2008-2010,Deccan Chargers,Bowling
Mohammad Hafeez,2008-2008,Deccan Chargers,Bowling
Mohammed Shami,2013-2013,Deccan Chargers,Bowling
EJG Morgan,2011-2021,Deccan Chargers,Bowling
M Morkel,2014-2016,Deccan Chargers,Bowling
C Munro,2016-2016,Deccan Chargers,Bowling
KL Nagarkoti,2020-2021,Deccan Chargers,Bowling
NS Naik,2019-2020,Deccan Chargers,Bowling
SP Narine,2012-2025,Deccan Chargers,Bowling
S Narwal,2013-2013,Deccan Chargers,Bowling
A Nortje,2025-2025,Deccan Chargers,Bowling
MK Pandey,2014-2025,Deccan Chargers,Bowling
MB Parmar,2010-2010,Deccan Chargers,Bowling
YK Pathan,2011-2017,Deccan Chargers,Bowling
RT Ponting,2008-2008,Deccan Chargers,Bowling
R Powell,2025-2025,Deccan Chargers,Bowling
M Prasidh Krishna,2018-2021,Deccan Chargers,Bowling
Y Prithvi Raj,2019-2019,Deccan Chargers,Bowling
CA Pujara,2010-2010,Deccan Chargers,Bowling
A Raghuvanshi,2024-2025,Deccan Chargers,Bowling
AM Rahane,2022-2025,Deccan Chargers,Bowling
Rahmanullah Gurbaz,2023-2025,Deccan Chargers,Bowling
AS Rajpoot,2016-2017,Deccan Chargers,Bowling
Ramandeep Singh,2024-2025,Deccan Chargers,Bowling
N Rana,2018-2024,Deccan Chargers,Bowling
Rasikh Salam,2022-2022,Deccan Chargers,Bowling
AS Roy,2022-2025,Deccan Chargers,Bowling
JJ Roy,2023-2023,Deccan Chargers,Bowling
AD Russell,2014-2025,Deccan Chargers,Bowling
WP Saha,2008-2010,Deccan Chargers,Bowling
C Sakariya,2025-2025,Deccan Chargers,Bowling
Salman Butt,2008-2008,Deccan Chargers,Bowling
PD Salt,2024-2024,Deccan Chargers,Bowling
S Sandeep Warrier,2019-2021,Deccan Chargers,Bowling
PJ Sangwan,2012-2013,Deccan Chargers,Bowling
SS Sarkar,2009-2009,Deccan Chargers,Bowling
R Sathish,2016-2016,Deccan Chargers,Bowling
JPR Scantlebury-Searles,2018-2018,Deccan Chargers,Bowling
TL Seifert,2021-2021,Deccan Chargers,Bowling
SMSM Senanayake,2013-2013,Deccan Chargers,Bowling
OA Shah,2010-2010,Deccan Chargers,Bowling
SS Shaikh,2009-2009,Deccan Chargers,Bowling
Shakib Al Hasan,2011-2021,Deccan Chargers,Bowling
I Sharma,2008-2010,Deccan Chargers,Bowling
Shivam Mavi,2018-2022,Deccan Chargers,Bowling
Shoaib Akhtar,2008-2008,Deccan Chargers,Bowling
Shubman Gill,2018-2021,Deccan Chargers,Bowling
LR Shukla,2008-2013,Deccan Chargers,Bowling
RK Singh,2018-2025,Deccan Chargers,Bowling
TG Southee,2021-2023,Deccan Chargers,Bowling
MA Starc,2024-2024,Deccan Chargers,Bowling
Suyash Sharma,2023-2024,Deccan Chargers,Bowling
T Taibu,2008-2008,Deccan Chargers,Bowling
RN ten Doeschate,2011-2015,Deccan Chargers,Bowling
SN Thakur,2023-2023,Deccan Chargers,Bowling
MK Tiwary,2010-2013,Deccan Chargers,Bowling
A Tomar,2022-2022,Deccan Chargers,Bowling
RA Tripathi,2020-2021,Deccan Chargers,Bowling
Umar Gul,2008-2008,Deccan Chargers,Bowling
JD Unadkat,2010-2016,Deccan Chargers,Bowling
RV Uthappa,2014-2019,Deccan Chargers,Bowling
MN van Wyk,2009-2009,Deccan Chargers,Bowling
CV Varun,2020-2025,Deccan Chargers,Bowling
R Vinay Kumar,2014-2018,Deccan Chargers,Bowling
D Wiese,2023-2023,Deccan Chargers,Bowling
CR Woakes,2017-2017,Deccan Chargers,Bowling
SA Yadav,2014-2017,Deccan Chargers,Bowling
UT Yadav,2014-2023,Deccan Chargers,Bowling
Yashpal Singh,2009-2009,Deccan Chargers,Bowling
VR Aaron,2017-2017,Delhi Daredevils,Batting
KJ Abbott,2016-2016,Delhi Daredevils,Batting
YA Abdulla,2009-2010,Delhi Daredevils,Batting
L Ablish,2010-2011,Delhi Daredevils,Batting
AD Nath,2018-2018,Delhi Daredevils,Batting
MA Agarwal,2018-2022,Delhi Daredevils,Batting
FA Allen,2021-2021,Delhi Daredevils,Batting
HM Amla,2016-2017,Delhi Daredevils,Batting
Anureet Singh,2015-2017,Delhi Daredevils,Batting
VG Arora,2022-2022,Delhi Daredevils,Batting
Arshdeep Singh,2019-2025,Delhi Daredevils,Batting
P Arya,2025-2025,Delhi Daredevils,Batting
M Ashwin,2019-2021,Delhi Daredevils,Batting
R Ashwin,2018-2019,Delhi Daredevils,Batting
P Awana,2012-2014,Delhi Daredevils,Batting
Azhar Mahmood,2012-2013,Delhi Daredevils,Batting
Azmatullah Omarzai,2025-2025,Delhi Daredevils,Batting
GJ Bailey,2014-2015,Delhi Daredevils,Batting
JM Bairstow,2022-2024,Delhi Daredevils,Batting
L Balaji,2014-2014,Delhi Daredevils,Batting
AB Barath,2010-2010,Delhi Daredevils,Batting
XC Bartlett,2025-2025,Delhi Daredevils,Batting
RA Bawa,2022-2022,Delhi Daredevils,Batting
F Behardien,2016-2016,Delhi Daredevils,Batting
BA Bhatt,2011-2013,Delhi Daredevils,Batting
Bipul Sharma,2010-2013,Delhi Daredevils,Batting
MS Bisla,2010-2010,Delhi Daredevils,Batting
RS Bopara,2009-2010,Delhi Daredevils,Batting
RR Bose,2009-2009,Delhi Daredevils,Batting
KC Cariappa,2016-2017,Delhi Daredevils,Batting
YS Chahal,2025-2025,Delhi Daredevils,Batting
RD Chahar,2022-2024,Delhi Daredevils,Batting
PP Chawla,2008-2013,Delhi Daredevils,Batting
SD Chitnis,2011-2012,Delhi Daredevils,Batting
SS Cottrell,2020-2020,Delhi Daredevils,Batting
SM Curran,2019-2024,Delhi Daredevils,Batting
P Dharmani,2008-2008,Delhi Daredevils,Batting
R Dhawan,2014-2024,Delhi Daredevils,Batting
S Dhawan,2022-2024,Delhi Daredevils,Batting
P Dogra,2012-2012,Delhi Daredevils,Batting
P Dubey,2025-2025,Delhi Daredevils,Batting
NT Ellis,2021-2024,Delhi Daredevils,Batting
JP Faulkner,2012-2012,Delhi Daredevils,Batting
LH Ferguson,2025-2025,Delhi Daredevils,Batting
AJ Finch,2018-2018,Delhi Daredevils,Batting
Gagandeep Singh,2008-2008,Delhi Daredevils,Batting
CH Gayle,2018-2021,Delhi Daredevils,Batting
AC Gilchrist,2011-2013,Delhi Daredevils,Batting
K Goel,2008-2010,Delhi Daredevils,Batting
MS Gony,2013-2013,Delhi Daredevils,Batting
K Gowtham,2020-2020,Delhi Daredevils,Batting
MJ Guptill,2017-2017,Delhi Daredevils,Batting
Gurkeerat Singh,2012-2017,Delhi Daredevils,Batting
Gurnoor Brar,2023-2023,Delhi Daredevils,Batting
Harmeet Singh,2012-2013,Delhi Daredevils,Batting
Harpreet Brar,2019-2025,Delhi Daredevils,Batting
Harpreet Singh,2023-2024,Delhi Daredevils,Batting
RJ Harris,2011-2013,Delhi Daredevils,Batting
BE Hendricks,2014-2015,Delhi Daredevils,Batting
MC Henriques,2021-2021,Delhi Daredevils,Batting
MJ Henry,2017-2017,Delhi Daredevils,Batting
DJ Hooda,2020-2021,Delhi Daredevils,Batting
JR Hopes,2008-2008,Delhi Daredevils,Batting
DJ Hussey,2011-2013,Delhi Daredevils,Batting
JP Inglis,2025-2025,Delhi Daredevils,Batting
SS Iyer,2025-2025,Delhi Daredevils,Batting
KA Jamieson,2025-2025,Delhi Daredevils,Batting
M Jansen,2025-2025,Delhi Daredevils,Batting
DPMD Jayawardene,2008-2010,Delhi Daredevils,Batting
MG Johnson,2014-2016,Delhi Daredevils,Batting
CJ Jordan,2020-2021,Delhi Daredevils,Batting
M Kaif,2010-2010,Delhi Daredevils,Batting
Karanveer Singh,2014-2015,Delhi Daredevils,Batting
KD Karthik,2011-2011,Delhi Daredevils,Batting
M Kartik,2014-2014,Delhi Daredevils,Batting
SM Katich,2008-2009,Delhi Daredevils,Batting
U Kaul,2008-2008,Delhi Daredevils,Batting
V Kaverappa,2024-2024,Delhi Daredevils,Batting
SN Khan,2019-2021,Delhi Daredevils,Batting
T Kohli,2009-2009,Delhi Daredevils,Batting
P Kumar,2011-2013,Delhi Daredevils,Batting
B Lee,2008-2010,Delhi Daredevils,Batting
LS Livingstone,2022-2024,Delhi Daredevils,Batting
R McLaren,2011-2011,Delhi Daredevils,Batting
DJ Malan,2021-2021,Delhi Daredevils,Batting
VS Malik,2009-2011,Delhi Daredevils,Batting
Mandeep Singh,2011-2021,Delhi Daredevils,Batting
PN Mankad,2022-2022,Delhi Daredevils,Batting
AK Markram,2021-2021,Delhi Daredevils,Batting
SE Marsh,2008-2017,Delhi Daredevils,Batting
AD Mascarenhas,2012-2013,Delhi Daredevils,Batting
GJ Maxwell,2014-2025,Delhi Daredevils,Batting
RP Meredith,2021-2021,Delhi Daredevils,Batting
DA Miller,2012-2019,Delhi Daredevils,Batting
Mohammed Shami,2019-2021,Delhi Daredevils,Batting
Mohit Rathee,2023-2023,Delhi Daredevils,Batting
EJG Morgan,2017-2017,Delhi Daredevils,Batting
WA Mota,2008-2009,Delhi Daredevils,Batting
Mujeeb Ur Rahman,2018-2020,Delhi Daredevils,Batting
Musheer Khan,2025-2025,Delhi Daredevils,Batting
NS Naik,2016-2016,Delhi Daredevils,Batting
KK Nair,2018-2020,Delhi Daredevils,Batting
T Natarajan,2017-2017,Delhi Daredevils,Batting
AM Nayar,2011-2012,Delhi Daredevils,Batting
JDS Neesham,2020-2020,Delhi Daredevils,Batting
MG Neser,2013-2013,Delhi Daredevils,Batting
MJ Owen,2025-2025,Delhi Daredevils,Batting
AR Patel,2014-2018,Delhi Daredevils,Batting
HV Patel,2024-2024,Delhi Daredevils,Batting
IK Pathan,2008-2010,Delhi Daredevils,Batting
NLTC Perera,2015-2015,Delhi Daredevils,Batting
LA Pomersbach,2008-2013,Delhi Daredevils,Batting
N Pooran,2019-2021,Delhi Daredevils,Batting
IC Porel,2021-2021,Delhi Daredevils,Batting
RR Powar,2008-2012,Delhi Daredevils,Batting
Prabhsimran Singh,2019-2025,Delhi Daredevils,Batting
CA Pujara,2014-2014,Delhi Daredevils,Batting
K Rabada,2022-2024,Delhi Daredevils,Batting
KL Rahul,2018-2021,Delhi Daredevils,Batting
PBB Rajapaksa,2022-2023,Delhi Daredevils,Batting
AS Rajpoot,2018-2019,Delhi Daredevils,Batting
AU Rashid,2021-2021,Delhi Daredevils,Batting
Ravi Bishnoi,2020-2021,Delhi Daredevils,Batting
JA Richardson,2021-2021,Delhi Daredevils,Batting
NJ Rimmington,2011-2011,Delhi Daredevils,Batting
RR Rossouw,2024-2024,Delhi Daredevils,Batting
WP Saha,2014-2017,Delhi Daredevils,Batting
P Sahu,2016-2016,Delhi Daredevils,Batting
N Saini,2012-2012,Delhi Daredevils,Batting
Sandeep Sharma,2013-2022,Delhi Daredevils,Batting
KC Sangakkara,2008-2010,Delhi Daredevils,Batting
RR Sarwan,2008-2008,Delhi Daredevils,Batting
R Sathish,2013-2013,Delhi Daredevils,Batting
Jalaj S Saxena,2021-2021,Delhi Daredevils,Batting
V Sehwag,2014-2015,Delhi Daredevils,Batting
M Shahrukh Khan,2021-2023,Delhi Daredevils,Batting
AR Sharma,2024-2024,Delhi Daredevils,Batting
I Sharma,2017-2017,Delhi Daredevils,Batting
JM Sharma,2022-2024,Delhi Daredevils,Batting
MM Sharma,2016-2018,Delhi Daredevils,Batting
Shashank Singh,2024-2025,Delhi Daredevils,Batting
Shivam Sharma,2014-2015,Delhi Daredevils,Batting
Shivam Singh,2024-2024,Delhi Daredevils,Batting
MW Short,2023-2023,Delhi Daredevils,Batting
Sikandar Raza,2023-2024,Delhi Daredevils,Batting
VRV Singh,2008-2010,Delhi Daredevils,Batting
OF Smith,2022-2022,Delhi Daredevils,Batting
RS Sodhi,2010-2010,Delhi Daredevils,Batting
S Sohal,2008-2010,Delhi Daredevils,Batting
BB Sran,2018-2018,Delhi Daredevils,Batting
S Sreesanth,2008-2010,Delhi Daredevils,Batting
SJ Srivastava,2010-2011,Delhi Daredevils,Batting
TM Srivastava,2008-2009,Delhi Daredevils,Batting
MP Stoinis,2016-2025,Delhi Daredevils,Batting
Sunny Singh,2011-2011,Delhi Daredevils,Batting
Suryansh Shedge,2025-2025,Delhi Daredevils,Batting
Swapnil Singh,2016-2017,Delhi Daredevils,Batting
A Taide,2023-2024,Delhi Daredevils,Batting
R Tewatia,2017-2017,Delhi Daredevils,Batting
SN Thakur,2015-2015,Delhi Daredevils,Batting
Yash Thakur,2025-2025,Delhi Daredevils,Batting
J Theron,2010-2010,Delhi Daredevils,Batting
MK Tiwary,2018-2018,Delhi Daredevils,Batting
AJ Tye,2018-2019,Delhi Daredevils,Batting
PC Valthaty,2011-2013,Delhi Daredevils,Batting
CV Varun,2019-2019,Delhi Daredevils,Batting
M Vijay,2015-2016,Delhi Daredevils,Batting
GC Viljoen,2019-2019,Delhi Daredevils,Batting
M Vohra,2013-2017,Delhi Daredevils,Batting
V Vyshak,2025-2025,Delhi Daredevils,Batting
N Wadhera,2025-2025,Delhi Daredevils,Batting
Yuvraj Singh,2008-2018,Delhi Daredevils,Batting
VR Aaron,2017-2017,Delhi Daredevils,Bowling
KJ Abbott,2016-2016,Delhi Daredevils,Bowling
YA Abdulla,2009-2010,Delhi Daredevils,Bowling
L Ablish,2010-2011,Delhi Daredevils,Bowling
AD Nath,2018-2018,Delhi Daredevils,Bowling
MA Agarwal,2018-2022,Delhi Daredevils,Bowling
FA Allen,2021-2021,Delhi Daredevils,Bowling
HM Amla,2016-2017,Delhi Daredevils,Bowling
Anureet Singh,2015-2017,Delhi Daredevils,Bowling
VG Arora,2022-2022,Delhi Daredevils,Bowling
Arshdeep Singh,2019-2025,Delhi Daredevils,Bowling
P Arya,2025-2025,Delhi Daredevils,Bowling
M Ashwin,2019-2021,Delhi Daredevils,Bowling
R Ashwin,2018-2019,Delhi Daredevils,Bowling
P Awana,2012-2014,Delhi Daredevils,Bowling
Azhar Mahmood,2012-2013,Delhi Daredevils,Bowling
Azmatullah Omarzai,2025-2025,Delhi Daredevils,Bowling
GJ Bailey,2014-2015,Delhi Daredevils,Bowling
JM Bairstow,2022-2024,Delhi Daredevils,Bowling
L Balaji,2014-2014,Delhi Daredevils,Bowling
AB Barath,2010-2010,Delhi Daredevils,Bowling
XC Bartlett,2025-2025,Delhi Daredevils,Bowling
RA Bawa,2022-2022,Delhi Daredevils,Bowling
F Behardien,2016-2016,Delhi Daredevils,Bowling
BA Bhatt,2011-2013,Delhi Daredevils,Bowling
Bipul Sharma,2010-2013,Delhi Daredevils,Bowling
MS Bisla,2010-2010,Delhi Daredevils,Bowling
RS Bopara,2009-2010,Delhi Daredevils,Bowling
RR Bose,2009-2009,Delhi Daredevils,Bowling
KC Cariappa,2016-2017,Delhi Daredevils,Bowling
YS Chahal,2025-2025,Delhi Daredevils,Bowling
RD Chahar,2022-2024,Delhi Daredevils,Bowling
PP Chawla,2008-2013,Delhi Daredevils,Bowling
SD Chitnis,2011-2012,Delhi Daredevils,Bowling
SS Cottrell,2020-2020,Delhi Daredevils,Bowling
SM Curran,2019-2024,Delhi Daredevils,Bowling
P Dharmani,2008-2008,Delhi Daredevils,Bowling
R Dhawan,2014-2024,Delhi Daredevils,Bowling
S Dhawan,2022-2024,Delhi Daredevils,Bowling
P Dogra,2012-2012,Delhi Daredevils,Bowling
P Dubey,2025-2025,Delhi Daredevils,Bowling
NT Ellis,2021-2024,Delhi Daredevils,Bowling
JP Faulkner,2012-2012,Delhi Daredevils,Bowling
LH Ferguson,2025-2025,Delhi Daredevils,Bowling
AJ Finch,2018-2018,Delhi Daredevils,Bowling
Gagandeep Singh,2008-2008,Delhi Daredevils,Bowling
CH Gayle,2018-2021,Delhi Daredevils,Bowling
AC Gilchrist,2011-2013,Delhi Daredevils,Bowling
K Goel,2008-2010,Delhi Daredevils,Bowling
MS Gony,2013-2013,Delhi Daredevils,Bowling
K Gowtham,2020-2020,Delhi Daredevils,Bowling
MJ Guptill,2017-2017,Delhi Daredevils,Bowling
Gurkeerat Singh,2012-2017,Delhi Daredevils,Bowling
Gurnoor Brar,2023-2023,Delhi Daredevils,Bowling
Harmeet Singh,2012-2013,Delhi Daredevils,Bowling
Harpreet Brar,2019-2025,Delhi Daredevils,Bowling
Harpreet Singh,2023-2024,Delhi Daredevils,Bowling
RJ Harris,2011-2013,Delhi Daredevils,Bowling
BE Hendricks,2014-2015,Delhi Daredevils,Bowling
MC Henriques,2021-2021,Delhi Daredevils,Bowling
MJ Henry,2017-2017,Delhi Daredevils,Bowling
DJ Hooda,2020-2021,Delhi Daredevils,Bowling
JR Hopes,2008-2008,Delhi Daredevils,Bowling
DJ Hussey,2011-2013,Delhi Daredevils,Bowling
JP Inglis,2025-2025,Delhi Daredevils,Bowling
SS Iyer,2025-2025,Delhi Daredevils,Bowling
KA Jamieson,2025-2025,Delhi Daredevils,Bowling
M Jansen,2025-2025,Delhi Daredevils,Bowling
DPMD Jayawardene,2008-2010,Delhi Daredevils,Bowling
MG Johnson,2014-2016,Delhi Daredevils,Bowling
CJ Jordan,2020-2021,Delhi Daredevils,Bowling
M Kaif,2010-2010,Delhi Daredevils,Bowling
Karanveer Singh,2014-2015,Delhi Daredevils,Bowling
KD Karthik,2011-2011,Delhi Daredevils,Bowling
M Kartik,2014-2014,Delhi Daredevils,Bowling
SM Katich,2008-2009,Delhi Daredevils,Bowling
U Kaul,2008-2008,Delhi Daredevils,Bowling
V Kaverappa,2024-2024,Delhi Daredevils,Bowling
SN Khan,2019-2021,Delhi Daredevils,Bowling
T Kohli,2009-2009,Delhi Daredevils,Bowling
P Kumar,2011-2013,Delhi Daredevils,Bowling
B Lee,2008-2010,Delhi Daredevils,Bowling
LS Livingstone,2022-2024,Delhi Daredevils,Bowling
R McLaren,2011-2011,Delhi Daredevils,Bowling
DJ Malan,2021-2021,Delhi Daredevils,Bowling
VS Malik,2009-2011,Delhi Daredevils,Bowling
Mandeep Singh,2011-2021,Delhi Daredevils,Bowling
PN Mankad,2022-2022,Delhi Daredevils,Bowling
AK Markram,2021-2021,Delhi Daredevils,Bowling
SE Marsh,2008-2017,Delhi Daredevils,Bowling
AD Mascarenhas,2012-2013,Delhi Daredevils,Bowling
GJ Maxwell,2014-2025,Delhi Daredevils,Bowling
RP Meredith,2021-2021,Delhi Daredevils,Bowling
DA Miller,2012-2019,Delhi Daredevils,Bowling
Mohammed Shami,2019-2021,Delhi Daredevils,Bowling
Mohit Rathee,2023-2023,Delhi Daredevils,Bowling
EJG Morgan,2017-2017,Delhi Daredevils,Bowling
WA Mota,2008-2009,Delhi Daredevils,Bowling
Mujeeb Ur Rahman,2018-2020,Delhi Daredevils,Bowling
Musheer Khan,2025-2025,Delhi Daredevils,Bowling
NS Naik,2016-2016,Delhi Daredevils,Bowling
KK Nair,2018-2020,Delhi Daredevils,Bowling
T Natarajan,2017-2017,Delhi Daredevils,Bowling
AM Nayar,2011-2012,Delhi Daredevils,Bowling
JDS Neesham,2020-2020,Delhi Daredevils,Bowling
MG Neser,2013-2013,Delhi Daredevils,Bowling
MJ Owen,2025-2025,Delhi Daredevils,Bowling
AR Patel,2014-2018,Delhi Daredevils,Bowling
HV Patel,2024-2024,Delhi Daredevils,Bowling
IK Pathan,2008-2010,Delhi Daredevils,Bowling
NLTC Perera,2015-2015,Delhi Daredevils,Bowling
LA Pomersbach,2008-2013,Delhi Daredevils,Bowling
N Pooran,2019-2021,Delhi Daredevils,Bowling
IC Porel,2021-2021,Delhi Daredevils,Bowling
RR Powar,2008-2012,Delhi Daredevils,Bowling
Prabhsimran Singh,2019-2025,Delhi Daredevils,Bowling
CA Pujara,2014-2014,Delhi Daredevils,Bowling
K Rabada,2022-2024,Delhi Daredevils,Bowling
KL Rahul,2018-2021,Delhi Daredevils,Bowling
PBB Rajapaksa,2022-2023,Delhi Daredevils,Bowling
AS Rajpoot,2018-2019,Delhi Daredevils,Bowling
AU Rashid,2021-2021,Delhi Daredevils,Bowling
Ravi Bishnoi,2020-2021,Delhi Daredevils,Bowling
JA Richardson,2021-2021,Delhi Daredevils,Bowling
NJ Rimmington,2011-2011,Delhi Daredevils,Bowling
RR Rossouw,2024-2024,Delhi Daredevils,Bowling
WP Saha,2014-2017,Delhi Daredevils,Bowling
P Sahu,2016-2016,Delhi Daredevils,Bowling
N Saini,2012-2012,Delhi Daredevils,Bowling
Sandeep Sharma,2013-2022,Delhi Daredevils,Bowling
KC Sangakkara,2008-2010,Delhi Daredevils,Bowling
RR Sarwan,2008-2008,Delhi Daredevils,Bowling
R Sathish,2013-2013,Delhi Daredevils,Bowling
Jalaj S Saxena,2021-2021,Delhi Daredevils,Bowling
V Sehwag,2014-2015,Delhi Daredevils,Bowling
M Shahrukh Khan,2021-2023,Delhi Daredevils,Bowling
AR Sharma,2024-2024,Delhi Daredevils,Bowling
I Sharma,2017-2017,Delhi Daredevils,Bowling
JM Sharma,2022-2024,Delhi Daredevils,Bowling
MM Sharma,2016-2018,Delhi Daredevils,Bowling
Shashank Singh,2024-2025,Delhi Daredevils,Bowling
Shivam Sharma,2014-2015,Delhi Daredevils,Bowling
Shivam Singh,2024-2024,Delhi Daredevils,Bowling
MW Short,2023-2023,Delhi Daredevils,Bowling
Sikandar Raza,2023-2024,Delhi Daredevils,Bowling
VRV Singh,2008-2010,Delhi Daredevils,Bowling
OF Smith,2022-2022,Delhi Daredevils,Bowling
RS Sodhi,2010-2010,Delhi Daredevils,Bowling
S Sohal,2008-2010,Delhi Daredevils,Bowling
BB Sran,2018-2018,Delhi Daredevils,Bowling
S Sreesanth,2008-2010,Delhi Daredevils,Bowling
SJ Srivastava,2010-2011,Delhi Daredevils,Bowling
TM Srivastava,2008-2009,Delhi Daredevils,Bowling
MP Stoinis,2016-2025,Delhi Daredevils,Bowling
Sunny Singh,2011-2011,Delhi Daredevils,Bowling
Suryansh Shedge,2025-2025,Delhi Daredevils,Bowling
Swapnil Singh,2016-2017,Delhi Daredevils,Bowling
A Taide,2023-2024,Delhi Daredevils,Bowling
R Tewatia,2017-2017,Delhi Daredevils,Bowling
SN Thakur,2015-2015,Delhi Daredevils,Bowling
Yash Thakur,2025-2025,Delhi Daredevils,Bowling
J Theron,2010-2010,Delhi Daredevils,Bowling
MK Tiwary,2018-2018,Delhi Daredevils,Bowling
AJ Tye,2018-2019,Delhi Daredevils,Bowling
PC Valthaty,2011-2013,Delhi Daredevils,Bowling
CV Varun,2019-2019,Delhi Daredevils,Bowling
M Vijay,2015-2016,Delhi Daredevils,Bowling
GC Viljoen,2019-2019,Delhi Daredevils,Bowling
M Vohra,2013-2017,Delhi Daredevils,Bowling
V Vyshak,2025-2025,Delhi Daredevils,Bowling
N Wadhera,2025-2025,Delhi Daredevils,Bowling
Yuvraj Singh,2008-2018,Delhi Daredevils,Bowling
SA Abbott,2022-2022,Gujarat Lions,Batting
Abdul Samad,2020-2024,Gujarat Lions,Batting
Abhishek Sharma,2019-2025,Gujarat Lions,Batting
MA Agarwal,2023-2024,Gujarat Lions,Batting
KK Ahmed,2018-2021,Gujarat Lions,Batting
Anand Rajan,2013-2013,Gujarat Lions,Batting
S Anirudha,2014-2014,Gujarat Lions,Batting
Ankit Sharma,2013-2013,Gujarat Lions,Batting
Anmolpreet Singh,2023-2024,Gujarat Lions,Batting
A Ashish Reddy,2013-2016,Gujarat Lions,Batting
JM Bairstow,2019-2021,Gujarat Lions,Batting
Basil Thampi,2018-2020,Gujarat Lions,Batting
RK Bhui,2018-2019,Gujarat Lions,Batting
