Player,Span,Team
H Sharma,2023-2024,Chennai Super Kings
JM Sharma,2025-2025,Chennai Super Kings
KV Sharma,2009-2024,Chennai Super Kings
R Shepherd,2025-2025,Chennai Super Kings
RP Singh,2013-2013,Chennai Super Kings
TG Southee,2018-2019,Chennai Super Kings
S Sriram,2010-2010,Chennai Super Kings
B Stanlake,2017-2017,Chennai Super Kings
MA Starc,2014-2015,Chennai Super Kings
DW Steyn,2008-2020,Chennai Super Kings
MP Stoinis,2019-2019,Chennai Super Kings
Suyash Sharma,2025-2025,Chennai Super Kings
Swapnil Singh,2024-2024,Chennai Super Kings
J Syed Mohammad,2011-2013,Chennai Super Kings
YV Takawale,2014-2014,Chennai Super Kings
LRPL Taylor,2008-2010,Chennai Super Kings
N Thushara,2025-2025,Chennai Super Kings
SS Tiwary,2011-2013,Chennai Super Kings
RJW Topley,2023-2024,Chennai Super Kings
I Udana,2020-2020,Chennai Super Kings
JD Unadkat,2013-2013,Chennai Super Kings
RV Uthappa,2009-2010,Chennai Super Kings
RE van der Merwe,2009-2010,Chennai Super Kings
JJ van der Wath,2011-2011,Chennai Super Kings
DL Vettori,2011-2012,Chennai Super Kings
R Vinay Kumar,2008-2013,Chennai Super Kings
Vishnu Vinod,2017-2017,Chennai Super Kings
M Vohra,2018-2018,Chennai Super Kings
V Vyshak,2023-2024,Chennai Super Kings
Washington Sundar,2018-2021,Chennai Super Kings
SR Watson,2016-2017,Chennai Super Kings
CL White,2008-2010,Chennai Super Kings
D Wiese,2015-2016,Chennai Super Kings
DJ Willey,2022-2023,Chennai Super Kings
CR Woakes,2018-2018,Chennai Super Kings
UT Yadav,2018-2020,Chennai Super Kings
Yash Dayal,2024-2025,Chennai Super Kings
Yuvraj Singh,2014-2014,Chennai Super Kings
A Zampa,2020-2020,Chennai Super Kings
VH Zol,2014-2014,Chennai Super Kings
S Ladda,2011-2013,Deccan Chargers
AB Agarkar,2008-2010,Deccan Chargers
MM Ali,2025-2025,Deccan Chargers
Aman Hakim Khan,2022-2022,Deccan Chargers
Anureet Singh,2009-2009,Deccan Chargers
VG Arora,2023-2025,Deccan Chargers
Azhar Mahmood,2015-2015,Deccan Chargers
L Balaji,2011-2013,Deccan Chargers
SB Bangar,2009-2009,Deccan Chargers
T Banton,2020-2020,Deccan Chargers
R Bhatia,2011-2013,Deccan Chargers
SW Billings,2022-2022,Deccan Chargers
MS Bisla,2011-2014,Deccan Chargers
SE Bond,2010-2010,Deccan Chargers
J Botha,2015-2015,Deccan Chargers
MV Boucher,2011-2011,Deccan Chargers
TA Boult,2017-2017,Deccan Chargers
CR Brathwaite,2019-2019,Deccan Chargers
DM Bravo,2017-2017,Deccan Chargers
KC Cariappa,2015-2019,Deccan Chargers
PVD Chameera,2024-2024,Deccan Chargers
PP Chawla,2014-2019,Deccan Chargers
A Chopra,2008-2009,Deccan Chargers
NM Coulter-Nile,2017-2017,Deccan Chargers
PJ Cummins,2014-2022,Deccan Chargers
TK Curran,2018-2018,Deccan Chargers
DB Das,2008-2013,Deccan Chargers
C de Grandhomme,2017-2017,Deccan Chargers
Q de Kock,2025-2025,Deccan Chargers
M de Lange,2012-2012,Deccan Chargers
JL Denly,2019-2019,Deccan Chargers
AB Dinda,2008-2010,Deccan Chargers
P Dogra,2013-2013,Deccan Chargers
LH Ferguson,2019-2023,Deccan Chargers
AJ Finch,2022-2022,Deccan Chargers
G Gambhir,2011-2017,Deccan Chargers
SC Ganguly,2008-2010,Deccan Chargers
RS Gavaskar,2010-2010,Deccan Chargers
CH Gayle,2009-2010,Deccan Chargers
AN Ghosh,2009-2009,Deccan Chargers
SP Goswami,2011-2011,Deccan Chargers
CJ Green,2020-2020,Deccan Chargers
HF Gurney,2019-2019,Deccan Chargers
BJ Haddin,2011-2011,Deccan Chargers
Harbhajan Singh,2021-2021,Deccan Chargers
Harpreet Singh,2010-2010,Deccan Chargers
Harshit Rana,2022-2025,Deccan Chargers
JW Hastings,2016-2016,Deccan Chargers
MC Henriques,2009-2009,Deccan Chargers
BJ Hodge,2008-2010,Deccan Chargers
GB Hogg,2015-2016,Deccan Chargers
JO Holder,2016-2016,Deccan Chargers
DJ Hussey,2008-2010,Deccan Chargers
B Indrajith,2022-2022,Deccan Chargers
Iqbal Abdulla,2008-2013,Deccan Chargers
SS Iyer,2022-2024,Deccan Chargers
VR Iyer,2021-2025,Deccan Chargers
SP Jackson,2017-2022,Deccan Chargers
N Jagadeesan,2023-2023,Deccan Chargers
IR Jaggi,2017-2017,Deccan Chargers
MG Johnson,2018-2018,Deccan Chargers
SH Johnson,2025-2025,Deccan Chargers
JH Kallis,2011-2014,Deccan Chargers
KD Karthik,2018-2021,Deccan Chargers
M Kartik,2008-2010,Deccan Chargers
K Khejroliya,2023-2023,Deccan Chargers
Kuldeep Yadav,2016-2020,Deccan Chargers
CK Langeveldt,2009-2010,Deccan Chargers
B Lee,2011-2013,Deccan Chargers
Litton Das,2023-2023,Deccan Chargers
CA Lynn,2014-2019,Deccan Chargers
BB McCullum,2008-2013,Deccan Chargers
R McLaren,2013-2013,Deccan Chargers
Mandeep Singh,2010-2023,Deccan Chargers
Mashrafe Mortaza,2009-2009,Deccan Chargers
AD Mathews,2009-2010,Deccan Chargers
BAW Mendis,2008-2010,Deccan Chargers
Mohammad Hafeez,2008-2008,Deccan Chargers
Mohammed Shami,2013-2013,Deccan Chargers
EJG Morgan,2011-2021,Deccan Chargers
