Player,Span,Team
BJ Haddin,2016-2017,Karachi Kings
Haider Ali,2024-2025,Karachi Kings
AD Hales,2018-2025,Karachi Kings
Hasan Ali,2021-2023,Karachi Kings
Hasan Nawaz,2023-2023,Karachi Kings
JO Holder,2025-2025,Karachi Kings
Hunain Shah,2024-2025,Karachi Kings
Hussain Talat,2017-2021,Karachi Kings
Iftikhar Ahmed,2018-2021,Karachi Kings
Imad Wasim,2024-2025,Karachi Kings
Imran Khalid,2016-2017,Karachi Kings
CA Ingram,2020-2020,Karachi Kings
WG Jacks,2022-2022,Karachi Kings
Kamran Ghulam,2016-2016,Karachi Kings
Khalid Latif,2016-2016,Karachi Kings
UT Khawaja,2021-2021,Karachi Kings
BA King,2021-2021,Karachi Kings
OC McCoy,2024-2024,Karachi Kings
DJ Malan,2020-2020,Karachi Kings
KR Mayers,2025-2025,Karachi Kings
RP Meredith,2025-2025,Karachi Kings
TS Mills,2024-2025,Karachi Kings
Misbah-ul-Haq,2016-2018,Karachi Kings
Mohammad Irfan,2016-2017,Karachi Kings
Mohammad Nawaz,2025-2025,Karachi Kings
Mohammad Sami,2016-2019,Karachi Kings
Mohammad Wasim,2021-2023,Karachi Kings
Mubasir Khan,2022-2023,Karachi Kings
Muhammad Akhlaq,2021-2022,Karachi Kings
Muhammad Hurraira,2022-2022,Karachi Kings
Muhammad Musa,2019-2022,Karachi Kings
Muhammad Shahzad,2025-2025,Karachi Kings
C Munro,2020-2025,Karachi Kings
Naseem Shah,2024-2025,Karachi Kings
Nasir Nawaz,2019-2022,Karachi Kings
JDS Neesham,2025-2025,Karachi Kings
WD Parnell,2019-2019,Karachi Kings
SR Patel,2018-2019,Karachi Kings
N Pooran,2017-2017,Karachi Kings
Rafatullah Mohmand,2017-2017,Karachi Kings
Rahmanullah Gurbaz,2022-2023,Karachi Kings
Rizwan Hussain,2019-2020,Karachi Kings
Rohail Nazir,2021-2021,Karachi Kings
L Ronchi,2018-2020,Karachi Kings
Rumman Raees,2016-2024,Karachi Kings
AD Russell,2016-2018,Karachi Kings
Saad Masood,2025-2025,Karachi Kings
Saeed Ajmal,2016-2017,Karachi Kings
Sahibzada Farhan,2018-2025,Karachi Kings
Salman Irshad,2025-2025,Karachi Kings
PD Salt,2019-2021,Karachi Kings
Shadab Khan,2017-2025,Karachi Kings
Sharjeel Khan,2016-2017,Karachi Kings
DR Smith,2016-2017,Karachi Kings
Sohaib Maqsood,2023-2023,Karachi Kings
DW Steyn,2020-2020,Karachi Kings
PR Stirling,2021-2023,Karachi Kings
Ubaid Shah,2024-2024,Karachi Kings
Umar Amin,2016-2021,Karachi Kings
HE van der Dussen,2023-2025,Karachi Kings
CAK Walton,2018-2019,Karachi Kings
Waqas Maqsood,2019-2022,Karachi Kings
SR Watson,2016-2017,Karachi Kings
Zafar Gohar,2018-2022,Karachi Kings
Zahid Mahmood,2022-2022,Karachi Kings
Zahir Khan,2022-2022,Karachi Kings
Zeeshan Zameer,2022-2023,Karachi Kings
Zohaib Khan,2017-2017,Karachi Kings
Aamer Jamal,2025-2025,Lahore Qalandars
Aamer Yamin,2019-2023,Lahore Qalandars
Abbas Afridi,2021-2025,Lahore Qalandars
