Player Name,Role,Team
Mark Chapman,Allrounder,Quetta Gladiators
Abrar Ahmed,Bowler,Quetta Gladiators
Ali Majid,Bowler,Quetta Gladiators
Akeal Hosein,Bowler,Quetta Gladiators
Kyle Jamieson,Bowler,Quetta Gladiators
Khurram Shahzad,Bowler,Quetta Gladiators
Mohammad Amir,Bowler,Quetta Gladiators
Mohammad Wasim,Bowler,Quetta Gladiators
Mohammad Zeeshan,Bowler,Quetta Gladiators
Usman Tariq,Bowler,Quetta Gladiators
