Player,Span,Country,SR,Bowling Style,Team,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
JM Clarke,2025-2025,Perth Scorchers,144.3,,Manchester Originals,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
LH Ferguson,2025-2025,New Zealand,116.2,Fast,Manchester Originals,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
MDE Holden,2025-2025,Dubai Capitals,142.5,Offbreak,Manchester Originals,2030.0,121*,26.71,2.0,0.0,0,0.0,0.0,29.0,0.0,0.0
PI Walter,2025-2025,Brisbane Heat,140.1,Medium,Manchester Originals,2094.0,78,19.94,0.0,105.0,'3/20,25.2,0.0,78.0,0.0,-5.26
WL Madsen,2025-2025,Italy,138.4,Offbreak,Manchester Originals,4965.0,109*,30.64,2.0,22.0,'2/20,36.81,0.0,80.0,0.0,-6.17
A Lyth,2021-2023,Perth Scorchers,144.8,Medium,Northern Superchargers,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
AU Rashid,2021-2025,England,108.0,Legbreak,Northern Superchargers,970.0,36*,11.41,0.0,362.0,'4/2,22.76,0.0,84.0,0.0,-11.35
BA Carse,2021-2023,England,139.7,Fast,Northern Superchargers,783.0,58,17.02,0.0,53.0,'3/23,35.32,0.0,33.0,0.0,-18.29
BA Raine,2021-2022,Otago,131.0,Medium,Northern Superchargers,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
BA Stokes,2021-2024,England,136.4,Medium,Northern Superchargers,3027.0,107*,24.41,2.0,93.0,'4/16,30.91,0.0,74.0,0.0,-6.5
CA Lynn,2021-2021,Australia,143.8,Orthodox,Northern Superchargers,8304.0,113*,32.43,5.0,3.0,'2/15,31.0,0.0,72.0,0.0,1.43
CF Parkinson,2021-2024,Northern Superchargers (Men),90.7,Orthodox,Northern Superchargers,317.0,27*,11.32,0.0,148.0,'4/20,22.03,0.0,22.0,0.0,-10.71
D Wiese,2021-2021,South Africa,141.5,Medium,Northern Superchargers,4464.0,79*,23.01,0.0,324.0,'5/19,25.82,7.0,146.0,0.0,-2.81
DJ Vilas,2021-2021,Cape Cobras,131.4,,Northern Superchargers,4235.0,75*,28.04,0.0,0.0,0,0.0,0.0,116.0,30.0,0.0
DJ Willey,2021-2022,England,135.9,Medium,Northern Superchargers,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
DY Pennington,2021-2021,Birmingham Phoenix (Men),80.0,Medium,Northern Superchargers,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
HC Brook,2021-2025,England,150.4,Medium,Northern Superchargers,3449.0,105*,32.84,3.0,1.0,'1/13,26.0,0.0,90.0,0.0,6.84
J Clark,2021-2025,Oval Invincibles (Men),126.7,Medium,Northern Superchargers,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
JA Simpson,2021-2022,Northern Superchargers (Men),131.1,,Northern Superchargers,2859.0,84*,21.65,0.0,0.0,0,0.0,0.0,94.0,30.0,0.0
JA Thompson,2021-2021,Hobart Hurricanes,153.8,Medium,Northern Superchargers,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
MD Fisher,2021-2021,Northern Superchargers (Men),129.8,Medium,Northern Superchargers,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
MJ Potts,2021-2025,England,124.1,Medium,Northern Superchargers,203.0,40*,16.91,0.0,63.0,'3/8,26.2,0.0,19.0,0.0,-9.28
Mujeeb Ur Rahman,2021-2021,Afghanistan,104.2,Offbreak,Northern Superchargers,357.0,34,8.3,0.0,276.0,'5/15,23.68,2.0,47.0,0.0,-15.38
PR Brown,2021-2021,England,69.8,Medium,Northern Superchargers,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
RE van der Merwe,2021-2021,South Africa,134.9,Orthodox,Northern Superchargers,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
RJW Topley,2021-2022,England,96.2,Medium,Northern Superchargers,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
T Banton,2021-2022,England,141.9,,Northern Superchargers,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2021-2021,Sydney Thunder,141.3,Offbreak,Northern Superchargers,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
Wahab Riaz,2021-2021,Pakistan,127.5,Fast,Northern Superchargers,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
AJ Hose,2022-2024,Adelaide Strikers,141.1,Medium,Northern Superchargers,3916.0,119,28.79,2.0,0.0,0,0.0,0.0,79.0,0.0,0.0
BJ Dwarshuis,2022-2022,Australia,143.3,Medium,Northern Superchargers,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
CN Miles,2022-2022,Northern Superchargers (Men),81.3,Medium,Northern Superchargers,58.0,11*,7.25,0.0,67.0,'4/29,23.82,0.0,34.0,0.0,-16.57
D Wiese,2022-2023,South Africa,141.5,Medium,Northern Superchargers,4464.0,79*,23.01,0.0,324.0,'5/19,25.82,7.0,146.0,0.0,-2.81
DJ Bravo,2022-2022,West Indies,126.3,Medium,Northern Superchargers,6970.0,70*,22.33,0.0,631.0,'5/23,24.4,2.0,275.0,0.0,-2.06
F du Plessis,2022-2022,South Africa,139.2,Legbreak,Northern Superchargers,11404.0,120*,32.58,6.0,50.0,'5/19,18.34,2.0,206.0,0.0,14.24
JA Thompson,2022-2023,Hobart Hurricanes,153.8,Medium,Northern Superchargers,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
MS Pepper,2022-2025,Abu Dhabi Knight Riders,150.1,,Northern Superchargers,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
PR Brown,2022-2022,England,69.8,Medium,Northern Superchargers,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
RE van der Merwe,2022-2022,South Africa,134.9,Orthodox,Northern Superchargers,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
T Kohler-Cadmore,2022-2023,Sydney Thunder,141.3,Offbreak,Northern Superchargers,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
WD Parnell,2022-2023,South Africa,114.8,Medium,Northern Superchargers,2200.0,99,18.48,0.0,317.0,'5/30,25.4,1.0,71.0,0.0,-6.91
Wahab Riaz,2022-2022,Pakistan,127.5,Fast,Northern Superchargers,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
BA Raine,2023-2023,Otago,131.0,Medium,Northern Superchargers,1391.0,113,18.54,1.0,132.0,'5/21,24.11,1.0,25.0,0.0,-5.56
DJ Willey,2023-2024,England,135.9,Medium,Northern Superchargers,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
MD Fisher,2023-2023,Northern Superchargers (Men),129.8,Medium,Northern Superchargers,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
MJ Santner,2023-2023,New Zealand,129.7,Orthodox,Northern Superchargers,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
MS Pepper,2023-2024,Abu Dhabi Knight Riders,150.1,,Northern Superchargers,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
MW Short,2023-2024,Australia,147.2,Offbreak,Northern Superchargers,2982.0,109,26.62,2.0,48.0,'5/22,30.18,1.0,71.0,0.0,-3.56
RE van der Merwe,2023-2023,South Africa,134.9,Orthodox,Northern Superchargers,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
RJW Topley,2023-2024,England,96.2,Medium,Northern Superchargers,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
SA Zaib,2023-2023,Northern Superchargers (Men),144.8,Orthodox,Northern Superchargers,1266.0,92,25.32,0.0,12.0,'3/12,33.5,0.0,35.0,0.0,-8.17
T Banton,2023-2023,England,141.9,,Northern Superchargers,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
A Lyth,2024-2024,Perth Scorchers,144.8,Medium,Northern Superchargers,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
BJ Dwarshuis,2024-2024,Australia,143.3,Medium,Northern Superchargers,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
DY Pennington,2024-2024,Birmingham Phoenix (Men),80.0,Medium,Northern Superchargers,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
G Clark,2024-2025,Chittagong Kings,144.5,Legbreak,Northern Superchargers,3156.0,102*,25.45,2.0,0.0,0,0.0,0.0,43.0,0.0,0.0
J Clark,2024-2024,Oval Invincibles (Men),126.7,Medium,Northern Superchargers,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
JA Thompson,2024-2024,Hobart Hurricanes,153.8,Medium,Northern Superchargers,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
MA Jones,2024-2024,Scotland,131.8,Offbreak,Northern Superchargers,1082.0,86,24.04,0.0,0.0,0,0.0,0.0,18.0,0.0,0.0
MJ Santner,2024-2025,New Zealand,129.7,Orthodox,Northern Superchargers,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
N Pooran,2024-2024,West Indies,149.6,,Northern Superchargers,9052.0,102*,29.29,3.0,0.0,0,0.0,0.0,230.0,35.0,0.0
OG Robinson,2024-2024,Gulf Giants,126.2,,Northern Superchargers,163.0,31,9.58,0.0,63.0,'4/15,27.36,0.0,24.0,0.0,-17.77
PR Brown,2024-2024,England,69.8,Medium,Northern Superchargers,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
T Banton,2024-2025,England,141.9,,Northern Superchargers,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
T Kohler-Cadmore,2024-2025,Sydney Thunder,141.3,Offbreak,Northern Superchargers,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
TE Lawes,2024-2025,Northern Superchargers (Men),66.1,Medium,Northern Superchargers,29.0,12,7.25,0.0,8.0,'2/17,50.0,0.0,7.0,0.0,-42.74
AJ Hose,2025-2025,Adelaide Strikers,141.1,Medium,Northern Superchargers,3916.0,119,28.79,2.0,0.0,0,0.0,0.0,79.0,0.0,0.0
CF Parkinson,2025-2025,Northern Superchargers (Men),90.7,Orthodox,Northern Superchargers,317.0,27*,11.32,0.0,148.0,'4/20,22.03,0.0,22.0,0.0,-10.71
DJ Willey,2025-2025,England,135.9,Medium,Northern Superchargers,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
DY Pennington,2025-2025,Birmingham Phoenix (Men),80.0,Medium,Northern Superchargers,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
JA Simpson,2025-2025,Northern Superchargers (Men),131.1,,Northern Superchargers,2859.0,84*,21.65,0.0,0.0,0,0.0,0.0,94.0,30.0,0.0
JA Thompson,2025-2025,Hobart Hurricanes,153.8,Medium,Northern Superchargers,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
RJW Topley,2025-2025,England,96.2,Medium,Northern Superchargers,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
SA Zaib,2025-2025,Northern Superchargers (Men),144.8,Orthodox,Northern Superchargers,1266.0,92,25.32,0.0,12.0,'3/12,33.5,0.0,35.0,0.0,-8.17
AJ Blake,2021-2021,Dhaka Dominators,136.6,Medium,Oval Invincibles,2257.0,71*,20.51,0.0,1.0,'1/17,96.0,0.0,89.0,0.0,-75.48
CA Ingram,2021-2021,South Africa,140.9,,Oval Invincibles,8672.0,127*,28.52,4.0,40.0,'4/32,32.97,0.0,118.0,0.0,-4.44
DJ Malan,2021-2023,England,131.8,Legbreak,Oval Invincibles,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
DR Briggs,2021-2025,England,127.8,Orthodox,Oval Invincibles,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
J Clark,2021-2025,Oval Invincibles (Men),126.7,Medium,Oval Invincibles,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
JDS Neesham,2021-2021,New Zealand,140.9,Medium,Oval Invincibles,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
JJ Roy,2021-2023,England,140.0,,Oval Invincibles,9974.0,145*,27.25,6.0,1.0,'1/23,39.0,0.0,183.0,0.0,-11.74
LJ Evans,2021-2021,Perth Scorchers,138.3,Medium,Oval Invincibles,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
ME Milnes,2021-2021,Welsh Fire (Men),140.2,Medium,Oval Invincibles,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
Mohammad Amir,2021-2021,Pakistan,103.4,Fast,Oval Invincibles,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
NA Sowter,2021-2025,Guyana Amazon Warriors,111.5,Legbreak,Oval Invincibles,246.0,37*,9.11,0.0,160.0,'5/15,22.66,1.0,54.0,0.0,-13.55
PR Brown,2021-2021,England,69.8,Medium,Oval Invincibles,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
PR Stirling,2021-2022,Ireland,141.4,Offbreak,Oval Invincibles,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
RA Whiteley,2021-2022,Brisbane Heat,136.2,Medium,Oval Invincibles,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RJW Topley,2021-2022,England,96.2,Medium,Oval Invincibles,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
S Mahmood,2021-2025,England,75.0,Medium,Oval Invincibles,0.0,0,0.0,0.0,0.0,'0,0.0,0.0,0.0,0.0,
SM Curran,2021-2025,England,137.5,Medium,Oval Invincibles,4185.0,102*,23.77,1.0,255.0,'5/10,29.13,4.0,105.0,0.0,-5.35
SP Narine,2021-2023,West Indies,148.8,Offbreak,Oval Invincibles,4591.0,109,15.61,1.0,584.0,'5/19,21.76,1.0,120.0,0.0,-6.15
SW Billings,2021-2025,England,134.3,,Oval Invincibles,6997.0,106,24.21,1.0,0.0,0,0.0,0.0,223.0,31.0,0.0
T Shamsi,2021-2021,South Africa,51.5,Chinaman,Oval Invincibles,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
TA Lammonby,2021-2022,Hobart Hurricanes,141.2,Medium,Oval Invincibles,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
TK Curran,2021-2025,England,143.5,Medium,Oval Invincibles,2144.0,67*,21.87,0.0,237.0,'4/22,25.34,0.0,63.0,0.0,-3.46
WG Jacks,2021-2025,England,155.6,Offbreak,Oval Invincibles,5285.0,108*,28.11,4.0,69.0,'4/15,22.52,0.0,92.0,0.0,5.58
A Zampa,2022-2022,Australia,86.5,Legbreak,Oval Invincibles,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
DR Briggs,2022-2023,England,127.8,Orthodox,Oval Invincibles,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
HWR Cartwright,2022-2022,Perth Scorchers,130.0,Medium,Oval Invincibles,2287.0,79,27.89,0.0,4.0,'2/34,52.0,0.0,58.0,0.0,-24.1
JA Haynes,2022-2022,Oval Invincibles (Men),139.4,Offbreak,Oval Invincibles,990.0,63,21.52,0.0,0.0,0,0.0,0.0,13.0,0.0,0.0
JM Cox,2022-2025,England,142.8,,Oval Invincibles,2801.0,94,28.29,0.0,0.0,0,0.0,0.0,89.0,7.0,0.0
LJ Evans,2022-2023,Perth Scorchers,138.3,Medium,Oval Invincibles,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
ME Milnes,2022-2022,Welsh Fire (Men),140.2,Medium,Oval Invincibles,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
Mohammad Hasnain,2022-2022,Pakistan,83.6,Medium,Oval Invincibles,113.0,22,7.06,0.0,138.0,'4/25,27.51,0.0,15.0,0.0,-20.45
P Hatzoglou,2022-2022,Melbourne Renegades,104.9,Legbreak,Oval Invincibles,85.0,15,17.0,0.0,63.0,'3/14,29.49,0.0,19.0,0.0,-12.49
PR Brown,2022-2022,England,69.8,Medium,Oval Invincibles,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
RR Rossouw,2022-2022,South Africa,147.9,Offbreak,Oval Invincibles,9305.0,121,29.63,9.0,3.0,'1/3,10.66,0.0,157.0,0.0,18.96
T Shamsi,2022-2022,South Africa,51.5,Chinaman,Oval Invincibles,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
A Zampa,2023-2025,Australia,86.5,Legbreak,Oval Invincibles,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
AAP Atkinson,2023-2025,England,93.1,Medium,Oval Invincibles,98.0,14,8.9,0.0,72.0,'4/20,21.26,0.0,16.0,0.0,-12.35
H Klaasen,2023-2023,South Africa,155.2,,Oval Invincibles,5458.0,104*,31.54,2.0,1.0,'1/12,68.0,0.0,122.0,34.0,-36.45
JDS Neesham,2023-2023,New Zealand,140.9,Medium,Oval Invincibles,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
PR Stirling,2023-2023,Ireland,141.4,Offbreak,Oval Invincibles,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
RA Whiteley,2023-2023,Brisbane Heat,136.2,Medium,Oval Invincibles,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RJW Topley,2023-2024,England,96.2,Medium,Oval Invincibles,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
SH Johnson,2023-2024,Australia,111.0,Fast,Oval Invincibles,90.0,27,8.18,0.0,85.0,'5/26,22.94,1.0,19.0,0.0,-14.75
TS Muyeye,2023-2025,Melbourne Renegades,141.4,,Oval Invincibles,721.0,73,18.97,0.0,0.0,0,0.0,0.0,18.0,0.0,0.0
ZJ Chappell,2023-2023,Rangpur Riders,133.5,Medium,Oval Invincibles,165.0,18*,10.31,0.0,81.0,'5/23,20.83,1.0,14.0,0.0,-10.52
D Ferreira,2024-2025,South Africa,173.2,Offbreak,Oval Invincibles,1779.0,82*,26.95,0.0,19.0,'3/23,25.73,0.0,57.0,8.0,1.21
DJ Malan,2024-2024,England,131.8,Legbreak,Oval Invincibles,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
J Clark,2024-2024,Oval Invincibles (Men),126.7,Medium,Oval Invincibles,1211.0,60,20.18,0.0,75.0,'4/22,29.01,0.0,45.0,0.0,-8.82
LJ Evans,2024-2025,Perth Scorchers,138.3,Medium,Oval Invincibles,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
Mohammad Amir,2024-2024,Pakistan,103.4,Fast,Oval Invincibles,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
PR Brown,2024-2024,England,69.8,Medium,Oval Invincibles,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
RA Whiteley,2024-2024,Brisbane Heat,136.2,Medium,Oval Invincibles,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
TA Lammonby,2024-2024,Hobart Hurricanes,141.2,Medium,Oval Invincibles,904.0,90,18.83,0.0,15.0,'2/32,30.53,0.0,44.0,0.0,-11.69
DJ Malan,2025-2025,England,131.8,Legbreak,Oval Invincibles,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
H Klaasen,2025-2025,South Africa,155.2,,Oval Invincibles,5458.0,104*,31.54,2.0,1.0,'1/12,68.0,0.0,122.0,34.0,-36.45
HWR Cartwright,2025-2025,Perth Scorchers,130.0,Medium,Oval Invincibles,2287.0,79,27.89,0.0,4.0,'2/34,52.0,0.0,58.0,0.0,-24.1
JJ Roy,2025-2025,England,140.0,,Oval Invincibles,9974.0,145*,27.25,6.0,1.0,'1/23,39.0,0.0,183.0,0.0,-11.74
Mohammad Amir,2025-2025,Pakistan,103.4,Fast,Oval Invincibles,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
RA Whiteley,2025-2025,Brisbane Heat,136.2,Medium,Oval Invincibles,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
RJW Topley,2025-2025,England,96.2,Medium,Oval Invincibles,117.0,14*,11.7,0.0,230.0,'4/20,23.2,0.0,38.0,0.0,-11.5
AL Davies,2021-2024,Southern Brave (Men),133.4,,Southern Brave,3042.0,94*,23.76,0.0,0.0,0,0.0,0.0,88.0,28.0,0.0
C Overton,2021-2025,MI Emirates,133.1,Medium,Southern Brave,508.0,42,14.51,0.0,120.0,'4/25,25.92,0.0,80.0,0.0,-11.41
C de Grandhomme,2021-2021,New Zealand,143.9,Medium,Southern Brave,4110.0,86,22.96,0.0,81.0,'3/4,39.13,0.0,103.0,0.0,-16.17
CJ Jordan,2021-2025,England,134.2,Medium,Southern Brave,2380.0,73,17.12,0.0,419.0,'4/6,27.39,0.0,201.0,0.0,-10.26
CN Ackermann,2021-2022,Netherlands,125.1,Offbreak,Southern Brave,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
DMW Rawlins,2021-2021,Bermuda,144.7,Orthodox,Southern Brave,1809.0,91,25.84,0.0,54.0,'4/10,21.37,0.0,53.0,0.0,4.47
DP Conway,2021-2023,New Zealand,132.7,Medium,Southern Brave,6394.0,105*,40.98,2.0,3.0,'1/10,47.0,0.0,91.0,9.0,-6.01
DR Briggs,2021-2025,England,127.8,Orthodox,Southern Brave,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
FH Allen,2021-2021,New Zealand,173.1,,Southern Brave,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
GHS Garton,2021-2023,England,134.6,Fast,Southern Brave,675.0,46,15.34,0.0,88.0,'4/16,26.14,0.0,26.0,0.0,-10.8
JB Lintott,2021-2022,Fortune Barishal,105.5,Chinaman,Southern Brave,236.0,41,10.26,0.0,105.0,'4/20,22.59,0.0,41.0,0.0,-12.32
JL du Plooy,2021-2022,Dubai Capitals,138.0,Orthodox,Southern Brave,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
JM Vince,2021-2025,England,137.3,Medium,Southern Brave,11941.0,129*,32.18,7.0,3.0,'1/5,29.0,0.0,232.0,0.0,3.18
LA Dawson,2021-2021,England,121.4,Orthodox,Southern Brave,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
LJ Evans,2021-2021,Perth Scorchers,138.3,Medium,Southern Brave,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MD Fisher,2021-2021,Northern Superchargers (Men),129.8,Medium,Southern Brave,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
PR Stirling,2021-2022,Ireland,141.4,Offbreak,Southern Brave,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
Q de Kock,2021-2022,South Africa,137.7,,Southern Brave,10831.0,140*,31.48,7.0,0.0,0,0.0,0.0,267.0,57.0,0.0
RA Whiteley,2021-2022,Brisbane Heat,136.2,Medium,Southern Brave,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
TH David,2021-2023,Singapore,161.9,Offbreak,Southern Brave,5338.0,92*,30.32,0.0,15.0,'1/0,64.06,0.0,158.0,0.0,-33.73
TS Mills,2021-2025,England,105.9,Fast,Southern Brave,160.0,27,5.71,0.0,289.0,'4/13,23.23,0.0,38.0,0.0,-17.52
D Moriarty,2022-2022,Southern Brave (Men),88.5,Orthodox,Southern Brave,41.0,9*,10.25,0.0,46.0,'4/25,26.93,0.0,4.0,0.0,-16.68
DR Briggs,2022-2023,England,127.8,Orthodox,Southern Brave,291.0,35*,11.19,0.0,290.0,'5/19,21.37,1.0,48.0,0.0,-10.18
JK Fuller,2022-2023,Fortune Barishal,140.2,Fast,Southern Brave,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
KA Pollard,2022-2022,West Indies,149.9,Medium,Southern Brave,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
LA Dawson,2022-2025,England,121.4,Orthodox,Southern Brave,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
LJ Evans,2022-2023,Perth Scorchers,138.3,Medium,Southern Brave,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
MG Hogan,2022-2022,Hobart Hurricanes,98.8,Medium,Southern Brave,84.0,17*,8.4,0.0,154.0,'5/17,23.21,2.0,52.0,0.0,-14.81
MP Stoinis,2022-2022,Australia,137.1,Medium,Southern Brave,6510.0,147*,29.86,2.0,158.0,'4/15,27.17,0.0,77.0,0.0,2.69
Rehan Ahmed,2022-2024,England,123.3,Legbreak,Southern Brave,450.0,49,13.23,0.0,59.0,'4/22,29.71,0.0,14.0,0.0,-16.47
S Baker,2022-2022,England,28.6,Medium,Southern Brave,0.0,0,0.0,0.0,0.0,'0,0.0,0.0,0.0,0.0,
CN Ackermann,2023-2023,Netherlands,125.1,Offbreak,Southern Brave,4311.0,90*,26.28,0.0,93.0,'7/18,27.86,1.0,91.0,0.0,-1.57
FH Allen,2023-2023,New Zealand,173.1,,Southern Brave,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
JJ Weatherley,2023-2023,Hampshire,129.1,Offbreak,Southern Brave,1830.0,71,28.15,0.0,0.0,0,0.0,0.0,30.0,0.0,0.0
JL du Plooy,2023-2025,Dubai Capitals,138.0,Orthodox,Southern Brave,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
MD Fisher,2023-2023,Northern Superchargers (Men),129.8,Medium,Southern Brave,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
MJ Santner,2023-2023,New Zealand,129.7,Orthodox,Southern Brave,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
PR Stirling,2023-2023,Ireland,141.4,Offbreak,Southern Brave,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
