Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
London Spirit,DW Lawrence,2021-2024,3154.0,93,24.64,0.0,57.0,'4/20,22.63,0.0,54.0,0.0,2.0
London Spirit,EJG Morgan,2021-2022,7780.0,91,26.02,0.0,0.0,0,0.0,0.0,160.0,0.0,0.0
London Spirit,GJ Maxwell,2022-2022,10425.0,154*,27.8,7.0,178.0,'3/10,30.58,0.0,239.0,0.0,-2.78
London Spirit,JA Thompson,2022-2023,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
London Spirit,JB Cracknell,2021-2021,1148.0,77,22.5,0.0,0.0,0,0.0,0.0,25.0,0.0,0.0
London Spirit,JL Denly,2021-2021,6795.0,127,26.85,5.0,50.0,'4/19,25.98,0.0,108.0,0.0,0.87
London Spirit,JP Inglis,2021-2022,3462.0,118*,30.1,4.0,0.0,0,0.0,0.0,102.0,20.0,0.0
London Spirit,JW Dernbach,2021-2021,194.0,24*,7.46,0.0,183.0,'4/22,26.66,0.0,41.0,0.0,-19.2
London Spirit,KA Pollard,2022-2022,13537.0,104,31.33,1.0,326.0,'4/15,24.95,0.0,384.0,0.0,6.37
London Spirit,KK Jennings,2024-2024,2040.0,108,31.87,1.0,22.0,'4/37,28.54,0.0,22.0,0.0,3.32
London Spirit,LA Dawson,2022-2024,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
London Spirit,LM Reece,2021-2021,2040.0,97*,21.93,0.0,33.0,'3/33,32.33,0.0,43.0,0.0,-10.39
London Spirit,MJJ Critchley,2023-2024,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
London Spirit,MS Crane,2021-2023,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
London Spirit,MS Pepper,2023-2024,2237.0,120*,26.63,2.0,0.0,0,0.0,0.0,36.0,2.0,0.0
London Spirit,MS Wade,2023-2023,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
London Spirit,Mohammad Amir,2021-2021,431.0,30,7.18,0.0,374.0,'6/17,22.44,2.0,40.0,0.0,-15.25
London Spirit,Mohammad Nabi,2021-2021,6193.0,89,20.99,0.0,376.0,'5/15,24.67,1.0,208.0,0.0,-3.67
