Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Southern Brave,LA Dawson,2021-2021,2817.0,82,17.94,0.0,237.0,'5/17,25.95,1.0,115.0,0.0,-8.01
Southern Brave,LJ Evans,2024-2024,6961.0,118*,30.0,3.0,1.0,'1/5,35.0,0.0,138.0,1.0,-4.99
Southern Brave,MD Fisher,2023-2023,61.0,19,8.71,0.0,46.0,'5/22,27.1,1.0,12.0,0.0,-18.39
Southern Brave,MG Hogan,2022-2022,84.0,17*,8.4,0.0,154.0,'5/17,23.21,2.0,52.0,0.0,-14.81
Southern Brave,MJ Santner,2023-2023,2374.0,92*,22.82,0.0,220.0,'4/11,24.43,0.0,86.0,0.0,-1.6
Southern Brave,MP Stoinis,2022-2022,6510.0,147*,29.86,2.0,158.0,'4/15,27.17,0.0,77.0,0.0,2.69
Southern Brave,PR Stirling,2021-2022,8599.0,119,24.85,3.0,77.0,'4/10,28.48,0.0,103.0,0.0,-3.62
Southern Brave,Q de Kock,2021-2022,10831.0,140*,31.48,7.0,0.0,0,0.0,0.0,267.0,57.0,0.0
Southern Brave,RA Whiteley,2021-2022,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
Southern Brave,Rehan Ahmed,2022-2024,450.0,49,13.23,0.0,59.0,'4/22,29.71,0.0,14.0,0.0,-16.47
Southern Brave,S Baker,2022-2022,0.0,0,0.0,0.0,0.0,'0,0.0,0.0,0.0,0.0,
Southern Brave,TH David,2021-2023,5338.0,92*,30.32,0.0,15.0,'1/0,64.06,0.0,158.0,0.0,-33.73
Southern Brave,TS Mills,2021-2024,160.0,27,5.71,0.0,289.0,'4/13,23.23,0.0,38.0,0.0,-17.52
Trent Rockets,A Lyth,2024-2024,4817.0,161,24.82,1.0,25.0,'5/31,27.36,1.0,102.0,0.0,-2.53
Trent Rockets,AD Hales,2021-2024,13610.0,119*,30.04,7.0,0.0,0,0.0,0.0,236.0,0.0,0.0
Trent Rockets,C Munro,2022-2023,11223.0,114*,30.16,5.0,31.0,'4/15,32.8,0.0,131.0,0.0,-2.63
Trent Rockets,CG Harrison,2024-2024,227.0,23,10.31,0.0,53.0,'5/11,22.45,1.0,29.0,0.0,-12.13
Trent Rockets,CJ Green,2024-2024,1673.0,50,16.24,0.0,203.0,'5/32,27.15,1.0,134.0,0.0,-10.9
Trent Rockets,DJ Malan,2021-2023,9925.0,117,33.3,5.0,23.0,'2/10,31.39,0.0,126.0,0.0,1.91
Trent Rockets,DJM Short,2021-2021,4850.0,122*,32.33,2.0,65.0,'5/21,32.61,1.0,68.0,0.0,-0.28
Trent Rockets,DR Sams,2022-2023,1964.0,98*,16.78,0.0,218.0,'5/30,24.46,1.0,70.0,0.0,-7.68
Trent Rockets,IA Cockbain,2022-2022,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
Trent Rockets,IS Sodhi,2023-2023,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
Trent Rockets,Imad Wasim,2023-2024,4115.0,92*,21.88,0.0,356.0,'5/14,24.43,2.0,106.0,0.0,-2.54
Trent Rockets,JA Thompson,2024-2024,1087.0,74,16.72,0.0,119.0,'5/21,24.76,1.0,40.0,0.0,-8.04
Trent Rockets,JA Turner,2023-2024,8.0,3*,8.0,0.0,43.0,'4/23,17.55,0.0,4.0,0.0,-9.55
Trent Rockets,JE Root,2021-2024,2823.0,92*,32.44,0.0,34.0,'2/7,28.64,0.0,54.0,0.0,3.8
Trent Rockets,L Gregory,2021-2024,2762.0,76*,20.3,0.0,197.0,'5/24,25.35,1.0,102.0,0.0,-5.04
Trent Rockets,L Wood,2021-2024,392.0,33*,10.31,0.0,174.0,'5/50,26.58,1.0,57.0,0.0,-16.27
Trent Rockets,LJ Fletcher,2022-2022,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
Trent Rockets,M Carter,2021-2023,168.0,23*,9.88,0.0,71.0,'3/14,26.54,0.0,29.0,0.0,-16.66
Trent Rockets,M de Lange,2021-2021,420.0,28*,11.05,0.0,166.0,'5/20,26.01,1.0,40.0,0.0,-14.95
Trent Rockets,OE Robinson,2024-2024,163.0,31,9.58,0.0,63.0,'4/15,27.36,0.0,24.0,0.0,-17.77
Trent Rockets,R Powell,2024-2024,4838.0,107,24.55,1.0,26.0,'2/21,45.03,0.0,140.0,0.0,-20.48
Trent Rockets,SJ Cook,2021-2024,47.0,18,5.87,0.0,92.0,'4/15,25.81,0.0,23.0,0.0,-19.94
Trent Rockets,SJ Mullaney,2021-2021,1802.0,79,17.16,0.0,133.0,'4/19,28.18,0.0,96.0,0.0,-11.01
Trent Rockets,SR Hain,2023-2024,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
Trent Rockets,SR Patel,2021-2023,6673.0,90*,24.62,0.0,352.0,'4/5,26.05,0.0,113.0,0.0,-1.43
Trent Rockets,T Banton,2024-2024,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
Trent Rockets,T Kohler-Cadmore,2022-2023,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
Trent Rockets,T Shamsi,2022-2022,88.0,15*,4.19,0.0,328.0,'5/24,22.51,1.0,39.0,0.0,-18.32
Trent Rockets,T van der Gugten,2021-2021,555.0,48,14.23,0.0,159.0,'5/21,22.61,1.0,36.0,0.0,-8.37
Trent Rockets,TJ Moores,2021-2022,2311.0,80*,23.34,0.0,0.0,0,0.0,0.0,72.0,23.0,0.0
Trent Rockets,TP Alsop,2024-2024,1950.0,87*,28.26,0.0,0.0,0,0.0,0.0,32.0,4.0,0.0
Trent Rockets,Wahab Riaz,2021-2021,1700.0,53,13.49,0.0,413.0,'5/8,22.63,3.0,101.0,0.0,-9.14
Welsh Fire,A Zampa,2022-2022,309.0,23,6.18,0.0,363.0,'6/19,21.72,3.0,42.0,0.0,-15.54
Welsh Fire,BGF Green,2023-2023,630.0,47,19.09,0.0,85.0,'5/29,20.62,2.0,26.0,0.0,-1.53
Welsh Fire,BM Duckett,2021-2022,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
Welsh Fire,D Pretorius,2022-2022,2781.0,77*,19.72,0.0,223.0,'5/17,24.67,1.0,53.0,0.0,-4.94
Welsh Fire,DA Miller,2022-2022,11343.0,120*,35.11,4.0,0.0,0,0.0,0.0,319.0,1.0,0.0
Welsh Fire,DA Payne,2021-2024,234.0,28,7.09,0.0,249.0,'5/24,21.63,1.0,43.0,0.0,-14.53
Welsh Fire,DJ Willey,2023-2024,4286.0,118,22.32,2.0,333.0,'4/7,23.32,0.0,145.0,0.0,-1.0
Welsh Fire,DL Lloyd,2021-2021,1947.0,97*,24.03,0.0,6.0,'2/13,31.16,0.0,20.0,0.0,-7.12
Welsh Fire,GD Phillips,2021-2024,6624.0,116*,31.39,5.0,25.0,'3/6,32.4,0.0,137.0,10.0,-1.0
Welsh Fire,GG White,2021-2021,486.0,37*,14.29,0.0,121.0,'5/22,27.12,1.0,58.0,0.0,-12.82
Welsh Fire,GLS Scrimshaw,2022-2022,25.0,6*,25.0,0.0,70.0,'3/16,22.25,0.0,5.0,0.0,2.74
Welsh Fire,Haris Rauf,2023-2024,313.0,19,6.95,0.0,303.0,'5/27,22.51,1.0,62.0,0.0,-15.56
Welsh Fire,IA Cockbain,2021-2021,3869.0,123,31.97,1.0,0.0,0,0.0,0.0,75.0,0.0,0.0
Welsh Fire,IS Sodhi,2022-2022,469.0,51,8.22,0.0,310.0,'6/11,24.58,1.0,69.0,0.0,-16.35
Welsh Fire,JB Little,2024-2024,220.0,27*,12.94,0.0,160.0,'5/13,23.41,1.0,47.0,0.0,-10.47
Welsh Fire,JDS Neesham,2021-2021,4198.0,97*,23.71,0.0,238.0,'5/22,25.29,1.0,117.0,0.0,-1.58
Welsh Fire,JG Bethell,2022-2022,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
Welsh Fire,JJ Cobb,2021-2022,4262.0,103,23.81,1.0,78.0,'5/25,32.43,1.0,98.0,0.0,-8.62
Welsh Fire,JL du Plooy,2021-2022,3609.0,92,29.58,0.0,14.0,'4/15,21.57,0.0,71.0,0.0,8.01
Welsh Fire,JM Bairstow,2021-2024,5385.0,114,30.59,4.0,0.0,0,0.0,0.0,121.0,16.0,0.0
Welsh Fire,JM Clarke,2022-2024,5269.0,136,25.82,4.0,0.0,0,0.0,0.0,84.0,6.0,0.0
Welsh Fire,JT Ball,2021-2024,63.0,18*,6.3,0.0,177.0,'4/11,22.41,0.0,34.0,0.0,-16.11
Welsh Fire,LE Plunkett,2021-2021,825.0,41,14.22,0.0,151.0,'5/31,27.58,1.0,44.0,0.0,-13.36
Welsh Fire,LH Ferguson,2023-2023,288.0,30,11.07,0.0,218.0,'5/21,22.31,1.0,48.0,0.0,-11.23
Welsh Fire,LJ Fletcher,2021-2021,185.0,27,6.85,0.0,120.0,'5/32,25.46,2.0,12.0,0.0,-18.61
Welsh Fire,LWP Wells,2023-2024,1049.0,66,18.08,0.0,37.0,'2/19,31.56,0.0,29.0,0.0,-13.48
Welsh Fire,ME Milnes,2021-2021,64.0,14*,8.0,0.0,45.0,'5/22,30.68,1.0,13.0,0.0,-22.68
Welsh Fire,MJ Henry,2023-2024,589.0,44,12.8,0.0,178.0,'5/18,23.7,1.0,62.0,0.0,-10.89
Welsh Fire,MJJ Critchley,2021-2022,1973.0,80*,21.44,0.0,120.0,'5/28,24.73,1.0,43.0,0.0,-3.28
Welsh Fire,MS Crane,2024-2024,153.0,19,21.85,0.0,118.0,'4/24,23.43,0.0,29.0,0.0,-1.57
Welsh Fire,Noor Ahmad,2022-2022,185.0,20,6.16,0.0,170.0,'5/11,21.97,1.0,37.0,0.0,-15.8
Welsh Fire,OJ Pope,2022-2022,1505.0,99*,27.36,0.0,0.0,0,0.0,0.0,29.0,3.0,0.0
Welsh Fire,Qais Ahmad,2021-2021,679.0,50*,12.34,0.0,190.0,'5/18,23.27,1.0,58.0,0.0,-10.93
Welsh Fire,RA Whiteley,2024-2024,3364.0,91*,22.57,0.0,10.0,'3/23,31.6,0.0,86.0,0.0,-9.02
Welsh Fire,RE van der Merwe,2023-2023,3075.0,89*,21.35,0.0,328.0,'6/20,24.08,2.0,149.0,0.0,-2.73
Welsh Fire,RF Higgins,2021-2022,2095.0,77*,24.36,0.0,93.0,'5/13,25.74,1.0,39.0,0.0,-1.38
Welsh Fire,SR Hain,2022-2022,4576.0,112*,38.77,1.0,0.0,0,0.0,0.0,79.0,0.0,0.0
Welsh Fire,SS Eskinazi,2023-2024,3173.0,102*,31.41,1.0,0.0,0,0.0,0.0,49.0,0.0,0.0
Welsh Fire,Shaheen Shah Afridi,2023-2023,773.0,55,12.46,0.0,300.0,'6/19,21.38,5.0,54.0,0.0,-8.91
Welsh Fire,T Banton,2021-2022,4232.0,107*,27.66,4.0,0.0,0,0.0,0.0,90.0,10.0,0.0
Welsh Fire,T Kohler-Cadmore,2024-2024,5766.0,127,28.12,1.0,0.0,0,0.0,0.0,115.0,3.0,0.0
Welsh Fire,TB Abell,2023-2024,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
