Player,Span,Team,Country,SR,Bowling Style
CP Wood,2021-2023,London Spirit,Hampshire,112.9,Medium
L Wood,2025-2025,London Spirit,England,115.8,Medium
DJ Worrall,2023-2025,London Spirit,Melbourne Stars,99.5,Medium
SA Abbott,2022-2022,Manchester Originals,Australia,118.9,Medium
CN Ackermann,2021-2022,Manchester Originals,Netherlands,125.1,Offbreak
JM Anderson,2025-2025,Manchester Originals,England,47.4,Medium
TH Aspinwall,2024-2025,Manchester Originals,Manchester Originals (Men),128.9,Medium
S Baker,2025-2025,Manchester Originals,England,28.6,Medium
CR Brathwaite,2021-2021,Manchester Originals,West Indies,136.0,Medium
JC Buttler,2021-2025,Manchester Originals,England,147.0,
MS Chapman,2025-2025,Manchester Originals,Hong Kong,135.8,Orthodox
JM Clarke,2021-2021,Manchester Originals,Perth Scorchers,144.3,
SW Currie,2024-2025,Manchester Originals,Manchester Originals (Men),120.9,Medium
DA Douthwaite,2021-2021,Manchester Originals,Manchester Originals (Men),138.4,Medium
LJ Evans,2022-2023,Manchester Originals,Perth Scorchers,138.3,Medium
Farhan Ahmed,2025-2025,Manchester Originals,United Arab Emirates,70.6,Orthodox
Fazalhaq Farooqi,2024-2024,Manchester Originals,Afghanistan,59.3,Medium
LH Ferguson,2021-2021,Manchester Originals,New Zealand,116.2,Fast
ST Finn,2021-2021,Manchester Originals,England,82.4,Medium
GHS Garton,2025-2025,Manchester Originals,England,134.6,Fast
RJ Gleeson,2022-2023,Manchester Originals,England,70.8,Medium
L Gregory,2025-2025,Manchester Originals,England,140.8,Medium
SR Hain,2021-2021,Manchester Originals,Brisbane Heat,134.1,Offbreak
CG Harrison,2021-2023,Manchester Originals,Manchester Originals (Men),113.8,Legbreak
TW Hartley,2021-2025,Manchester Originals,Manchester Originals (Men),121.3,Orthodox
MDE Holden,2023-2024,Manchester Originals,Dubai Capitals,142.5,Offbreak
J Hull,2024-2024,Manchester Originals,Manchester Originals (Men),105.7,Medium
MF Hurst,2024-2025,Manchester Originals,Perth Scorchers,127.2,
H Klaasen,2025-2025,Manchester Originals,South Africa,155.2,None
FJ Klaassen,2021-2022,Manchester Originals,Netherlands,98.8,Medium
TA Lammonby,2021-2022,Manchester Originals,Hobart Hurricanes,141.2,Medium
JB Little,2022-2023,Manchester Originals,Ireland,82.3,Fast
